Orthogroup	NEMVE	BRAFL
OG0000006	NEMVE21901	bflo_10066, bflo_10065
OG0000006	NEMVE02590	bflo_12576
OG0000006	NEMVE03392	bflo_23572
OG0000006	NEMVE06316	bflo_23665, bflo_23603
OG0000006	NEMVE08216	bflo_22579
OG0000006	NEMVE16957	bflo_06220
OG0000006	NEMVE02351	bflo_08237
OG0000006	NEMVE14647	bflo_06222
OG0000006	NEMVE04712	bflo_08431
OG0000006	NEMVE13538	bflo_22598
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	bflo_15412
OG0000006	NEMVE08464	bflo_10980
OG0000007	NEMVE15003	bflo_13266
OG0000007	NEMVE14764	bflo_05651
OG0000007	NEMVE13570	bflo_16444, bflo_15598
OG0000007	NEMVE08145	bflo_06255
OG0000007	NEMVE06210	bflo_25603
OG0000007	NEMVE02350, NEMVE21807	bflo_25903, bflo_24652, bflo_24653, bflo_24651, bflo_24654
OG0000007	NEMVE09701, NEMVE03333	bflo_10207
OG0000007	NEMVE03816	bflo_23632
OG0000007	NEMVE16064	bflo_13742, bflo_13892, bflo_13084
OG0000007	NEMVE02349	bflo_00716
OG0000007	NEMVE01414, NEMVE06618	bflo_12223
OG0000007	NEMVE09467	bflo_12369
OG0000007	NEMVE03824	bflo_23309
OG0000007	NEMVE09051	bflo_23091
OG0000007	NEMVE03714	bflo_23283
OG0000007	NEMVE10605	bflo_09771
OG0000007	NEMVE09289	bflo_24497
OG0000007	NEMVE05677	bflo_11392
OG0000008	NEMVE06079, NEMVE05558	bflo_25964, bflo_01367, bflo_00741, bflo_24920
OG0000008	NEMVE09628, NEMVE18567, NEMVE02203, NEMVE08012, NEMVE11405, NEMVE11127, NEMVE08569, NEMVE18947	bflo_08472, bflo_08473, bflo_00405, bflo_01106, bflo_08480, bflo_07328, bflo_08279, bflo_07763, bflo_24300, bflo_02874, bflo_22928
OG0000008	NEMVE06108, NEMVE06085, NEMVE20467, NEMVE06105, NEMVE10336, NEMVE06107, NEMVE06106, NEMVE06092, NEMVE21801, NEMVE21791, NEMVE11595, NEMVE06088, NEMVE05561	bflo_16759, bflo_16352, bflo_16351, bflo_16760, bflo_16631
OG0000008	NEMVE04749, NEMVE07849	bflo_17089
OG0000008	NEMVE07817, NEMVE12766	bflo_12140
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	bflo_11080
OG0000009	NEMVE08980	bflo_13612, bflo_25945, bflo_13658
OG0000009	NEMVE02901	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755, bflo_05031, bflo_26511, bflo_05282, bflo_00619, bflo_12605, bflo_16228, bflo_11316, bflo_11969, bflo_19936
OG0000009	NEMVE03675	bflo_25982
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	bflo_25814, bflo_01084
OG0000010	NEMVE07022, NEMVE00173, NEMVE08008	bflo_08401
OG0000010	NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848	bflo_23855, bflo_02791, bflo_23795, bflo_23406
OG0000010	NEMVE05383	bflo_21956
OG0000011	NEMVE11104	bflo_20761, bflo_05867, bflo_04324, bflo_26561, bflo_24248, bflo_06820
OG0000012	NEMVE09268, NEMVE05547	bflo_03201, bflo_12089, bflo_03151, bflo_14493, bflo_14233, bflo_14492, bflo_14491, bflo_15468, bflo_23300, bflo_13550, bflo_14004, bflo_13556, bflo_22373, bflo_23580, bflo_22924, bflo_13858, bflo_23041, bflo_08994, bflo_08989, bflo_13492, bflo_13855, bflo_27094, bflo_13060, bflo_15354, bflo_14447, bflo_14731, bflo_13607, bflo_24594
OG0000012	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074	bflo_16244, bflo_17650, bflo_27278
OG0000013	NEMVE18475	bflo_12936
