Orthogroup	NEMVE	ASTMX
OG0000006	NEMVE02351	ASTMX06644
OG0000006	NEMVE14647	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	NEMVE02879	ASTMX04477, ASTMX07342
OG0000006	NEMVE04712	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	NEMVE13538	ASTMX14827
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	NEMVE08464	ASTMX10604
OG0000006	NEMVE06164	ASTMX08947
OG0000007	NEMVE15003	ASTMX14980
OG0000007	NEMVE14764	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	NEMVE13570	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	NEMVE06210	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	NEMVE02350, NEMVE21807	ASTMX22657, ASTMX04001
OG0000007	NEMVE09701, NEMVE03333	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	NEMVE03816	ASTMX21073, ASTMX16179
OG0000007	NEMVE16064	ASTMX20070, ASTMX22376, ASTMX11119, ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	NEMVE09467	ASTMX18062, ASTMX21262
OG0000007	NEMVE03824	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	NEMVE09051	ASTMX04966, ASTMX11650
OG0000007	NEMVE03714	ASTMX18779, ASTMX07711
OG0000007	NEMVE09289	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	NEMVE05677	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	NEMVE06079, NEMVE05558	ASTMX21956, ASTMX05481
OG0000008	NEMVE12766	ASTMX13129
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	ASTMX09448, ASTMX03057, ASTMX08319
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981
OG0000010	NEMVE08421	ASTMX18619
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000011	NEMVE10152	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041, ASTMX20794
OG0000011	NEMVE11104	ASTMX21233, ASTMX01926, ASTMX21375, ASTMX22962, ASTMX22920, ASTMX22970, ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	NEMVE09268, NEMVE05547	ASTMX06265
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	ASTMX12908, ASTMX11632
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	ASTMX21958, ASTMX03764, ASTMX21759
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097, ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947
OG0000016	NEMVE10959	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	NEMVE18985	ASTMX17393
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	ASTMX00540
OG0000016	NEMVE05675	ASTMX02874
OG0000016	NEMVE01836	ASTMX17395
OG0000018	NEMVE07261	ASTMX23058
