Factor	Motif
TCONS_00032269	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00018852	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00027293	Homeodomain
TCONS_00027287	Homeodomain
TCONS_00016646	Homeodomain
TCONS_00023551	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00043771	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00022869	C2H2_ZF
TCONS_00042947	C2H2_ZF
TCONS_00003964	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00027932	Mixed
TCONS_00031212	Mixed
TCONS_00031189	Mixed
TCONS_00011491	Mixed
TCONS_00044845	bHLH
TCONS_00000865	bHLH
TCONS_00030276	bHLH
TCONS_00053708	SMAD
TCONS_00024002	SMAD
TCONS_00001174	Runt
TCONS_00001186	Runt
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00020355	Nuclear_receptor
TCONS_00003991	Nuclear_receptor
TCONS_00024248	Nuclear_receptor
TCONS_00033865	Ets
TCONS_00019012	bHLH
TCONS_00020216	Mixed
TCONS_00016058	Mixed
TCONS_00007694	C2H2_ZF
TCONS_00008915	C2H2_ZF
TCONS_00010384	bZIP
TCONS_00054784	bZIP
TCONS_00044543	bZIP
TCONS_00016601	bZIP
TCONS_00029838	bZIP
TCONS_00041678	bZIP
TCONS_00041680	bZIP
TCONS_00026381	Mixed
TCONS_00018209	Mixed
TCONS_00019811	Nuclear_receptor
TCONS_00056455	CUT_Homeodomain
TCONS_00015951	CUT_Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00033312	C2H2_ZF
TCONS_00008833	C2H2_ZF
TCONS_00003964	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00029005	MADS_box
TCONS_00028785	MADS_box
TCONS_00027222	bHLH
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00053631	bHLH
TCONS_00023129	Homeodomain_Paired_box
TCONS_00020216	bHLH
TCONS_00057143	bHLH
TCONS_00055931	bHLH
TCONS_00055932	bHLH
TCONS_00055933	bHLH
TCONS_00057137	bHLH
TCONS_00020801	Homeodomain
TCONS_00027510	Homeodomain
TCONS_00020805	Homeodomain
TCONS_00027826	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00049627	Mixed
TCONS_00014647	Homeodomain
