Orthogroup	HUMAN	YEAST
OG0000419	HUMAN03932, HUMAN03931, HUMAN03930, HUMAN03929, HUMAN16074, HUMAN02377, HUMAN04658, HUMAN04656, HUMAN04654, HUMAN04657, HUMAN04655, HUMAN04659, HUMAN02414	YEAST05989
OG0000420	HUMAN07576, HUMAN23840, HUMAN23841	YEAST03886
OG0000424	HUMAN03402, HUMAN03401, HUMAN03400, HUMAN03399, HUMAN03403, HUMAN03410	YEAST03563
OG0000426	HUMAN24154	YEAST03440
OG0000426	HUMAN16388	YEAST03848
OG0000426	HUMAN24155	YEAST01121
OG0000427	HUMAN04181, HUMAN00426, HUMAN21885	YEAST02655, YEAST02439
OG0000429	HUMAN21086, HUMAN21085, HUMAN13379	YEAST02285
OG0000431	HUMAN05407, HUMAN10656, HUMAN22396, HUMAN22397, HUMAN05405, HUMAN05406, HUMAN21847, HUMAN07891, HUMAN07892, HUMAN07890	YEAST04014
OG0000433	HUMAN13343, HUMAN13341, HUMAN12146, HUMAN13342, HUMAN25706, HUMAN25705, HUMAN21369	YEAST06177, YEAST00117
OG0000442	HUMAN21746, HUMAN07667, HUMAN21390, HUMAN00644, HUMAN25507, HUMAN26607, HUMAN13221	YEAST05012
OG0000444	HUMAN06130, HUMAN06129, HUMAN02376, HUMAN02375, HUMAN02373, HUMAN02374, HUMAN05043, HUMAN05044, HUMAN20398	YEAST01115, YEAST04019
OG0000445	HUMAN25336, HUMAN25337	YEAST03068
OG0000450	HUMAN21185, HUMAN25687, HUMAN10924, HUMAN04606, HUMAN04607, HUMAN07391, HUMAN10922, HUMAN26408, HUMAN26409, HUMAN07392	YEAST04709, YEAST05909
OG0000461	HUMAN26401, HUMAN26402, HUMAN07313, HUMAN07312, HUMAN07311, HUMAN07310	YEAST00120
OG0000467	HUMAN02442	YEAST05317
OG0000467	HUMAN29942, HUMAN20849, HUMAN02441, HUMAN02850, HUMAN02852, HUMAN02440, HUMAN20851	YEAST03162
OG0000468	HUMAN29031, HUMAN08624	YEAST04372
OG0000469	HUMAN20925, HUMAN02455, HUMAN20460, HUMAN20461, HUMAN02876, HUMAN30502, HUMAN30503	YEAST02179, YEAST05440
OG0000469	HUMAN23651	YEAST00863
OG0000474	HUMAN06611, HUMAN06612, HUMAN06609, HUMAN12853, HUMAN12852, HUMAN20808, HUMAN18157	YEAST02384
OG0000476	HUMAN29055, HUMAN29052, HUMAN29053	YEAST03038
OG0000479	HUMAN00548, HUMAN25778, HUMAN30326, HUMAN04562, HUMAN19754, HUMAN19753	YEAST04139
OG0000480	HUMAN21970, HUMAN21960, HUMAN21962, HUMAN00364, HUMAN00362, HUMAN00363	YEAST05750
OG0000481	HUMAN10860, HUMAN10858	YEAST01040
OG0000481	HUMAN29163, HUMAN29162	YEAST00916
OG0000481	HUMAN23804, HUMAN27663, HUMAN23805, HUMAN27664	YEAST00827, YEAST00774
OG0000484	HUMAN14629, HUMAN01113, HUMAN01114, HUMAN23384, HUMAN23383, HUMAN23382, HUMAN15014	YEAST05824
OG0000486	HUMAN22789, HUMAN03580	YEAST03122, YEAST04270
OG0000487	HUMAN08710	YEAST04968
OG0000487	HUMAN13410	YEAST02728
OG0000488	HUMAN00615, HUMAN00613, HUMAN19011, HUMAN08584, HUMAN08583, HUMAN19010	YEAST01414
OG0000490	HUMAN01260, HUMAN14885, HUMAN24885, HUMAN24884, HUMAN29378	YEAST04297, YEAST00894
OG0000505	HUMAN14348, HUMAN28801, HUMAN09568, HUMAN09567, HUMAN01623, HUMAN09569, HUMAN28802, HUMAN01622	YEAST03067
OG0000508	HUMAN12380, HUMAN26281, HUMAN12381, HUMAN06650, HUMAN18003, HUMAN07104, HUMAN11706	YEAST04626
OG0000510	HUMAN12686, HUMAN27025, HUMAN07364, HUMAN05041	YEAST04569, YEAST05730
OG0000515	HUMAN03447	YEAST04784, YEAST05876
OG0000519	HUMAN19983, HUMAN19982, HUMAN19989, HUMAN19990, HUMAN19995, HUMAN19992, HUMAN19985	YEAST04594, YEAST03616
OG0000520	HUMAN07303, HUMAN10919, HUMAN15317, HUMAN05571	YEAST02979
OG0000523	HUMAN10111	YEAST04693, YEAST04692
OG0000523	HUMAN07168, HUMAN28721, HUMAN28788, HUMAN09547, HUMAN10110, HUMAN07167	YEAST01952, YEAST05838, YEAST06082
OG0000529	HUMAN02129, HUMAN17231, HUMAN17232, HUMAN05856, HUMAN11986, HUMAN00177	YEAST05790, YEAST00048
OG0000534	HUMAN12813, HUMAN17739, HUMAN06369, HUMAN12812, HUMAN12811, HUMAN06370	YEAST04932
OG0000538	HUMAN17702, HUMAN06667, HUMAN06666, HUMAN03004, HUMAN12817	YEAST00499
OG0000552	HUMAN23579, HUMAN23580, HUMAN13654, HUMAN30481	YEAST05717
OG0000561	HUMAN08902, HUMAN08905, HUMAN04883, HUMAN23834	YEAST06202, YEAST00331
OG0000562	HUMAN14967, HUMAN14968, HUMAN20748, HUMAN20749	YEAST00314
OG0000563	HUMAN07268, HUMAN13046, HUMAN07267	YEAST01406
OG0000566	HUMAN13951, HUMAN09508, HUMAN09507, HUMAN12454	YEAST05789, YEAST00049
OG0000573	HUMAN05881, HUMAN26705, HUMAN21827, HUMAN00083, HUMAN09505	YEAST05675
OG0000576	HUMAN06494, HUMAN17099, HUMAN19648, HUMAN06497, HUMAN20975, HUMAN06495, HUMAN06496	YEAST00470, YEAST00193
OG0000578	HUMAN04779, HUMAN04778, HUMAN04780, HUMAN04777, HUMAN16988, HUMAN16989, HUMAN08467, HUMAN15796	YEAST01208, YEAST00759
OG0000579	HUMAN06899, HUMAN02365, HUMAN20498, HUMAN30498	YEAST02484
OG0000582	HUMAN14892, HUMAN02173, HUMAN29110, HUMAN24912, HUMAN24913	YEAST03615
OG0000587	HUMAN18299, HUMAN18301, HUMAN26727, HUMAN29633, HUMAN29632	YEAST04063
OG0000587	HUMAN15867	YEAST03372
OG0000588	HUMAN14858, HUMAN01187, HUMAN28650, HUMAN05176, HUMAN05175	YEAST05197
OG0000590	HUMAN12677, HUMAN12674, HUMAN20582, HUMAN20581, HUMAN12676, HUMAN06597, HUMAN13708, HUMAN19211	YEAST05110, YEAST05552, YEAST03727
OG0000592	HUMAN28912, HUMAN11498, HUMAN04372, HUMAN04369, HUMAN04371	YEAST00388
OG0000597	HUMAN10866, HUMAN12318, HUMAN05005, HUMAN07090, HUMAN09706, HUMAN28946	YEAST04330
OG0000609	HUMAN08370, HUMAN07817, HUMAN18125, HUMAN18126, HUMAN06700	YEAST05180
OG0000612	HUMAN22280, HUMAN03773, HUMAN17186	YEAST02370
OG0000612	HUMAN18998	YEAST03629
OG0000613	HUMAN25530, HUMAN19034, HUMAN00632, HUMAN23544, HUMAN23543	YEAST01072
OG0000623	HUMAN29673, HUMAN25277	YEAST02411
OG0000623	HUMAN13183, HUMAN20164	YEAST05090
OG0000627	HUMAN09737, HUMAN09736, HUMAN05647, HUMAN05648, HUMAN15261, HUMAN15260, HUMAN21321	YEAST02116, YEAST03957
OG0000639	HUMAN09533, HUMAN09532, HUMAN14008, HUMAN14006, HUMAN11331, HUMAN27984, HUMAN18874	YEAST02015
OG0000642	HUMAN22651, HUMAN16907	YEAST00618
OG0000645	HUMAN10998	YEAST05140
OG0000645	HUMAN28596, HUMAN09882	YEAST04743
OG0000647	HUMAN03824, HUMAN18655, HUMAN03823	YEAST04534
OG0000648	HUMAN24454, HUMAN24452, HUMAN30639, HUMAN30638, HUMAN30677, HUMAN30667, HUMAN24455, HUMAN11456	YEAST04178, YEAST05641
OG0000657	HUMAN28804, HUMAN09580	YEAST03846
OG0000660	HUMAN17951, HUMAN29765, HUMAN20002, HUMAN12473, HUMAN18492	YEAST05150, YEAST01587
OG0000662	HUMAN07575, HUMAN24055, HUMAN20160, HUMAN13608, HUMAN20161, HUMAN20159	YEAST05937
OG0000663	HUMAN28104, HUMAN16610, HUMAN28105	YEAST02675, YEAST03294
OG0000665	HUMAN28608	YEAST03843
OG0000672	HUMAN21925, HUMAN11935	YEAST03771
OG0000672	HUMAN13493	YEAST00984
OG0000676	HUMAN28075, HUMAN19050, HUMAN28076	YEAST01503
OG0000676	HUMAN18527, HUMAN30341, HUMAN07788	YEAST02962
OG0000683	HUMAN29566, HUMAN28759, HUMAN14845, HUMAN01197, HUMAN01198	YEAST03152, YEAST03537, YEAST05938
OG0000690	HUMAN00660, HUMAN25490	YEAST04874
OG0000690	HUMAN30038	YEAST02296
OG0000692	HUMAN11735	YEAST03487
OG0000694	HUMAN02728, HUMAN02501, HUMAN17273	YEAST05978
OG0000699	HUMAN05215, HUMAN29998, HUMAN29994, HUMAN29993, HUMAN29997, HUMAN26731, HUMAN26730, HUMAN18295, HUMAN05213, HUMAN05214	YEAST05706
OG0000701	HUMAN24288, HUMAN03226, HUMAN03225, HUMAN17194, HUMAN26260, HUMAN26261	YEAST02239, YEAST02223
OG0000703	HUMAN24282, HUMAN22696, HUMAN22695, HUMAN22697	YEAST05314
OG0000708	HUMAN01283, HUMAN06223, HUMAN30508, HUMAN30507	YEAST05997
OG0000709	HUMAN04953, HUMAN25132, HUMAN03251	YEAST00057
OG0000724	HUMAN25095, HUMAN09359, HUMAN09361, HUMAN09360	YEAST02013
OG0000732	HUMAN30215, HUMAN30214, HUMAN18534, HUMAN18537, HUMAN18535, HUMAN18536, HUMAN14638, HUMAN14637, HUMAN14636, HUMAN01096	YEAST04978
OG0000733	HUMAN08500, HUMAN04842, HUMAN02482, HUMAN08921, HUMAN08918, HUMAN25076	YEAST05474
OG0000735	HUMAN25549, HUMAN25550, HUMAN18959, HUMAN28130, HUMAN28133, HUMAN18960	YEAST05945
OG0000737	HUMAN03705, HUMAN17101, HUMAN17102	YEAST05188
OG0000744	HUMAN00289, HUMAN00292, HUMAN00290, HUMAN00281, HUMAN07979, HUMAN27970, HUMAN18870	YEAST05951
OG0000745	HUMAN16914, HUMAN16913, HUMAN16912	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	HUMAN03702, HUMAN29677, HUMAN29676, HUMAN29675, HUMAN00918, HUMAN14778	YEAST01432, YEAST04483
OG0000753	HUMAN09485, HUMAN02007, HUMAN05622, HUMAN05621	YEAST01034, YEAST02037
OG0000757	HUMAN13317, HUMAN25714, HUMAN19628, HUMAN19627, HUMAN19629, HUMAN10800, HUMAN18080	YEAST01489
OG0000758	HUMAN28239, HUMAN00461, HUMAN00462, HUMAN28238, HUMAN16598	YEAST01504
