Orthogroup	HUMAN	NEMVE
OG0000020	HUMAN02145	NEMVE05506
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	NEMVE08770, NEMVE22771
OG0000020	HUMAN00010	NEMVE13577
OG0000020	HUMAN23847, HUMAN23024	NEMVE13307
OG0000020	HUMAN22639	NEMVE21746
OG0000020	HUMAN20816	NEMVE13092
OG0000021	HUMAN11054, HUMAN23166, HUMAN12331	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	HUMAN04273, HUMAN30251, HUMAN00882, HUMAN00880, HUMAN00881, HUMAN24068	NEMVE04837
OG0000023	HUMAN03767	NEMVE01882
OG0000023	HUMAN05402	NEMVE07698
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	HUMAN11130	NEMVE18254
OG0000026	HUMAN16545	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	HUMAN07669, HUMAN21745	NEMVE24164, NEMVE07469
OG0000026	HUMAN26724, HUMAN26725	NEMVE07551, NEMVE15646
OG0000027	HUMAN15899, HUMAN15933, HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471, HUMAN16847	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	NEMVE01722, NEMVE08343
OG0000031	HUMAN17850	NEMVE01854
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	NEMVE06981
OG0000031	HUMAN12874	NEMVE07223
OG0000031	HUMAN26043	NEMVE01806
OG0000031	HUMAN26979, HUMAN14235	NEMVE02343
OG0000031	HUMAN21432	NEMVE04984
OG0000031	HUMAN07725	NEMVE07820
OG0000031	HUMAN14922, HUMAN14786	NEMVE12067
OG0000031	HUMAN07726, HUMAN22322	NEMVE21885
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	NEMVE22486
OG0000034	HUMAN11672, HUMAN11673	NEMVE07311, NEMVE07285
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	NEMVE10927
OG0000034	HUMAN01831, HUMAN13891	NEMVE10961, NEMVE24294
OG0000034	HUMAN04678	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	NEMVE05344
OG0000034	HUMAN04988	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	HUMAN06576	NEMVE23841
OG0000035	HUMAN09866	NEMVE22676
OG0000035	HUMAN06191, HUMAN03898	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	HUMAN11289	NEMVE07419, NEMVE07417
OG0000036	HUMAN27983, HUMAN15223	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817, HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	NEMVE00865, NEMVE01113
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	NEMVE10401
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	NEMVE16337, NEMVE14526
OG0000038	HUMAN19701	NEMVE02186
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	NEMVE01371, NEMVE05995
OG0000039	HUMAN29023	NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450	NEMVE15743
OG0000039	HUMAN13199	NEMVE18297, NEMVE18296
OG0000041	HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	NEMVE05295
OG0000043	HUMAN30603, HUMAN30589, HUMAN30600	NEMVE00880
OG0000044	HUMAN22417, HUMAN24391, HUMAN07519, HUMAN07517	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	HUMAN24293	NEMVE14588
OG0000045	HUMAN02932	NEMVE24106
OG0000045	HUMAN28768	NEMVE00309, NEMVE15224, NEMVE04686
OG0000046	HUMAN23116, HUMAN22960, HUMAN22324, HUMAN22325, HUMAN22323, HUMAN29094	NEMVE08905, NEMVE15252
OG0000047	HUMAN22760	NEMVE04832
OG0000048	HUMAN29550	NEMVE05567
OG0000048	HUMAN08560, HUMAN08561, HUMAN16328	NEMVE14912
OG0000048	HUMAN16644	NEMVE14024
OG0000048	HUMAN11449	NEMVE15061
OG0000049	HUMAN25699, HUMAN05316, HUMAN20965, HUMAN26499, HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	HUMAN26913	NEMVE07661, NEMVE06992, NEMVE00847
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	NEMVE18951, NEMVE15008
OG0000054	HUMAN23119	NEMVE15086, NEMVE10916
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	NEMVE05466
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	HUMAN07396, HUMAN07395	NEMVE01503, NEMVE04541
OG0000056	HUMAN14865	NEMVE19957, NEMVE15228
OG0000057	HUMAN23569, HUMAN10014	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	HUMAN29650	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	HUMAN17378, HUMAN03592	NEMVE13151
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	NEMVE10327
OG0000062	HUMAN25285	NEMVE14126
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	NEMVE05614
OG0000063	HUMAN21099	NEMVE00961
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	NEMVE09684
OG0000065	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	HUMAN29798	NEMVE02094, NEMVE00829
OG0000067	HUMAN24070, HUMAN22809	NEMVE14139, NEMVE14099
OG0000068	HUMAN26983, HUMAN26982, HUMAN30562, HUMAN21443, HUMAN02454, HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933, HUMAN20381	NEMVE24661, NEMVE20048
OG0000069	HUMAN01574	NEMVE21739
OG0000069	HUMAN13360, HUMAN02573, HUMAN06204	NEMVE15092
OG0000069	HUMAN13361, HUMAN02574	NEMVE02861
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	NEMVE13176, NEMVE12607
OG0000069	HUMAN01571	NEMVE21912
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	HUMAN17352	NEMVE22171
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	NEMVE01460
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	NEMVE07818
OG0000074	HUMAN09283	NEMVE04681
OG0000075	HUMAN12839, HUMAN02593	NEMVE23844
OG0000075	HUMAN06329	NEMVE13100
OG0000075	HUMAN00444	NEMVE15115
OG0000075	HUMAN05218	NEMVE21913
OG0000075	HUMAN18234, HUMAN06328	NEMVE18051
OG0000075	HUMAN00445, HUMAN21048	NEMVE06044
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	NEMVE24197
OG0000075	HUMAN05783, HUMAN21047	NEMVE22411
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	NEMVE17771
OG0000075	HUMAN26884	NEMVE07707
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606, HUMAN21328, HUMAN05501, HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146, HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402, HUMAN03419	NEMVE04990
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	NEMVE17207
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	NEMVE07219, NEMVE03189
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260, HUMAN13037	NEMVE08009
