Orthogroup	HUMAN	ASTMX
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783	ASTMX03256
OG0000006	HUMAN08640	ASTMX09680
OG0000006	HUMAN25905	ASTMX14682, ASTMX19702
OG0000006	HUMAN23524	ASTMX21126, ASTMX03352
OG0000006	HUMAN03111	ASTMX06644
OG0000006	HUMAN14017	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792	ASTMX03759
OG0000006	HUMAN03581	ASTMX02775
OG0000006	HUMAN23822	ASTMX15412
OG0000006	HUMAN08856	ASTMX14827
OG0000006	HUMAN08442	ASTMX08479, ASTMX15103
OG0000006	HUMAN17032	ASTMX11575, ASTMX03265
OG0000006	HUMAN24331	ASTMX10604
OG0000006	HUMAN12248	ASTMX16006
OG0000007	HUMAN24418	ASTMX14980
OG0000007	HUMAN09570	ASTMX05134
OG0000007	HUMAN28803	ASTMX12498
OG0000007	HUMAN15831	ASTMX06316
OG0000007	HUMAN18759	ASTMX09513
OG0000007	HUMAN08323	ASTMX08102
OG0000007	HUMAN01097	ASTMX05483
OG0000007	HUMAN23486, HUMAN00971	ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	HUMAN28936	ASTMX22657
OG0000007	HUMAN00970	ASTMX04001
OG0000007	HUMAN24202	ASTMX22264, ASTMX09321
OG0000007	HUMAN17278	ASTMX14799
OG0000007	HUMAN03780	ASTMX12582
OG0000007	HUMAN21567	ASTMX21073, ASTMX16179
OG0000007	HUMAN28408	ASTMX20070
OG0000007	HUMAN24416	ASTMX22376, ASTMX11119
OG0000007	HUMAN24417	ASTMX14979
OG0000007	HUMAN11533	ASTMX02564
OG0000007	HUMAN12258	ASTMX18062
OG0000007	HUMAN07103	ASTMX21262
OG0000007	HUMAN08774	ASTMX04848
OG0000007	HUMAN16949	ASTMX06558, ASTMX19375
OG0000007	HUMAN25936	ASTMX04966
OG0000007	HUMAN13634	ASTMX11650
OG0000007	HUMAN13395	ASTMX18779
OG0000007	HUMAN00818	ASTMX15846
OG0000007	HUMAN00819	ASTMX15847
OG0000007	HUMAN05935	ASTMX10097
OG0000007	HUMAN08248	ASTMX10986
OG0000008	HUMAN14538	ASTMX21956
OG0000008	HUMAN01095	ASTMX05481
OG0000008	HUMAN12190	ASTMX19133, ASTMX14439
OG0000008	HUMAN29311, HUMAN29312	ASTMX13345, ASTMX11364
OG0000008	HUMAN26474	ASTMX03057
OG0000008	HUMAN00243	ASTMX05709
OG0000010	HUMAN06424	ASTMX18922, ASTMX18921, ASTMX15088
OG0000010	HUMAN00318, HUMAN00317	ASTMX10678
OG0000010	HUMAN00316	ASTMX08865, ASTMX08864
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209
OG0000010	HUMAN11268	ASTMX19981
OG0000010	HUMAN18382	ASTMX21265
OG0000010	HUMAN14278	ASTMX18619
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000010	HUMAN06405, HUMAN06406	ASTMX11060
OG0000010	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	ASTMX06728, ASTMX17688, ASTMX18214
OG0000011	HUMAN08916	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000012	HUMAN26719, HUMAN26720	ASTMX16492
OG0000012	HUMAN11190	ASTMX06265
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415	ASTMX14510, ASTMX15685, ASTMX16246
OG0000013	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252
OG0000014	HUMAN11875	ASTMX02678
OG0000014	HUMAN11876	ASTMX08608, ASTMX07233
OG0000014	HUMAN01436	ASTMX17398, ASTMX00995, ASTMX00994
OG0000014	HUMAN06713	ASTMX13292
OG0000014	HUMAN20148	ASTMX07733
OG0000014	HUMAN13605, HUMAN13607	ASTMX16405, ASTMX12634
OG0000014	HUMAN13308, HUMAN13309	ASTMX17340, ASTMX01557
OG0000014	HUMAN03416	ASTMX03213, ASTMX07656
OG0000014	HUMAN01394	ASTMX01801
OG0000014	HUMAN18336, HUMAN03159	ASTMX03251, ASTMX15832
OG0000014	HUMAN25476	ASTMX12908
OG0000014	HUMAN30053	ASTMX11632
OG0000014	HUMAN13227	ASTMX01423, ASTMX16397
OG0000015	HUMAN22985	ASTMX21958, ASTMX03764
OG0000015	HUMAN24211	ASTMX01476, ASTMX13504
OG0000015	HUMAN00090	ASTMX02112
OG0000015	HUMAN24177	ASTMX15417, ASTMX08007
OG0000015	HUMAN09170	ASTMX15203, ASTMX18097
OG0000015	HUMAN25367	ASTMX09926, ASTMX15220
OG0000015	HUMAN21195	ASTMX13993, ASTMX07947
OG0000015	HUMAN24184	ASTMX18335
OG0000015	HUMAN22368	ASTMX18098
OG0000015	HUMAN09174	ASTMX06037
OG0000015	HUMAN22369	ASTMX18099, ASTMX04658
OG0000015	HUMAN24183	ASTMX18334
OG0000015	HUMAN30472	ASTMX04125
OG0000015	HUMAN09173	ASTMX06038
OG0000015	HUMAN22372	ASTMX04657
OG0000015	HUMAN24180, HUMAN24179, HUMAN24178	ASTMX18333
OG0000015	HUMAN29611	ASTMX00011
OG0000015	HUMAN23062	ASTMX18288
OG0000015	HUMAN24113	ASTMX04727
OG0000016	HUMAN11007, HUMAN11006	ASTMX03544
OG0000016	HUMAN21858	ASTMX09207
OG0000016	HUMAN10581	ASTMX17817
OG0000016	HUMAN10583	ASTMX17818, ASTMX05407
OG0000016	HUMAN12987	ASTMX11675
OG0000016	HUMAN03528	ASTMX17393
OG0000016	HUMAN07767	ASTMX00540
OG0000016	HUMAN25103	ASTMX02874
OG0000016	HUMAN25104	ASTMX17395
OG0000016	HUMAN06120	ASTMX13275
OG0000016	HUMAN04223	ASTMX19540, ASTMX20114, ASTMX00361
OG0000019	HUMAN06384	ASTMX03976, ASTMX18923
OG0000019	HUMAN12384	ASTMX14832
OG0000019	HUMAN12385	ASTMX21241, ASTMX14833
OG0000019	HUMAN18277	ASTMX15190, ASTMX17156
OG0000020	HUMAN26158	ASTMX12654
OG0000020	HUMAN12659	ASTMX04834
OG0000020	HUMAN26061	ASTMX22432
OG0000020	HUMAN08344	ASTMX12285
OG0000020	HUMAN00926	ASTMX15062
OG0000020	HUMAN02350, HUMAN02349	ASTMX14060
OG0000020	HUMAN28205	ASTMX00875, ASTMX06734
OG0000020	HUMAN16669	ASTMX14107, ASTMX08186
OG0000020	HUMAN00163	ASTMX17613
OG0000020	HUMAN17840	ASTMX00490, ASTMX12696
OG0000020	HUMAN05209	ASTMX03725
