Orthogroup	HUMAN	DANRE
OG0000032	HUMAN06100	DANRE30726, DANRE30725
OG0000032	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201
OG0000032	HUMAN21527	DANRE36261
OG0000032	HUMAN05202	DANRE20344, DANRE20343
OG0000032	HUMAN10072	DANRE12884, DANRE39037
OG0000032	HUMAN19258	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	HUMAN10850	DANRE28945, DANRE28944
OG0000034	HUMAN11671	DANRE35039, DANRE35040
OG0000034	HUMAN07186	DANRE00143, DANRE39455
OG0000034	HUMAN11672, HUMAN11673	DANRE35041
OG0000034	HUMAN16090	DANRE29516, DANRE29515
OG0000034	HUMAN04116	DANRE12957, DANRE25460
OG0000034	HUMAN06217	DANRE31029, DANRE31030
OG0000034	HUMAN01449	DANRE23009, DANRE23010, DANRE02357
OG0000034	HUMAN02345	DANRE37022, DANRE22465
OG0000034	HUMAN06854	DANRE31461, DANRE31460, DANRE12388, DANRE12387
OG0000034	HUMAN03933	DANRE25947
OG0000034	HUMAN01831	DANRE14484, DANRE09880
OG0000034	HUMAN13891	DANRE38036
OG0000034	HUMAN04678	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	DANRE04100
OG0000034	HUMAN04988	DANRE25182
OG0000035	HUMAN06576	DANRE23313
OG0000035	HUMAN09866	DANRE38347, DANRE12928, DANRE12929
OG0000035	HUMAN06191	DANRE31052
OG0000035	HUMAN03898	DANRE25078, DANRE12998, DANRE12997
OG0000035	HUMAN03900	DANRE13480, DANRE13479
OG0000035	HUMAN05812, HUMAN05810	DANRE12467, DANRE12466, DANRE30988
OG0000035	HUMAN01460	DANRE36852, DANRE22281
OG0000035	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953	DANRE12942, DANRE38472
OG0000035	HUMAN05843, HUMAN05844	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758
OG0000035	HUMAN04381, HUMAN04382	DANRE12947, DANRE38221
OG0000035	HUMAN04383	DANRE38222, DANRE38223, DANRE12948
OG0000036	HUMAN08124	DANRE37867
OG0000036	HUMAN11288	DANRE38271
OG0000036	HUMAN11555	DANRE25335
OG0000036	HUMAN08152, HUMAN08151	DANRE27775, DANRE38068
OG0000036	HUMAN15233	DANRE26145, DANRE38623
OG0000036	HUMAN22872	DANRE07186
OG0000036	HUMAN15223	DANRE38630
OG0000037	HUMAN25006	DANRE11959, DANRE17549, DANRE11958
OG0000037	HUMAN02504	DANRE11635, DANRE11634, DANRE17282
OG0000037	HUMAN08759	DANRE17582, DANRE10717, DANRE10716
OG0000037	HUMAN04817	DANRE06286, DANRE06287
OG0000037	HUMAN02659, HUMAN02660	DANRE03950, DANRE03951, DANRE05592, DANRE05591
OG0000037	HUMAN04897	DANRE37805, DANRE37804
OG0000037	HUMAN15443	DANRE13383
OG0000037	HUMAN19040	DANRE22289, DANRE22290
OG0000037	HUMAN28273	DANRE13745
OG0000037	HUMAN16721	DANRE11904, DANRE17607
OG0000037	HUMAN03689	DANRE11315
OG0000038	HUMAN06348	DANRE23404, DANRE23403
OG0000038	HUMAN06346	DANRE23402
OG0000038	HUMAN18259, HUMAN18258	DANRE23401
OG0000038	HUMAN19701	DANRE41584
OG0000038	HUMAN18257	DANRE15348
OG0000039	HUMAN02107	DANRE18250, DANRE18249
OG0000039	HUMAN02110	DANRE18251
OG0000039	HUMAN02111	DANRE18253, DANRE18252
OG0000039	HUMAN29023	DANRE38069, DANRE38070
OG0000039	HUMAN13199	DANRE09344
OG0000040	HUMAN27040, HUMAN27041	DANRE12493, DANRE12492
OG0000040	HUMAN26646, HUMAN26642	DANRE30036
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	HUMAN01392	DANRE30701
