Orthogroup	HUMAN	SCHMD
OG0000062	HUMAN29104, HUMAN14474, HUMAN24841, HUMAN24843, HUMAN05951, HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195, HUMAN25285	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	SCHMD04855
OG0000063	HUMAN21099	SCHMD09653
OG0000063	HUMAN00859, HUMAN28501	SCHMD24452
OG0000065	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	HUMAN29798	SCHMD06030
OG0000068	HUMAN20381	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	HUMAN13360, HUMAN02573, HUMAN06204	SCHMD05798, SCHMD12262
OG0000069	HUMAN13361, HUMAN02574	SCHMD18974
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	SCHMD06745
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	SCHMD10090
OG0000073	HUMAN25174, HUMAN25175	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	HUMAN05218	SCHMD10965
OG0000075	HUMAN00445, HUMAN21048	SCHMD28477
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	SCHMD03704
OG0000075	HUMAN05783, HUMAN21047	SCHMD21424
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	SCHMD17571
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	SCHMD23576
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	SCHMD04824, SCHMD04525
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	HUMAN14208, HUMAN14194, HUMAN14192	SCHMD06941, SCHMD04736
OG0000082	HUMAN29167	SCHMD03263, SCHMD10119
OG0000082	HUMAN05645	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	HUMAN23871	SCHMD23210
OG0000084	HUMAN03696, HUMAN22975	SCHMD19821, SCHMD23941, SCHMD23870
OG0000085	HUMAN13119, HUMAN07215	SCHMD12836
OG0000085	HUMAN26172	SCHMD12466
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	SCHMD18327
OG0000087	HUMAN11956	SCHMD09405, SCHMD09406
OG0000087	HUMAN11957	SCHMD09409, SCHMD09408
OG0000087	HUMAN02557	SCHMD25358
OG0000087	HUMAN17213	SCHMD05855
OG0000087	HUMAN18010	SCHMD03393, SCHMD23919
OG0000093	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	HUMAN14813	SCHMD23746
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	SCHMD07753
OG0000096	HUMAN06775	SCHMD17840
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561	SCHMD10033
OG0000097	HUMAN01224, HUMAN01225, HUMAN01226	SCHMD22037, SCHMD20326
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	SCHMD29644, SCHMD22119
OG0000099	HUMAN05424	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	SCHMD29081, SCHMD19673
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	SCHMD08147
OG0000106	HUMAN01590, HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978, HUMAN27844, HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	HUMAN24628	SCHMD04920
OG0000113	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990	SCHMD06629, SCHMD02664
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000117	HUMAN14531	SCHMD02895
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949, HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779, HUMAN17940, HUMAN20669	SCHMD02911
OG0000119	HUMAN06569	SCHMD07212
OG0000120	HUMAN19072	SCHMD26849
OG0000122	HUMAN17167	SCHMD00543
OG0000122	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	SCHMD16641, SCHMD09849
OG0000124	HUMAN03991, HUMAN13586, HUMAN25969, HUMAN20106	SCHMD10270, SCHMD10271
OG0000124	HUMAN00442, HUMAN00443	SCHMD08774
OG0000126	HUMAN22360, HUMAN22375, HUMAN24176, HUMAN09168	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	HUMAN21845	SCHMD24144
OG0000126	HUMAN07493, HUMAN22359	SCHMD01813, SCHMD04253
OG0000127	HUMAN11945	SCHMD21110
OG0000127	HUMAN21549, HUMAN07766	SCHMD03781
OG0000128	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329	SCHMD25789, SCHMD19594
OG0000128	HUMAN21997	SCHMD29825
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	SCHMD20816, SCHMD05405
OG0000129	HUMAN05233, HUMAN30228	SCHMD03224
OG0000130	HUMAN26940, HUMAN21484, HUMAN03377	SCHMD17609
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	HUMAN23088	SCHMD04306
OG0000137	HUMAN25150, HUMAN25149	SCHMD09558
OG0000139	HUMAN26414	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
