Orthogroup	HUMAN	CAPO3
OG0003618	HUMAN27888, HUMAN27890	CAPO302109
OG0003619	HUMAN30124, HUMAN23959	CAPO304837
OG0003620	HUMAN00039, HUMAN00038, HUMAN00040, HUMAN00037	CAPO306673
OG0003621	HUMAN05310, HUMAN05311	CAPO302199
OG0003622	HUMAN18690	CAPO305075
OG0003624	HUMAN28864	CAPO303633
OG0003630	HUMAN10764, HUMAN10786	CAPO308012
OG0003631	HUMAN24131	CAPO303610
OG0003633	HUMAN05293	CAPO300056
OG0003635	HUMAN30608, HUMAN30607	CAPO308133
OG0003638	HUMAN08782	CAPO305555
OG0003640	HUMAN13431, HUMAN17671	CAPO301244
OG0003641	HUMAN13743, HUMAN13746, HUMAN13744, HUMAN19226	CAPO300746
OG0003644	HUMAN29286, HUMAN29287, HUMAN29285, HUMAN29284	CAPO304835
OG0003645	HUMAN12127, HUMAN12130, HUMAN20257, HUMAN20256, HUMAN12129, HUMAN12128	CAPO307108
OG0003646	HUMAN09524	CAPO304914
OG0003648	HUMAN16787, HUMAN16788, HUMAN16789	CAPO302617
OG0003649	HUMAN14411	CAPO301930
OG0003650	HUMAN19279, HUMAN19278, HUMAN19276, HUMAN19277	CAPO306633
OG0003651	HUMAN18587, HUMAN27840	CAPO305370
OG0003652	HUMAN05434, HUMAN25517	CAPO300427
OG0003655	HUMAN25720, HUMAN07525	CAPO303553
OG0003656	HUMAN09498, HUMAN09499, HUMAN01632	CAPO301350
OG0003657	HUMAN17897	CAPO305783
OG0003658	HUMAN26110, HUMAN26109	CAPO303162
OG0003661	HUMAN06668	CAPO300815
OG0003664	HUMAN12052	CAPO305504
OG0003666	HUMAN29133, HUMAN02252	CAPO300690
OG0003667	HUMAN19771	CAPO303859
OG0003668	HUMAN30167, HUMAN09900, HUMAN09899	CAPO300260
OG0003669	HUMAN29028	CAPO305883
OG0003671	HUMAN03501, HUMAN24226	CAPO308173
OG0003672	HUMAN12138	CAPO300582
OG0003676	HUMAN29262	CAPO304948
OG0003677	HUMAN17731, HUMAN02931, HUMAN12515, HUMAN12514	CAPO300011
OG0003679	HUMAN21403, HUMAN02922	CAPO304696
OG0003680	HUMAN06616, HUMAN18004, HUMAN18005	CAPO300884
OG0003682	HUMAN02555	CAPO302793
OG0003682	HUMAN02554	CAPO301860
OG0003684	HUMAN14029, HUMAN14028	CAPO302734
OG0003685	HUMAN28658, HUMAN09512	CAPO305996
OG0003686	HUMAN11096	CAPO302144
OG0003687	HUMAN06582, HUMAN12545, HUMAN17984	CAPO301501
OG0003688	HUMAN00391, HUMAN00390	CAPO307252
OG0003689	HUMAN12564, HUMAN17888	CAPO301215
OG0003690	HUMAN08255, HUMAN08254, HUMAN08253	CAPO307478
OG0003693	HUMAN05789, HUMAN05791, HUMAN05790, HUMAN21038	CAPO302269
OG0003694	HUMAN01597	CAPO307654
OG0003695	HUMAN29320, HUMAN28471	CAPO303363
OG0003696	HUMAN26795	CAPO304903
OG0003697	HUMAN13631	CAPO307718
OG0003698	HUMAN03524, HUMAN27578	CAPO306302
OG0003700	HUMAN10461, HUMAN13432, HUMAN13433	CAPO304411
OG0003703	HUMAN04604, HUMAN09417, HUMAN09419, HUMAN09418	CAPO305764
OG0003704	HUMAN14829, HUMAN01005	CAPO308213
OG0003710	HUMAN29654, HUMAN22687	CAPO301647
OG0003712	HUMAN20248, HUMAN10482	CAPO300556
OG0003713	HUMAN02247, HUMAN02248	CAPO306178
OG0003716	HUMAN21975	CAPO303976
OG0003717	HUMAN00711, HUMAN24583	CAPO306282
OG0003718	HUMAN18082	CAPO307310
OG0003719	HUMAN01524	CAPO300227
OG0003720	HUMAN02239, HUMAN24894	CAPO300371
OG0003721	HUMAN08875, HUMAN04841	CAPO300976, CAPO300975
OG0003722	HUMAN01183, HUMAN29299	CAPO300031
OG0003724	HUMAN00259	CAPO308007
OG0003724	HUMAN00260	CAPO307589
OG0003729	HUMAN17750	CAPO307394
OG0003730	HUMAN03774	CAPO305074
OG0003731	HUMAN14612, HUMAN14611	CAPO304053
OG0003732	HUMAN17458	CAPO306498
OG0003733	HUMAN28575	CAPO305671
OG0003734	HUMAN29356, HUMAN29355	CAPO305564
OG0003735	HUMAN05438, HUMAN05437	CAPO308150
OG0003738	HUMAN12341	CAPO304238
OG0003739	HUMAN17673	CAPO300467
OG0003740	HUMAN04216, HUMAN04217	CAPO307238
OG0003741	HUMAN15538	CAPO305770
OG0003742	HUMAN26023, HUMAN06690, HUMAN06689	CAPO303080
OG0003743	HUMAN07084, HUMAN07087, HUMAN07083, HUMAN07085	CAPO302360
OG0003744	HUMAN29944, HUMAN20993, HUMAN20992	CAPO306491
OG0003745	HUMAN19746, HUMAN19745, HUMAN19747, HUMAN19744	CAPO307585
OG0003749	HUMAN06179	CAPO306992
OG0003750	HUMAN18942, HUMAN18943	CAPO304840
OG0003752	HUMAN28947, HUMAN09871	CAPO306304
OG0003754	HUMAN04680, HUMAN06799	CAPO305643
OG0003755	HUMAN13092	CAPO300113
OG0003756	HUMAN11263	CAPO307901
OG0003758	HUMAN12883, HUMAN12882, HUMAN06530, HUMAN06529, HUMAN06528	CAPO308214
OG0003759	HUMAN11801, HUMAN24876	CAPO307476
OG0003760	HUMAN13770, HUMAN13772, HUMAN13771, HUMAN16625, HUMAN16624	CAPO304944
OG0003761	HUMAN09889, HUMAN28585	CAPO301690
OG0003762	HUMAN13397, HUMAN10438, HUMAN10436, HUMAN10437, HUMAN10440	CAPO303010
OG0003764	HUMAN13587, HUMAN13588	CAPO300879
OG0003767	HUMAN28071, HUMAN28072	CAPO301363
OG0003769	HUMAN08202	CAPO305668
OG0003770	HUMAN05135, HUMAN05134	CAPO300865, CAPO305387
OG0003771	HUMAN13368, HUMAN13367, HUMAN20264, HUMAN13369	CAPO300755
OG0003773	HUMAN10264, HUMAN12965	CAPO301706
OG0003776	HUMAN19372, HUMAN19371	CAPO306521
OG0003778	HUMAN16925, HUMAN19684, HUMAN19685	CAPO302558
OG0003779	HUMAN11974	CAPO304919
OG0003781	HUMAN22177, HUMAN03631, HUMAN03630, HUMAN03632	CAPO307368
OG0003798	HUMAN17950, HUMAN06536	CAPO300229
OG0003803	HUMAN02236	CAPO307540
OG0003806	HUMAN10280	CAPO304817
OG0003807	HUMAN10606, HUMAN10605	CAPO308021
OG0003808	HUMAN00688, HUMAN00686	CAPO308095
OG0003809	HUMAN22691	CAPO306197
OG0003811	HUMAN22421, HUMAN22419	CAPO302863
OG0003812	HUMAN29819	CAPO300349
OG0003813	HUMAN22627, HUMAN18665	CAPO305053
OG0003818	HUMAN07697	CAPO306945
OG0003820	HUMAN28538, HUMAN28537	CAPO302724
OG0003823	HUMAN18565, HUMAN16630, HUMAN16629, HUMAN28229	CAPO305304
OG0003824	HUMAN27737	CAPO300109
OG0003826	HUMAN11781	CAPO303948
OG0003827	HUMAN01147	CAPO302156
OG0003828	HUMAN29062	CAPO304442
OG0003829	HUMAN01266	CAPO304825
OG0003831	HUMAN22335	CAPO301320
OG0003833	HUMAN27613	CAPO305448
OG0003834	HUMAN14036, HUMAN11315	CAPO307203
OG0003835	HUMAN16694	CAPO300102
OG0003836	HUMAN22326, HUMAN24116	CAPO301610
OG0003837	HUMAN13331	CAPO304430
OG0003838	HUMAN07732, HUMAN07731, HUMAN22348	CAPO304061, CAPO304064
OG0003839	HUMAN02039	CAPO300238, CAPO301543, CAPO307066
OG0003840	HUMAN09600, HUMAN01591, HUMAN09601	CAPO300299
OG0003843	HUMAN17036	CAPO301582
OG0003844	HUMAN28532	CAPO306235
OG0003845	HUMAN13124	CAPO302000
OG0003846	HUMAN27511, HUMAN17115, HUMAN27512, HUMAN17116	CAPO300905
OG0003847	HUMAN12497	CAPO301495
OG0003848	HUMAN02199	CAPO305229, CAPO305228
OG0003850	HUMAN00536, HUMAN00537, HUMAN00534, HUMAN00535	CAPO306458
OG0003851	HUMAN02980, HUMAN02979	CAPO301154
OG0003852	HUMAN10038, HUMAN10035, HUMAN23688, HUMAN10036	CAPO302241
OG0003853	HUMAN25110, HUMAN25109	CAPO308238
OG0003854	HUMAN15026, HUMAN15025, HUMAN15024, HUMAN15023, HUMAN10092, HUMAN10091	CAPO306385
OG0003855	HUMAN01644, HUMAN01643	CAPO304198
OG0003856	HUMAN20705	CAPO308004
OG0003857	HUMAN10555	CAPO302185
OG0003858	HUMAN25115	CAPO300728
OG0003859	HUMAN16756, HUMAN16757, HUMAN16755	CAPO306990
OG0003860	HUMAN02815, HUMAN02817, HUMAN02816, HUMAN02814	CAPO303899
OG0003861	HUMAN19469	CAPO302754
OG0003863	HUMAN03803, HUMAN03804	CAPO300200
OG0003864	HUMAN15578, HUMAN15577	CAPO300087
OG0003865	HUMAN21906, HUMAN06498	CAPO304904
OG0003866	HUMAN29685, HUMAN05999, HUMAN29686	CAPO302683
OG0003867	HUMAN26780	CAPO301767
OG0003868	HUMAN14809, HUMAN02201	CAPO306848
OG0003869	HUMAN12692	CAPO307094
OG0003870	HUMAN16081, HUMAN16083, HUMAN16082	CAPO305132
OG0003872	HUMAN19735	CAPO300319
OG0003873	HUMAN02732	CAPO305775
OG0003875	HUMAN04342	CAPO303382
OG0003876	HUMAN28953, HUMAN28954	CAPO307728
OG0003878	HUMAN01357, HUMAN01358	CAPO308329
OG0003881	HUMAN00160	CAPO303685
OG0003886	HUMAN12711, HUMAN02704	CAPO304109
OG0003887	HUMAN01579	CAPO307036
OG0003888	HUMAN19589, HUMAN19338	CAPO302764
OG0003890	HUMAN17103, HUMAN24051	CAPO304707
OG0003892	HUMAN02849, HUMAN02848	CAPO307708
OG0003893	HUMAN17502	CAPO300022
OG0003894	HUMAN29298	CAPO302778
OG0003897	HUMAN18373, HUMAN18372	CAPO303759
OG0003898	HUMAN21809, HUMAN21810	CAPO307893, CAPO307749, CAPO306069
OG0003899	HUMAN28708, HUMAN28709	CAPO300674
OG0003900	HUMAN04893, HUMAN04894, HUMAN04892	CAPO301714
OG0003901	HUMAN25158, HUMAN00514	CAPO301256
OG0003903	HUMAN22257	CAPO305736
OG0003904	HUMAN14015, HUMAN09983, HUMAN09982, HUMAN09984	CAPO305947
OG0003906	HUMAN14951	CAPO301369
OG0003908	HUMAN22926	CAPO301425
OG0003908	HUMAN06953, HUMAN06952, HUMAN06951	CAPO308216
OG0003909	HUMAN16634	CAPO301220
OG0003910	HUMAN25500, HUMAN00726, HUMAN00725	CAPO302786
OG0003911	HUMAN18914, HUMAN18913	CAPO305312
OG0003912	HUMAN18812, HUMAN11530, HUMAN11531	CAPO307896
OG0003913	HUMAN22057	CAPO306587
OG0003914	HUMAN09921, HUMAN09922	CAPO301224
OG0003915	HUMAN07885, HUMAN30288	CAPO304633
OG0003917	HUMAN17384	CAPO306797
OG0003920	HUMAN00591, HUMAN00592	CAPO301554
OG0003921	HUMAN27803	CAPO300430
OG0003922	HUMAN21903, HUMAN21904	CAPO304241
OG0003924	HUMAN28661, HUMAN01820	CAPO302790
OG0003925	HUMAN00566, HUMAN00563, HUMAN00564, HUMAN00565	CAPO301662
OG0003926	HUMAN00418	CAPO303036
OG0003927	HUMAN07340, HUMAN07339	CAPO304671
OG0003929	HUMAN11590, HUMAN11588, HUMAN11589, HUMAN11587	CAPO303872
OG0003930	HUMAN06981, HUMAN06983	CAPO301599
OG0003931	HUMAN10525, HUMAN10524, HUMAN29902	CAPO304399
OG0003934	HUMAN16284	CAPO301204
OG0003936	HUMAN11264	CAPO302163
OG0003938	HUMAN16018	CAPO305166
OG0003939	HUMAN02684	CAPO303853
OG0003942	HUMAN25725	CAPO300632
OG0003944	HUMAN21868	CAPO300493
OG0003945	HUMAN05797, HUMAN05796, HUMAN24950	CAPO300812
OG0003946	HUMAN03504, HUMAN03508, HUMAN22287	CAPO303843
OG0003947	HUMAN22108, HUMAN27709	CAPO306325
OG0003950	HUMAN03842, HUMAN03843	CAPO307097
OG0003954	HUMAN28199, HUMAN16670	CAPO304758
OG0003955	HUMAN23068	CAPO304097
OG0003959	HUMAN29359	CAPO304028
OG0003961	HUMAN00898	CAPO303890
OG0003965	HUMAN00594, HUMAN00595, HUMAN00593	CAPO302867
OG0003966	HUMAN19472, HUMAN19475, HUMAN19474, HUMAN19476, HUMAN19471	CAPO301181
OG0003969	HUMAN08409	CAPO304197
OG0003971	HUMAN29506	CAPO301852
OG0003972	HUMAN19162	CAPO308018
OG0003973	HUMAN08329, HUMAN18737	CAPO307513
OG0003998	HUMAN17020	CAPO305634
OG0003999	HUMAN27197, HUMAN27199, HUMAN27198	CAPO306327
OG0004000	HUMAN20817	CAPO302913
OG0004002	HUMAN02677	CAPO305544
OG0004005	HUMAN16559	CAPO305860
OG0004005	HUMAN16556, HUMAN16557, HUMAN16560, HUMAN16558	CAPO302213
OG0004007	HUMAN28701	CAPO308280
OG0004007	HUMAN01069, HUMAN23295	CAPO307105
OG0004009	HUMAN22781, HUMAN03273	CAPO305072
OG0004010	HUMAN23360	CAPO303524
OG0004012	HUMAN24339, HUMAN24338, HUMAN24337	CAPO308011
OG0004014	HUMAN18181	CAPO303473
OG0004015	HUMAN01156	CAPO305112
OG0004016	HUMAN06482	CAPO303609
OG0004017	HUMAN10876	CAPO308124
OG0004023	HUMAN27981, HUMAN11239, HUMAN11240, HUMAN11242	CAPO307204
OG0004027	HUMAN06638, HUMAN12722	CAPO301145
OG0004031	HUMAN15780	CAPO306218
OG0004032	HUMAN30274, HUMAN07906	CAPO300291
OG0004033	HUMAN02667	CAPO304862
OG0004035	HUMAN18569	CAPO301995
OG0004037	HUMAN18538, HUMAN18540	CAPO306482
OG0004038	HUMAN14761, HUMAN14760	CAPO307927
OG0004041	HUMAN18706	CAPO306646
OG0004042	HUMAN04449	CAPO302696
OG0004044	HUMAN20694	CAPO300275
OG0004047	HUMAN13570	CAPO304083
OG0004048	HUMAN22101, HUMAN22100	CAPO304654
OG0004050	HUMAN20375	CAPO308116
OG0004053	HUMAN04048, HUMAN29957, HUMAN28825, HUMAN01839	CAPO301919
OG0004054	HUMAN08335, HUMAN15782	CAPO308277
OG0004056	HUMAN23551, HUMAN21186	CAPO306031
OG0004058	HUMAN16633, HUMAN16632	CAPO301904
OG0004059	HUMAN15830, HUMAN15829	CAPO301877
OG0004063	HUMAN07941, HUMAN07942	CAPO300628
OG0004064	HUMAN18276, HUMAN18275	CAPO304453
OG0004065	HUMAN00215, HUMAN00216	CAPO304029
OG0004067	HUMAN18034	CAPO301812
OG0004068	HUMAN30035, HUMAN30649, HUMAN30612	CAPO301030
OG0004069	HUMAN28854, HUMAN09465, HUMAN09466	CAPO307785
OG0004070	HUMAN25913, HUMAN25912	CAPO302894
OG0004071	HUMAN02291, HUMAN24781, HUMAN24782, HUMAN29079	CAPO306388
OG0004072	HUMAN13160	CAPO305194
OG0004075	HUMAN10663	CAPO308024
OG0004076	HUMAN28164, HUMAN28163, HUMAN28165, HUMAN28162	CAPO307967
OG0004079	HUMAN22873	CAPO300687
OG0004080	HUMAN18253, HUMAN27257	CAPO305236
OG0004081	HUMAN18386	CAPO301069
OG0004082	HUMAN18511	CAPO305460
OG0004083	HUMAN08562	CAPO304047
OG0004085	HUMAN07816	CAPO307782
OG0004090	HUMAN06601	CAPO304280
OG0004091	HUMAN28496	CAPO307795
OG0004092	HUMAN26216, HUMAN12524	CAPO301516
OG0004093	HUMAN27002	CAPO303612
OG0004094	HUMAN29054	CAPO306112
OG0004095	HUMAN04244, HUMAN04243	CAPO302216
OG0004096	HUMAN02141	CAPO306070
OG0004097	HUMAN30130, HUMAN30128, HUMAN30129, HUMAN30127, HUMAN08360	CAPO300790
OG0004099	HUMAN16085, HUMAN20170	CAPO306437
OG0004100	HUMAN06958	CAPO306356
OG0004101	HUMAN12860	CAPO303749, CAPO302702
OG0004103	HUMAN19037	CAPO306700
OG0004104	HUMAN14010	CAPO303684
OG0004105	HUMAN28120	CAPO308098
OG0004106	HUMAN00170, HUMAN00171, HUMAN00169	CAPO303386
OG0004108	HUMAN03070, HUMAN03126	CAPO307282
OG0004110	HUMAN23820, HUMAN03249	CAPO300855
OG0004112	HUMAN01822, HUMAN01821	CAPO304610
OG0004113	HUMAN20537	CAPO305835
OG0004114	HUMAN04859, HUMAN04858, HUMAN04860	CAPO301854
OG0004115	HUMAN21493	CAPO306386
OG0004116	HUMAN05608, HUMAN05607	CAPO303186
OG0004118	HUMAN26960, HUMAN26961	CAPO306139
OG0004119	HUMAN15237, HUMAN15236	CAPO303741
OG0004120	HUMAN03333	CAPO303757
OG0004123	HUMAN05602, HUMAN05601, HUMAN05600	CAPO304624
OG0004124	HUMAN19130, HUMAN27894	CAPO302738
OG0004125	HUMAN13507, HUMAN13501, HUMAN13504, HUMAN13506, HUMAN13509, HUMAN13505, HUMAN13508, HUMAN13502, HUMAN13503	CAPO304359
OG0004127	HUMAN27924, HUMAN27923	CAPO306895
OG0004130	HUMAN01818	CAPO307075
OG0004131	HUMAN19907, HUMAN19906	CAPO301925
OG0004133	HUMAN18302, HUMAN07684	CAPO305598
OG0004134	HUMAN22443	CAPO304433
OG0004136	HUMAN02426, HUMAN02427	CAPO307338
OG0004140	HUMAN11430, HUMAN11431, HUMAN11429, HUMAN11428	CAPO307995
OG0004142	HUMAN14999	CAPO300440
OG0004144	HUMAN20558, HUMAN21379	CAPO302917
OG0004148	HUMAN12377	CAPO301152
OG0004150	HUMAN20664	CAPO303497
OG0004151	HUMAN11355, HUMAN11356	CAPO307015
OG0004153	HUMAN24084, HUMAN24083	CAPO305022
OG0004154	HUMAN16602	CAPO308154
OG0004156	HUMAN21442	CAPO307556
OG0004158	HUMAN17542, HUMAN27299	CAPO302219
OG0004160	HUMAN00868	CAPO302118
OG0004164	HUMAN03236, HUMAN23812, HUMAN23813	CAPO306879
OG0004166	HUMAN27687	CAPO300703
OG0004167	HUMAN04738, HUMAN04739	CAPO305574
OG0004168	HUMAN11718	CAPO303881
OG0004169	HUMAN13644	CAPO302967
OG0004170	HUMAN15967	CAPO305320
OG0004171	HUMAN15518	CAPO305810
OG0004174	HUMAN28907, HUMAN28908, HUMAN28909, HUMAN28911	CAPO303644
OG0004176	HUMAN22859, HUMAN22860	CAPO304072
OG0004179	HUMAN10496, HUMAN10497, HUMAN12064, HUMAN12065, HUMAN12066, HUMAN12169	CAPO304392
OG0004181	HUMAN22409	CAPO304353
OG0004182	HUMAN19435	CAPO305817
OG0004183	HUMAN07292, HUMAN07291	CAPO301817
OG0004184	HUMAN02697	CAPO302251
OG0004186	HUMAN08997, HUMAN08995, HUMAN02715	CAPO307615
OG0004187	HUMAN11528, HUMAN08193, HUMAN08194	CAPO301572
OG0004188	HUMAN08423, HUMAN08422	CAPO308209
OG0004198	HUMAN09595, HUMAN01753, HUMAN09594, HUMAN01752	CAPO302636
OG0004215	HUMAN12295, HUMAN12294, HUMAN12293	CAPO307025
OG0004216	HUMAN20287, HUMAN20288	CAPO304745
OG0004217	HUMAN22836	CAPO300553
OG0004219	HUMAN17843, HUMAN17842	CAPO302642
OG0004222	HUMAN08455	CAPO307934
OG0004223	HUMAN05025, HUMAN05023	CAPO308310
OG0004226	HUMAN08493	CAPO301388
OG0004227	HUMAN00825	CAPO302252
OG0004228	HUMAN27429	CAPO303492
OG0004230	HUMAN05582, HUMAN05583, HUMAN05581	CAPO305821
OG0004231	HUMAN13253	CAPO300312
OG0004232	HUMAN22434	CAPO301443
OG0004235	HUMAN12116, HUMAN12117	CAPO306795
OG0004236	HUMAN16992	CAPO301760
OG0004237	HUMAN22943	CAPO301645
OG0004239	HUMAN18995	CAPO304082
OG0004240	HUMAN18709, HUMAN04795	CAPO301736
OG0004240	HUMAN18710	CAPO306948
OG0004241	HUMAN07668	CAPO304693
OG0004243	HUMAN12837	CAPO302349
OG0004245	HUMAN03723, HUMAN03722, HUMAN07043	CAPO301120
OG0004246	HUMAN12879, HUMAN12881	CAPO307710
OG0004247	HUMAN05733	CAPO306324
OG0004248	HUMAN18975	CAPO306807
OG0004249	HUMAN22547, HUMAN22545, HUMAN22548, HUMAN22546	CAPO302316
OG0004252	HUMAN25401, HUMAN25402, HUMAN25400	CAPO305536
OG0004254	HUMAN27698	CAPO304883
OG0004257	HUMAN17628	CAPO305171
OG0004258	HUMAN19337, HUMAN19336, HUMAN19590	CAPO301342
OG0004259	HUMAN09749	CAPO301048
OG0004261	HUMAN13774	CAPO305950
OG0004263	HUMAN17547, HUMAN17546	CAPO304844
OG0004269	HUMAN03614, HUMAN03613	CAPO308233
OG0004270	HUMAN01652	CAPO303791
OG0004271	HUMAN26827	CAPO303178
OG0004272	HUMAN23571	CAPO303743
OG0004273	HUMAN12115, HUMAN12114	CAPO300380
OG0004278	HUMAN28639	CAPO303739
OG0004280	HUMAN13148	CAPO302169
OG0004282	HUMAN00466	CAPO306035
OG0004283	HUMAN22365	CAPO301216
OG0004284	HUMAN22289	CAPO303039
OG0004285	HUMAN24318, HUMAN24317, HUMAN24319	CAPO306621
OG0004286	HUMAN26392	CAPO300246
OG0004287	HUMAN08350	CAPO305534
OG0004288	HUMAN23255	CAPO302203
OG0004289	HUMAN08406	CAPO307509
OG0004291	HUMAN02664	CAPO306696
OG0004292	HUMAN18016, HUMAN18018, HUMAN18017, HUMAN18019	CAPO301407
OG0004295	HUMAN14256	CAPO300437
OG0004296	HUMAN22583, HUMAN22582	CAPO307058
OG0004297	HUMAN24896	CAPO306140
OG0004299	HUMAN22961, HUMAN05108, HUMAN22962	CAPO307863
OG0004300	HUMAN28866, HUMAN28867	CAPO308218
OG0004301	HUMAN04645, HUMAN04644	CAPO305855
OG0004302	HUMAN23334	CAPO307149
OG0004303	HUMAN18308, HUMAN18307	CAPO306261
OG0004304	HUMAN07403, HUMAN07402, HUMAN07400, HUMAN07401	CAPO307407
OG0004305	HUMAN14140, HUMAN14141	CAPO306704
OG0004307	HUMAN13513	CAPO306787
OG0004308	HUMAN30057	CAPO302385
OG0004309	HUMAN03042	CAPO304021
OG0004310	HUMAN01879, HUMAN01878, HUMAN15096, HUMAN15095	CAPO306903
OG0004312	HUMAN01959	CAPO306752
OG0004314	HUMAN02115, HUMAN29290, HUMAN29291	CAPO301283
OG0004315	HUMAN03740, HUMAN03739	CAPO307076
OG0004316	HUMAN26704, HUMAN21828	CAPO300656
OG0004319	HUMAN04164, HUMAN04163, HUMAN27066	CAPO308294
OG0004321	HUMAN03148	CAPO306639
OG0004322	HUMAN24558	CAPO307895
OG0004323	HUMAN25493	CAPO307483
OG0004324	HUMAN19248	CAPO300240
OG0004328	HUMAN18966, HUMAN18965	CAPO305261
OG0004330	HUMAN08424	CAPO305393
OG0004331	HUMAN08295	CAPO305384
OG0004333	HUMAN28274	CAPO303439
OG0004335	HUMAN22919	CAPO302791
OG0004337	HUMAN01473	CAPO300958
OG0004338	HUMAN05208	CAPO300828
OG0004344	HUMAN30235, HUMAN30231, HUMAN30232	CAPO307152
OG0004345	HUMAN29416	CAPO306847
OG0004347	HUMAN19877, HUMAN26338	CAPO307703
OG0004348	HUMAN29749	CAPO306158
OG0004349	HUMAN08334, HUMAN08332, HUMAN08333	CAPO308184
OG0004350	HUMAN25142	CAPO300994
OG0004351	HUMAN05858	CAPO307239
OG0004352	HUMAN18365, HUMAN18370, HUMAN18368, HUMAN18369, HUMAN05871, HUMAN05872, HUMAN05869, HUMAN05870	CAPO300873
OG0004353	HUMAN05861	CAPO306055, CAPO306087
OG0004354	HUMAN19965, HUMAN19964	CAPO307581
OG0004355	HUMAN20522, HUMAN06764, HUMAN20523	CAPO303478
OG0004356	HUMAN21882	CAPO300159
OG0004357	HUMAN17377	CAPO303880
OG0004358	HUMAN20550, HUMAN20551, HUMAN20549	CAPO301323
OG0004359	HUMAN29937	CAPO305703
OG0004360	HUMAN02590	CAPO301752
OG0004361	HUMAN02280	CAPO308302
OG0004363	HUMAN23093	CAPO304580
OG0004364	HUMAN16782, HUMAN16785	CAPO305213
OG0004365	HUMAN09827, HUMAN09826, HUMAN09828, HUMAN09829	CAPO305948
OG0004368	HUMAN02041, HUMAN24846	CAPO306084
OG0004369	HUMAN29479	CAPO305592
OG0004370	HUMAN26663	CAPO302143
OG0004372	HUMAN00855	CAPO304892
OG0004373	HUMAN00854	CAPO308311
OG0004374	HUMAN13158	CAPO306983
OG0004375	HUMAN09491	CAPO305927
OG0004376	HUMAN26330, HUMAN19958	CAPO303203
OG0004377	HUMAN28605	CAPO303614
OG0004378	HUMAN11677, HUMAN11679, HUMAN11678	CAPO303140
OG0004379	HUMAN15965, HUMAN06117, HUMAN15966	CAPO300162
OG0004380	HUMAN02379, HUMAN06115	CAPO307847
OG0004381	HUMAN01741	CAPO300684
OG0004382	HUMAN23495	CAPO308307
OG0004383	HUMAN08351	CAPO301688
OG0004385	HUMAN29342	CAPO306534
OG0004388	HUMAN25589	CAPO303742
OG0004389	HUMAN00922	CAPO302416
OG0004390	HUMAN02225, HUMAN02224, HUMAN02227, HUMAN02226	CAPO300046
OG0004391	HUMAN22998, HUMAN23755, HUMAN22999	CAPO305468
OG0004392	HUMAN03189	CAPO303282
OG0004392	HUMAN03190	CAPO306870
OG0004394	HUMAN30076, HUMAN25176	CAPO305886
OG0004396	HUMAN00392, HUMAN00394, HUMAN00393	CAPO300955
OG0004398	HUMAN25746	CAPO307605
OG0004399	HUMAN20481, HUMAN20480, HUMAN20364	CAPO301536
OG0004400	HUMAN13800	CAPO304368, CAPO302395
OG0004401	HUMAN30275, HUMAN07787	CAPO307684
OG0004405	HUMAN30602, HUMAN30601, HUMAN30590	CAPO302866
OG0004406	HUMAN04951, HUMAN04950, HUMAN08313	CAPO305558
OG0004413	HUMAN20485	CAPO301518
OG0004417	HUMAN27641, HUMAN27642, HUMAN27644, HUMAN27646, HUMAN27643, HUMAN01111, HUMAN27645	CAPO302119
OG0004418	HUMAN23600	CAPO305208
OG0004421	HUMAN20973	CAPO303320
OG0004423	HUMAN24585	CAPO306935
OG0004425	HUMAN20710, HUMAN12646, HUMAN12647	CAPO302090
OG0004426	HUMAN08417, HUMAN15503, HUMAN15502	CAPO301784
OG0004433	HUMAN26519, HUMAN26524, HUMAN17553, HUMAN17552	CAPO304000
OG0004459	HUMAN03665	CAPO300459
OG0004460	HUMAN02348	CAPO307206
OG0004461	HUMAN06949, HUMAN25050	CAPO305355
OG0004462	HUMAN07884	CAPO302893
OG0004465	HUMAN25551	CAPO303487
OG0004467	HUMAN07304	CAPO307496
OG0004468	HUMAN04543	CAPO307854
OG0004472	HUMAN26987	CAPO303803
OG0004474	HUMAN00075, HUMAN00078, HUMAN00076	CAPO300829
OG0004476	HUMAN07423, HUMAN07424	CAPO307856
OG0004479	HUMAN13760	CAPO303963
OG0004481	HUMAN09377, HUMAN09376, HUMAN09378	CAPO306702
OG0004483	HUMAN18285, HUMAN18287, HUMAN18286, HUMAN18283, HUMAN18284	CAPO303122
OG0004484	HUMAN00032	CAPO302152
OG0004486	HUMAN28381	CAPO307639
OG0004488	HUMAN09530, HUMAN01783	CAPO301849
OG0004489	HUMAN20466, HUMAN20464	CAPO305447
OG0004492	HUMAN03895	CAPO307196
OG0004494	HUMAN10688, HUMAN10687, HUMAN10686	CAPO306570
OG0004495	HUMAN01257	CAPO306359
OG0004496	HUMAN21326	CAPO303733
OG0004497	HUMAN11496, HUMAN11497	CAPO307202
OG0004498	HUMAN21502, HUMAN21503	CAPO305224
OG0004500	HUMAN27616	CAPO301850
OG0004501	HUMAN00494	CAPO301840
OG0004502	HUMAN00324	CAPO301779
OG0004503	HUMAN22764	CAPO300332
OG0004506	HUMAN13338, HUMAN13340	CAPO305016
OG0004507	HUMAN23622, HUMAN23623, HUMAN23621	CAPO301894
OG0004508	HUMAN02515, HUMAN02369	CAPO301654
OG0004509	HUMAN02069	CAPO300500
