Orthogroup	HUMAN	CAPO3
OG0000183	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533	CAPO305829
OG0000184	HUMAN02121	CAPO307711
OG0000184	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543	CAPO304928
OG0000192	HUMAN10321	CAPO301980
OG0000193	HUMAN05477, HUMAN05476, HUMAN05474, HUMAN26464, HUMAN26463, HUMAN07238, HUMAN07239, HUMAN23343, HUMAN15327, HUMAN15326, HUMAN05473, HUMAN05475, HUMAN19343, HUMAN19575, HUMAN19345, HUMAN19577, HUMAN19344, HUMAN19576	CAPO302628
OG0000194	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276	CAPO305195
OG0000195	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624, HUMAN21625	CAPO305454
OG0000201	HUMAN25906, HUMAN20134	CAPO307729
OG0000201	HUMAN12208	CAPO300462
OG0000203	HUMAN23097, HUMAN27942, HUMAN25548, HUMAN00779, HUMAN21966, HUMAN00014, HUMAN00153, HUMAN00154, HUMAN11982, HUMAN00109	CAPO302139
OG0000204	HUMAN18516, HUMAN05840, HUMAN05075, HUMAN18517, HUMAN04275, HUMAN06256, HUMAN04282, HUMAN06995, HUMAN18515, HUMAN06257, HUMAN03860	CAPO303090
OG0000207	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010, HUMAN21342	CAPO304105, CAPO304106, CAPO304714
OG0000211	HUMAN05541, HUMAN18718, HUMAN23611, HUMAN10119, HUMAN10120, HUMAN28797, HUMAN14218, HUMAN10060	CAPO306209
OG0000218	HUMAN21084, HUMAN05261	CAPO300559
OG0000220	HUMAN03287, HUMAN28206, HUMAN22834, HUMAN17090, HUMAN03354, HUMAN03353, HUMAN22580	CAPO306780, CAPO307695
OG0000221	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805, HUMAN21691, HUMAN00105, HUMAN00104, HUMAN18037, HUMAN20574	CAPO300247
OG0000221	HUMAN06093, HUMAN06091, HUMAN06092	CAPO308272, CAPO301991, CAPO300059
OG0000222	HUMAN18380, HUMAN00432, HUMAN18379, HUMAN18378, HUMAN18377	CAPO304211
OG0000223	HUMAN28208, HUMAN16716, HUMAN17129, HUMAN03438, HUMAN03439, HUMAN17365	CAPO308126
OG0000225	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061	CAPO305347
OG0000226	HUMAN16817	CAPO306934
OG0000234	HUMAN14313, HUMAN13886, HUMAN13884, HUMAN09743, HUMAN01653, HUMAN02863, HUMAN02862, HUMAN04453	CAPO301359
OG0000238	HUMAN10740	CAPO305428
OG0000239	HUMAN12749, HUMAN02988, HUMAN18073, HUMAN08545, HUMAN26079, HUMAN12754, HUMAN26078	CAPO302089
OG0000240	HUMAN19892, HUMAN19897	CAPO303214
OG0000242	HUMAN17637, HUMAN26476	CAPO304847
OG0000244	HUMAN24979, HUMAN06221, HUMAN20455, HUMAN08182, HUMAN11623, HUMAN21504, HUMAN11095, HUMAN11094, HUMAN18917, HUMAN27992	CAPO301556
OG0000246	HUMAN15952	CAPO303496
OG0000248	HUMAN28926, HUMAN28842, HUMAN01609, HUMAN01611, HUMAN01612	CAPO307635, CAPO302481, CAPO302487
OG0000250	HUMAN13349, HUMAN13351	CAPO305827
OG0000255	HUMAN30604, HUMAN30605	CAPO301531
OG0000255	HUMAN04286	CAPO300499
OG0000256	HUMAN29239, HUMAN14982	CAPO307884
OG0000256	HUMAN23740, HUMAN09481, HUMAN01743	CAPO306483
OG0000257	HUMAN28535, HUMAN09663, HUMAN09451, HUMAN08809, HUMAN18743	CAPO300414
OG0000258	HUMAN13201, HUMAN08490	CAPO301106
OG0000258	HUMAN21035, HUMAN02853, HUMAN08489, HUMAN16922	CAPO301746
OG0000260	HUMAN26833, HUMAN20959	CAPO300399
OG0000265	HUMAN14652, HUMAN29223, HUMAN29225, HUMAN02131	CAPO306126
OG0000265	HUMAN06211	CAPO306540
OG0000271	HUMAN13357, HUMAN21416, HUMAN12854, HUMAN17780, HUMAN26040, HUMAN19633, HUMAN06478, HUMAN03009	CAPO304641
OG0000273	HUMAN15012	CAPO305109
OG0000273	HUMAN07421	CAPO307666
OG0000273	HUMAN07418, HUMAN07417, HUMAN07420, HUMAN07419	CAPO300804
OG0000273	HUMAN16753, HUMAN16752	CAPO306869
OG0000277	HUMAN10958, HUMAN04583, HUMAN07256	CAPO303621
OG0000277	HUMAN03378, HUMAN22680, HUMAN22682, HUMAN24311	CAPO301295
OG0000277	HUMAN07255	CAPO307814, CAPO307752
OG0000278	HUMAN12098	CAPO300620
OG0000278	HUMAN15042, HUMAN15043, HUMAN15041	CAPO305822
OG0000278	HUMAN16991	CAPO302023
OG0000278	HUMAN08210, HUMAN08208, HUMAN08211	CAPO303638
OG0000282	HUMAN22065, HUMAN02951, HUMAN12498, HUMAN17183, HUMAN03610, HUMAN22064, HUMAN03422, HUMAN12499	CAPO308183
OG0000284	HUMAN01285, HUMAN28991	CAPO305695
OG0000285	HUMAN12968, HUMAN12969	CAPO303377
OG0000288	HUMAN19033, HUMAN27858, HUMAN10017, HUMAN25535, HUMAN27850	CAPO305142
OG0000289	HUMAN24512, HUMAN25207, HUMAN00853, HUMAN23391, HUMAN25308	CAPO307835
OG0000295	HUMAN27073, HUMAN27078, HUMAN21755, HUMAN13492	CAPO302113, CAPO302799
OG0000299	HUMAN17573, HUMAN13685, HUMAN13683, HUMAN13682, HUMAN13684, HUMAN18940, HUMAN00611, HUMAN00610, HUMAN25580, HUMAN18941	CAPO306599
OG0000306	HUMAN24069, HUMAN03303, HUMAN26264, HUMAN26265, HUMAN22808, HUMAN26268, HUMAN26267	CAPO308212
OG0000308	HUMAN26518, HUMAN17798, HUMAN17796, HUMAN17797, HUMAN15356, HUMAN11053, HUMAN09346, HUMAN09345	CAPO304037
OG0000310	HUMAN29760, HUMAN29761	CAPO305978
OG0000312	HUMAN22837, HUMAN07566	CAPO302691
OG0000313	HUMAN23081, HUMAN23082, HUMAN07848, HUMAN07849, HUMAN18542, HUMAN05865, HUMAN18541	CAPO307072
OG0000313	HUMAN05866, HUMAN26880, HUMAN26879	CAPO301348
OG0000314	HUMAN28861, HUMAN20239, HUMAN13015, HUMAN15940	CAPO304303
OG0000315	HUMAN26404	CAPO307611
OG0000315	HUMAN26829	CAPO308167
OG0000319	HUMAN13915, HUMAN27813, HUMAN13914	CAPO303225
OG0000322	HUMAN07374, HUMAN22557, HUMAN26486	CAPO306406
OG0000326	HUMAN00138, HUMAN21700, HUMAN21697, HUMAN21698, HUMAN11971, HUMAN00136, HUMAN21699, HUMAN00137, HUMAN00135, HUMAN00139	CAPO308358, CAPO307947
OG0000326	HUMAN00388, HUMAN00387, HUMAN00389	CAPO303322
OG0000327	HUMAN01408, HUMAN02360, HUMAN01407, HUMAN02359, HUMAN01411	CAPO308120
OG0000334	HUMAN23299, HUMAN26236	CAPO300337
OG0000335	HUMAN23060, HUMAN23061	CAPO307753
OG0000338	HUMAN13066, HUMAN19731, HUMAN19729, HUMAN13067, HUMAN19730, HUMAN10881, HUMAN18523, HUMAN18521, HUMAN26174	CAPO304735
OG0000339	HUMAN19136, HUMAN19137	CAPO305264
OG0000343	HUMAN25328, HUMAN25327, HUMAN05299	CAPO306429
OG0000345	HUMAN23757, HUMAN23095, HUMAN03649	CAPO300769
OG0000352	HUMAN28462, HUMAN14440, HUMAN14836, HUMAN07060, HUMAN25510, HUMAN07061, HUMAN17429	CAPO300356
OG0000357	HUMAN27044, HUMAN28888, HUMAN29931, HUMAN29932	CAPO301487
OG0000359	HUMAN11476, HUMAN11475, HUMAN10684	CAPO305417
OG0000359	HUMAN01488, HUMAN01487, HUMAN10921, HUMAN10920	CAPO301540
OG0000359	HUMAN30482	CAPO306866
OG0000360	HUMAN07695, HUMAN07694, HUMAN23042, HUMAN21019	CAPO300757
OG0000364	HUMAN25612	CAPO301330, CAPO300908
OG0000367	HUMAN02861, HUMAN21458, HUMAN29832, HUMAN29831, HUMAN19257, HUMAN13779, HUMAN27433	CAPO301272
OG0000371	HUMAN29626, HUMAN13145, HUMAN13146, HUMAN13143, HUMAN13142	CAPO307503
OG0000372	HUMAN22749, HUMAN00421, HUMAN23778, HUMAN18835, HUMAN16705	CAPO307553
OG0000373	HUMAN07152, HUMAN07150, HUMAN04999, HUMAN16793	CAPO301744
OG0000385	HUMAN17828, HUMAN26509, HUMAN26510, HUMAN26041	CAPO300182, CAPO305781, CAPO305517
OG0000392	HUMAN23483, HUMAN23482, HUMAN14994, HUMAN01116, HUMAN14993	CAPO300351
OG0000393	HUMAN07234, HUMAN27562, HUMAN13374, HUMAN27563	CAPO307627
OG0000397	HUMAN22189, HUMAN03732, HUMAN27717, HUMAN17188	CAPO304372
OG0000399	HUMAN08526, HUMAN09598, HUMAN16706, HUMAN01751, HUMAN09596, HUMAN14913	CAPO302781
OG0000402	HUMAN26844, HUMAN27407, HUMAN03424, HUMAN19232, HUMAN08155	CAPO300999
OG0000405	HUMAN23578, HUMAN01875, HUMAN10099, HUMAN23576, HUMAN23577, HUMAN15074, HUMAN15075	CAPO300636
OG0000412	HUMAN01024	CAPO306116
OG0000412	HUMAN03115, HUMAN29280	CAPO307159
OG0000413	HUMAN15492, HUMAN09264, HUMAN18689, HUMAN15493	CAPO302663
OG0000413	HUMAN22024, HUMAN05237, HUMAN30227	CAPO304678
OG0000416	HUMAN01240, HUMAN01239, HUMAN01245, HUMAN01241, HUMAN01238, HUMAN01242, HUMAN01246, HUMAN01243, HUMAN01244	CAPO300647, CAPO303519
OG0000419	HUMAN04658, HUMAN04656, HUMAN04654, HUMAN04657, HUMAN04655, HUMAN04659, HUMAN02414	CAPO304227
OG0000420	HUMAN07576, HUMAN23840, HUMAN23841	CAPO307162
OG0000422	HUMAN16674, HUMAN00789, HUMAN16673	CAPO301071
OG0000424	HUMAN03402, HUMAN03401, HUMAN03400, HUMAN03399, HUMAN03403, HUMAN03410	CAPO302770, CAPO306814
OG0000426	HUMAN24154	CAPO302714
OG0000426	HUMAN24156, HUMAN16388, HUMAN24155, HUMAN20208, HUMAN12979, HUMAN16387, HUMAN12181	CAPO306829
OG0000427	HUMAN04181	CAPO303813
OG0000429	HUMAN21085	CAPO300725
OG0000431	HUMAN22396, HUMAN22397, HUMAN05405, HUMAN05406	CAPO306585
OG0000431	HUMAN21847, HUMAN07891, HUMAN07892, HUMAN07890	CAPO304684
OG0000433	HUMAN25706, HUMAN25705, HUMAN21369	CAPO304838, CAPO302573
OG0000434	HUMAN24562	CAPO304471
OG0000435	HUMAN27349, HUMAN08429, HUMAN13679, HUMAN00704, HUMAN27348, HUMAN18944, HUMAN18945	CAPO308080
OG0000436	HUMAN20651, HUMAN17585, HUMAN20650, HUMAN20652	CAPO305799
OG0000442	HUMAN21390, HUMAN00644, HUMAN25507	CAPO302753, CAPO302633
OG0000444	HUMAN06130, HUMAN06129, HUMAN02376, HUMAN02375, HUMAN02373, HUMAN02374	CAPO305423
OG0000444	HUMAN05043, HUMAN05044, HUMAN20398	CAPO301239
OG0000445	HUMAN25336, HUMAN25337	CAPO301584
OG0000447	HUMAN22936, HUMAN29983, HUMAN05378, HUMAN24000, HUMAN24001, HUMAN24004	CAPO300691
OG0000450	HUMAN21185, HUMAN25687, HUMAN10924, HUMAN04606, HUMAN04607, HUMAN07391, HUMAN10922, HUMAN26408, HUMAN26409, HUMAN07392	CAPO307586, CAPO307446
OG0000454	HUMAN14909, HUMAN14911, HUMAN14912, HUMAN09584, HUMAN01758, HUMAN01761, HUMAN28671, HUMAN28672, HUMAN09585, HUMAN09586, HUMAN09587	CAPO301952
OG0000461	HUMAN12693	CAPO303645, CAPO304085, CAPO303531
OG0000461	HUMAN26401, HUMAN26402, HUMAN07313, HUMAN07312, HUMAN07311, HUMAN07310	CAPO307456
OG0000467	HUMAN02442	CAPO302815
OG0000467	HUMAN29942, HUMAN20849, HUMAN02441, HUMAN02850, HUMAN02852, HUMAN02440, HUMAN20851	CAPO302214
OG0000468	HUMAN29031, HUMAN08624	CAPO302003, CAPO303185
OG0000469	HUMAN20925, HUMAN02455, HUMAN20460, HUMAN20461, HUMAN02876, HUMAN30502, HUMAN30503	CAPO306584, CAPO302277
OG0000470	HUMAN10148, HUMAN13194, HUMAN08602, HUMAN08603, HUMAN02695	CAPO307521
OG0000474	HUMAN06611, HUMAN06612, HUMAN06609, HUMAN12853, HUMAN12852, HUMAN20808, HUMAN18157	CAPO307766
OG0000475	HUMAN21413, HUMAN06680, HUMAN23203, HUMAN21411	CAPO303779
OG0000476	HUMAN29052	CAPO306104
OG0000479	HUMAN00548, HUMAN25778, HUMAN30326	CAPO303549
OG0000479	HUMAN04562, HUMAN19754, HUMAN19753	CAPO304267
OG0000480	HUMAN21970, HUMAN21960, HUMAN21962, HUMAN00364, HUMAN00362, HUMAN00363	CAPO307201
OG0000481	HUMAN10858	CAPO300053
OG0000481	HUMAN29163, HUMAN29162	CAPO304800
OG0000481	HUMAN23804, HUMAN27663	CAPO304355
OG0000484	HUMAN14629, HUMAN01113, HUMAN01114, HUMAN23384, HUMAN23383, HUMAN23382, HUMAN15014	CAPO304750
OG0000485	HUMAN20639, HUMAN18255, HUMAN20638, HUMAN05761, HUMAN05762	CAPO303224, CAPO303026
OG0000486	HUMAN22789, HUMAN03580	CAPO306048, CAPO306972
OG0000488	HUMAN19011	CAPO305871
OG0000491	HUMAN00697, HUMAN30458, HUMAN07527, HUMAN23052	CAPO305506
OG0000494	HUMAN11765, HUMAN04544, HUMAN07415, HUMAN11773, HUMAN07288	CAPO300277
OG0000505	HUMAN28802, HUMAN01622	CAPO303790, CAPO306121
OG0000506	HUMAN22035, HUMAN22034, HUMAN11883, HUMAN11882, HUMAN11881, HUMAN05281, HUMAN05280, HUMAN30005, HUMAN30006	CAPO304587
OG0000508	HUMAN12380, HUMAN26281	CAPO303408, CAPO307945
OG0000508	HUMAN12381	CAPO307989
OG0000508	HUMAN06650, HUMAN18003	CAPO302590
OG0000510	HUMAN12686, HUMAN27025, HUMAN07364, HUMAN05041	CAPO303128, CAPO305095
OG0000511	HUMAN25187, HUMAN28151	CAPO301322
OG0000514	HUMAN20065, HUMAN10473, HUMAN10472, HUMAN13478, HUMAN13479	CAPO307292
OG0000516	HUMAN28002, HUMAN28001, HUMAN08226, HUMAN19549, HUMAN05500, HUMAN05499, HUMAN24427	CAPO302072
OG0000519	HUMAN19983, HUMAN19982, HUMAN19989, HUMAN19990, HUMAN19995, HUMAN19992, HUMAN19985	CAPO300709
OG0000520	HUMAN15317, HUMAN05571	CAPO304720
OG0000522	HUMAN17344, HUMAN22248, HUMAN22247, HUMAN17343	CAPO306204
OG0000528	HUMAN08895, HUMAN15806, HUMAN15805, HUMAN04719, HUMAN16886	CAPO300417
OG0000530	HUMAN14150, HUMAN29041, HUMAN01293	CAPO306919
OG0000532	HUMAN16791	CAPO301913
