Orthogroup	APOSC_ok	STRPU_ok
OG0000026	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010	STRPU_13435, STRPU_25665, STRPU_06675, STRPU_06676
OG0000026	APOSC_17220	STRPU_21822
OG0000026	APOSC_14214	STRPU_10195
OG0000027	APOSC_00367, APOSC_04798, APOSC_15438, APOSC_25751, APOSC_07487, APOSC_07887, APOSC_13318, APOSC_08776, APOSC_13270	STRPU_21099, STRPU_13367, STRPU_13387, STRPU_13389, STRPU_13369, STRPU_13372, STRPU_13393, STRPU_13370, STRPU_13390, STRPU_13392, STRPU_13371, STRPU_21105, STRPU_21100, STRPU_21104, STRPU_05793, STRPU_05791, STRPU_05792, STRPU_13609, STRPU_02454, STRPU_13784, STRPU_13738, STRPU_13737
OG0000027	APOSC_23292	STRPU_12280, STRPU_12282, STRPU_12281, STRPU_12283
OG0000027	APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792	STRPU_19609, STRPU_19529, STRPU_19530, STRPU_20300, STRPU_22112, STRPU_22111, STRPU_18177, STRPU_18176, STRPU_18178, STRPU_13457, STRPU_13538
OG0000028	APOSC_00641	STRPU_14662, STRPU_14664
OG0000028	APOSC_02251	STRPU_14327
OG0000028	APOSC_18684	STRPU_27006
OG0000028	APOSC_14441	STRPU_14468, STRPU_14467
OG0000028	APOSC_06053	STRPU_15103, STRPU_02480
OG0000028	APOSC_22599	STRPU_14326
OG0000028	APOSC_17838, APOSC_17839	STRPU_27008
OG0000028	APOSC_22919, APOSC_22920	STRPU_10620
OG0000028	APOSC_04255	STRPU_26580
OG0000028	APOSC_27024	STRPU_26667, STRPU_26665, STRPU_26666, STRPU_26664
OG0000028	APOSC_04522	STRPU_26663
OG0000029	APOSC_07574	STRPU_09836
OG0000029	APOSC_20436	STRPU_17433, STRPU_17432
OG0000029	APOSC_04700	STRPU_01827, STRPU_19313
OG0000029	APOSC_18084	STRPU_22529
OG0000029	APOSC_15506	STRPU_09913, STRPU_25618, STRPU_13518, STRPU_27237, STRPU_27236, STRPU_27234, STRPU_27235, STRPU_11822, STRPU_11823, STRPU_18505, STRPU_20934, STRPU_20927, STRPU_10511, STRPU_10512, STRPU_00236
OG0000030	APOSC_23944, APOSC_11647, APOSC_21982	STRPU_22548, STRPU_22870, STRPU_22868, STRPU_19590, STRPU_23769, STRPU_00032
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	STRPU_23383
OG0000030	APOSC_00359	STRPU_18729, STRPU_18720
OG0000030	APOSC_18052	STRPU_08641
OG0000030	APOSC_19478	STRPU_01462, STRPU_08711
OG0000030	APOSC_12431, APOSC_12430	STRPU_19039
OG0000030	APOSC_12149	STRPU_10522, STRPU_06146, STRPU_06148
OG0000030	APOSC_27610	STRPU_09527
OG0000031	APOSC_14687	STRPU_24640
OG0000031	APOSC_14535	STRPU_24955
OG0000031	APOSC_00328	STRPU_27330
OG0000031	APOSC_01319	STRPU_08004
OG0000031	APOSC_17680	STRPU_05537, STRPU_05597
OG0000031	APOSC_02579	STRPU_18994
OG0000031	APOSC_22997	STRPU_24676
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129	STRPU_21234
OG0000032	APOSC_10044	STRPU_24774, STRPU_24776
OG0000032	APOSC_24218	STRPU_24275
OG0000032	APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343
OG0000034	APOSC_28767, APOSC_28766	STRPU_15245, STRPU_15189
OG0000034	APOSC_01056	STRPU_11798
OG0000034	APOSC_00389	STRPU_11930, STRPU_11885
OG0000034	APOSC_10138	STRPU_27315
OG0000034	APOSC_10830	STRPU_11793
OG0000034	APOSC_23397	STRPU_04070
OG0000034	APOSC_00072	STRPU_19458
OG0000034	APOSC_15909	STRPU_12141, STRPU_12106
OG0000034	APOSC_25715	STRPU_12101, STRPU_12104
OG0000035	APOSC_21179	STRPU_02368, STRPU_12778
OG0000035	APOSC_27035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826	STRPU_17279, STRPU_17277, STRPU_17278, STRPU_17275, STRPU_17274, STRPU_13032
OG0000035	APOSC_25872	STRPU_27002
OG0000035	APOSC_04998	STRPU_13051
OG0000035	APOSC_25573	STRPU_12704
OG0000035	APOSC_08656	STRPU_12998
OG0000035	APOSC_21135, APOSC_21136	STRPU_12553
OG0000035	APOSC_16251	STRPU_12554
OG0000035	APOSC_27270	STRPU_12700
OG0000036	APOSC_08020	STRPU_26319
OG0000036	APOSC_04631, APOSC_04630	STRPU_09906
OG0000036	APOSC_25667	STRPU_25659
OG0000036	APOSC_07168, APOSC_20421, APOSC_22182	STRPU_26233, STRPU_26087, STRPU_25627, STRPU_25622, STRPU_25626, STRPU_25620, STRPU_01762, STRPU_18074, STRPU_18073, STRPU_01763, STRPU_18071, STRPU_01764, STRPU_25619, STRPU_26269, STRPU_26295, STRPU_26296, STRPU_26270
OG0000036	APOSC_22964, APOSC_22965	STRPU_26325, STRPU_26324
OG0000036	APOSC_06557, APOSC_05790	STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	APOSC_16399	STRPU_20688
OG0000037	APOSC_03749, APOSC_00065	STRPU_21621, STRPU_21620
OG0000037	APOSC_24133	STRPU_20762
OG0000037	APOSC_28740	STRPU_24785
OG0000037	APOSC_09580	STRPU_10295, STRPU_10296
OG0000037	APOSC_09579	STRPU_10297
OG0000037	APOSC_20507, APOSC_00307	STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123
OG0000038	APOSC_27834	STRPU_17412, STRPU_17401
OG0000038	APOSC_23718	STRPU_17416
OG0000038	APOSC_26556, APOSC_03113	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770
OG0000038	APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299	STRPU_17414, STRPU_17415
OG0000038	APOSC_05746	STRPU_17101, STRPU_17116
OG0000038	APOSC_25222, APOSC_10656	STRPU_18075, STRPU_01765
OG0000039	APOSC_12842, APOSC_27514	STRPU_13266
OG0000039	APOSC_00666	STRPU_05101, STRPU_05100, STRPU_05180, STRPU_18219, STRPU_01274
OG0000039	APOSC_22387	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246
