Orthogroup	APOSC_ok	OWEFU
OG0000014	APOSC_19789	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1
OG0000014	APOSC_00187	OFUSG00805.1.p1
OG0000015	APOSC_22269	OFUSG02249.1.p1
OG0000015	APOSC_28752	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	APOSC_04279	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	OFUSG16773.1.p1
OG0000016	APOSC_09217	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1
OG0000016	APOSC_09216	OFUSG10402.1.p1
OG0000016	APOSC_26372, APOSC_26868, APOSC_26028	OFUSG13895.1.p1
OG0000016	APOSC_14883	OFUSG11848.1.p1
OG0000016	APOSC_28721	OFUSG06227.1.p1
OG0000016	APOSC_27534, APOSC_05485, APOSC_19884	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	APOSC_17923	OFUSG02956.1.p1
OG0000018	APOSC_01211	OFUSG14111.1.p3
OG0000019	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840	OFUSG08823.1.p1
OG0000019	APOSC_11237, APOSC_00757, APOSC_06078, APOSC_12007, APOSC_14511, APOSC_21290, APOSC_03807, APOSC_15494	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	APOSC_14801, APOSC_11507	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000020	APOSC_14708	OFUSG19131.1.p1
OG0000020	APOSC_26550	OFUSG13406.1.p1
OG0000020	APOSC_09964	OFUSG14744.1.p1
OG0000021	APOSC_11990	OFUSG18643.1.p1
OG0000021	APOSC_06563, APOSC_06562	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	APOSC_02202	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	APOSC_09814	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	APOSC_14758	OFUSG06069.1.p1
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870, APOSC_12268, APOSC_15754, APOSC_15753	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	APOSC_12180	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1
OG0000026	APOSC_13965	OFUSG26427.1.p1
OG0000026	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010	OFUSG25446.1.p1
OG0000026	APOSC_14214	OFUSG24229.1.p1
OG0000028	APOSC_00641	OFUSG08406.1.p1, OFUSG07639.1.p1
OG0000028	APOSC_18684	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	APOSC_17838, APOSC_17839	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	APOSC_22919, APOSC_22920	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	APOSC_04255, APOSC_27024, APOSC_04522	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	APOSC_07574, APOSC_20436	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	APOSC_04700	OFUSG21155.1.p1
OG0000029	APOSC_15506	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	OFUSG16143.1.p1
OG0000030	APOSC_23944, APOSC_11647, APOSC_21982	OFUSG07789.1.p1, OFUSG07787.1.p1
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	OFUSG04213.1.p1
OG0000030	APOSC_00359	OFUSG21119.1.p1
OG0000030	APOSC_18052, APOSC_19478	OFUSG17928.1.p1
OG0000030	APOSC_12149	OFUSG17612.1.p1, OFUSG12869.1.p1
OG0000031	APOSC_16590	OFUSG02441.1.p1
OG0000031	APOSC_14603	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	APOSC_14687	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	APOSC_14535	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	APOSC_00328	OFUSG09754.1.p1
OG0000031	APOSC_01319	OFUSG12627.1.p1
OG0000031	APOSC_17680	OFUSG02210.1.p1
OG0000031	APOSC_02579	OFUSG17671.1.p1
OG0000031	APOSC_22997	OFUSG16797.1.p1
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000034	APOSC_28767, APOSC_28766	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	APOSC_00389	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	APOSC_10138	OFUSG08780.1.p1
OG0000034	APOSC_10830	OFUSG00313.1.p1
OG0000034	APOSC_00072	OFUSG08088.1.p1
OG0000034	APOSC_15909	OFUSG09735.1.p1
OG0000035	APOSC_21179	OFUSG08016.1.p1, OFUSG08016.2.p1
OG0000035	APOSC_27035	OFUSG16461.1.p1
OG0000035	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826	OFUSG07703.1.p1
OG0000035	APOSC_25872	OFUSG09470.1.p1
OG0000035	APOSC_04998	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	APOSC_25573	OFUSG07851.1.p1
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	APOSC_16251, APOSC_27270	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	APOSC_05772, APOSC_15090, APOSC_26588, APOSC_00378, APOSC_07168, APOSC_20421, APOSC_22182, APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	OFUSG05272.1.p1
OG0000037	APOSC_01516	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	APOSC_24133	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	APOSC_09580, APOSC_09579	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	APOSC_27834	OFUSG06853.1.p1
OG0000038	APOSC_14280, APOSC_05817, APOSC_20988	OFUSG15211.1.p1
OG0000038	APOSC_26556, APOSC_03113	OFUSG03339.1.p1
OG0000038	APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556	OFUSG04771.1.p1
OG0000038	APOSC_25222, APOSC_10656	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	APOSC_12842, APOSC_27514	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	APOSC_00666	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1, OFUSG02549.1.p1, OFUSG13134.1.p1, OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1
OG0000039	APOSC_22387	OFUSG11857.1.p1
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000040	APOSC_11722	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1
OG0000041	APOSC_19034	OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1, OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1, OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	APOSC_26184	OFUSG07896.1.p1
OG0000041	APOSC_00445	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	APOSC_07558	OFUSG22688.1.p1
OG0000044	APOSC_03195, APOSC_22317, APOSC_27143	OFUSG03166.1.p1
OG0000044	APOSC_11406	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000044	APOSC_23682, APOSC_07549	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	APOSC_00620, APOSC_28402, APOSC_22340	OFUSG07522.1.p1
OG0000045	APOSC_21821	OFUSG07521.1.p1
OG0000045	APOSC_04551	OFUSG11066.2.p1, OFUSG11066.1.p1
OG0000045	APOSC_08754	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000045	APOSC_22210, APOSC_25137, APOSC_21940	OFUSG21045.1.p1, OFUSG07523.1.p1
OG0000046	APOSC_17204, APOSC_26711	OFUSG08597.1.p1, OFUSG08595.1.p1, OFUSG25817.1.p1, OFUSG06162.1.p1, OFUSG17068.1.p1, OFUSG10763.1.p1, OFUSG10761.1.p1
OG0000048	APOSC_08378	OFUSG15815.1.p1
OG0000048	APOSC_06436	OFUSG15705.1.p1
OG0000048	APOSC_03154	OFUSG11584.1.p1
OG0000048	APOSC_05588	OFUSG11587.1.p1
OG0000048	APOSC_11695	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1
OG0000048	APOSC_03220	OFUSG04756.1.p1
OG0000049	APOSC_16875	OFUSG00390.1.p1
OG0000049	APOSC_03799	OFUSG06038.1.p1
OG0000049	APOSC_10378	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000049	APOSC_00932	OFUSG23568.1.p1, OFUSG21437.1.p1
OG0000049	APOSC_12037, APOSC_12038	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000049	APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012	OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000050	APOSC_13214, APOSC_23760, APOSC_25497	OFUSG14496.1.p1
OG0000050	APOSC_04902	OFUSG00506.1.p1
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000053	APOSC_18028	OFUSG05561.1.p1
OG0000053	APOSC_02303	OFUSG08626.1.p1
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000055	APOSC_22457	OFUSG21722.1.p2, OFUSG08892.1.p1
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	OFUSG17281.1.p1
OG0000056	APOSC_17578, APOSC_21646	OFUSG19663.1.p1
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000058	APOSC_09888	OFUSG06504.1.p1
OG0000058	APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682	OFUSG25338.1.p1
OG0000059	APOSC_17410	OFUSG03529.1.p1, OFUSG03529.2.p1
OG0000059	APOSC_00480	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000060	APOSC_15645	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000060	APOSC_26756	OFUSG21371.2.p1, OFUSG21371.1.p1
OG0000061	APOSC_14996	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	APOSC_00292	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	APOSC_26114, APOSC_02472	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000061	APOSC_22657, APOSC_15254	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1
OG0000061	APOSC_00372	OFUSG16363.1.p1, OFUSG16363.2.p1
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	APOSC_18486, APOSC_01084	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	APOSC_25041	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	APOSC_17949	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	OFUSG01195.1.p1, OFUSG20081.1.p1, OFUSG22244.1.p1, OFUSG01196.1.p1
OG0000063	APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623	OFUSG17598.1.p1, OFUSG17396.1.p1
OG0000064	APOSC_21665, APOSC_24643, APOSC_02073, APOSC_18105, APOSC_02888, APOSC_19510, APOSC_15388, APOSC_20038, APOSC_07444, APOSC_02613, APOSC_05716, APOSC_25945, APOSC_15039, APOSC_20441, APOSC_24674, APOSC_13863, APOSC_14837, APOSC_08886	OFUSG18700.1.p1, OFUSG11503.1.p1, OFUSG24568.1.p1, OFUSG14688.1.p1, OFUSG24348.1.p1, OFUSG04845.1.p1, OFUSG24050.1.p1
OG0000066	APOSC_23538	OFUSG16714.1.p1
OG0000066	APOSC_13619, APOSC_03780	OFUSG12881.1.p1, OFUSG12880.1.p1
OG0000066	APOSC_07080, APOSC_23919	OFUSG19426.1.p2
OG0000066	APOSC_19084	OFUSG14092.1.p1
OG0000067	APOSC_04289, APOSC_00615, APOSC_00616	OFUSG01517.1.p1, OFUSG21774.1.p1
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
