Orthogroup	APOSC_ok	BRALA
OG0000006	APOSC_02745	BRALA03602
OG0000006	APOSC_10711	BRALA17591
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	BRALA24372
OG0000006	APOSC_06790, APOSC_06791	BRALA24994
OG0000007	APOSC_04982	BRALA03259
OG0000007	APOSC_19545	BRALA13447, BRALA13448
OG0000007	APOSC_11262	BRALA20872, BRALA20870
OG0000007	APOSC_11791	BRALA09541
OG0000007	APOSC_07509	BRALA31416
OG0000007	APOSC_11745	BRALA03260
OG0000007	APOSC_20868	BRALA20579
OG0000007	APOSC_21514	BRALA03286
OG0000007	APOSC_25152	BRALA03282
OG0000007	APOSC_15698	BRALA25787
OG0000007	APOSC_04562	BRALA26097, BRALA14947
OG0000007	APOSC_09541, APOSC_09542	BRALA22487
OG0000007	APOSC_22651	BRALA06491
OG0000007	APOSC_10715	BRALA18647
OG0000007	APOSC_26829	BRALA23348
OG0000007	APOSC_17950	BRALA05625
OG0000007	APOSC_07482	BRALA30788
OG0000008	APOSC_05395	BRALA27340
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	APOSC_27045	BRALA09673
OG0000008	APOSC_15945, APOSC_29112, APOSC_03545	BRALA27036
OG0000008	APOSC_21976, APOSC_21294, APOSC_21293	BRALA26942
OG0000008	APOSC_25161	BRALA20539
OG0000009	APOSC_11177, APOSC_07331	BRALA33044, BRALA32203, BRALA32983
OG0000009	APOSC_02463, APOSC_11202, APOSC_23861, APOSC_08876, APOSC_15628	BRALA26278, BRALA32982
OG0000009	APOSC_14640	BRALA26344, BRALA34657
OG0000009	APOSC_25847	BRALA33043, BRALA22992, BRALA30025
OG0000009	APOSC_15459, APOSC_11500, APOSC_25661, APOSC_00854, APOSC_26261	BRALA12697, BRALA27847
OG0000009	APOSC_11617	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	APOSC_17642	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	APOSC_12174	BRALA08739, BRALA05744
OG0000010	APOSC_14960	BRALA17508, BRALA01650
OG0000010	APOSC_00985	BRALA02432
OG0000010	APOSC_21784	BRALA03922
OG0000010	APOSC_25939	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000010	APOSC_26738, APOSC_01123, APOSC_00727	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977
OG0000011	APOSC_14101, APOSC_22534, APOSC_11940	BRALA06520, BRALA31196
OG0000011	APOSC_05379, APOSC_05259, APOSC_08942, APOSC_02299, APOSC_21470	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147
OG0000011	APOSC_15475, APOSC_18996	BRALA34302
OG0000011	APOSC_21593	BRALA22896, BRALA17910
OG0000011	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	APOSC_19810	BRALA06517, BRALA01847, BRALA32798
OG0000011	APOSC_08981, APOSC_17566, APOSC_17899, APOSC_24383, APOSC_27819, APOSC_02640, APOSC_01478, APOSC_01406	BRALA04980
OG0000011	APOSC_24720, APOSC_20093	BRALA19792
OG0000011	APOSC_13401	BRALA17612
OG0000012	APOSC_26906, APOSC_13089	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	APOSC_13357	BRALA00546
OG0000012	APOSC_26545	BRALA22947
OG0000012	APOSC_14826	BRALA20558, BRALA12213, BRALA23779, BRALA32735
OG0000013	APOSC_26024, APOSC_17612	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	APOSC_19789	BRALA21274
