Orthogroup	APOSC_ok	PFLAV
OG0000005	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	APOSC_21099	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	APOSC_10640	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	APOSC_17637	TCONS_00042787.p1
OG0000006	APOSC_08216	TCONS_00021207.p1
OG0000006	APOSC_08805	TCONS_00016646.p1
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	TCONS_00023551.p1
OG0000006	APOSC_25251, APOSC_25252	TCONS_00003496.p1
OG0000006	APOSC_19228	TCONS_00012810.p1
OG0000006	APOSC_11581	TCONS_00027932.p1
OG0000006	APOSC_02745	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	APOSC_10711	TCONS_00028953.p1
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	TCONS_00030792.p1
OG0000006	APOSC_06790, APOSC_06791	TCONS_00011491.p1
OG0000006	APOSC_23470	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	APOSC_04982	TCONS_00008966.p1
OG0000007	APOSC_19545	TCONS_00029574.p1
OG0000007	APOSC_11262	TCONS_00009611.p1
OG0000007	APOSC_11791	TCONS_00029143.p1
OG0000007	APOSC_29119	TCONS_00052518.p1
OG0000007	APOSC_07509	TCONS_00026068.p1
OG0000007	APOSC_20868	TCONS_00007744.p1
OG0000007	APOSC_21514	TCONS_00008968.p1
OG0000007	APOSC_25152	TCONS_00008967.p1
OG0000007	APOSC_15698	TCONS_00024115.p1
OG0000007	APOSC_04562	TCONS_00055417.p1
OG0000007	APOSC_09541, APOSC_09542	TCONS_00011336.p1
OG0000007	APOSC_22651	TCONS_00014249.p1
OG0000007	APOSC_10715	TCONS_00012754.p1
OG0000007	APOSC_26829	TCONS_00025375.p1
OG0000007	APOSC_17950	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	APOSC_07482	TCONS_00009689.p1
OG0000008	APOSC_02254, APOSC_22517	TCONS_00043149.p1, TCONS_00043478.p1
OG0000008	APOSC_29142	TCONS_00016587.p1, TCONS_00005048.p1
OG0000008	APOSC_21668	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000008	APOSC_19242, APOSC_27045, APOSC_15945, APOSC_29112, APOSC_03545, APOSC_21976, APOSC_21294, APOSC_21293	TCONS_00015623.p1
OG0000009	APOSC_18646	TCONS_00003755.p1, TCONS_00023785.p1, TCONS_00024636.p1, TCONS_00003529.p1, TCONS_00049276.p1, TCONS_00003848.p1, TCONS_00037518.p1
OG0000009	APOSC_08256	TCONS_00015641.p1
OG0000009	APOSC_14853	TCONS_00015545.p1, TCONS_00013954.p1
OG0000009	APOSC_11177, APOSC_07331	TCONS_00025442.p1
OG0000009	APOSC_02463	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1
OG0000009	APOSC_11202, APOSC_23861, APOSC_08876	TCONS_00028883.p1, TCONS_00029472.p1
OG0000009	APOSC_15628	TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1
OG0000009	APOSC_14640	TCONS_00003938.p1, TCONS_00001483.p1
OG0000009	APOSC_23697, APOSC_22374	TCONS_00035090.p1, TCONS_00009406.p1, TCONS_00032577.p1
OG0000009	APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128	TCONS_00017823.p1, TCONS_00056063.p1
OG0000009	APOSC_09422	TCONS_00045896.p1
OG0000009	APOSC_25847	TCONS_00040680.p1
OG0000009	APOSC_18831	TCONS_00028635.p1
OG0000009	APOSC_19501	TCONS_00002534.p1, TCONS_00023726.p1, TCONS_00022144.p1
OG0000009	APOSC_15459, APOSC_11500, APOSC_25661, APOSC_00854, APOSC_26261	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1
OG0000009	APOSC_11617	TCONS_00019627.p1
OG0000009	APOSC_16724, APOSC_19765	TCONS_00027717.p1
OG0000010	APOSC_28942, APOSC_04520	TCONS_00050558.p1, TCONS_00051638.p1
OG0000010	APOSC_11855	TCONS_00043350.p1, TCONS_00043340.p1, TCONS_00043354.p1, TCONS_00043343.p1
OG0000010	APOSC_00985	TCONS_00031454.p1
OG0000010	APOSC_21784	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1
OG0000011	APOSC_02459	TCONS_00044809.p1
OG0000011	APOSC_14101	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1
OG0000011	APOSC_22534	TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1
OG0000011	APOSC_11940	TCONS_00052331.p1
OG0000011	APOSC_17763, APOSC_18129, APOSC_13105, APOSC_01020, APOSC_26009, APOSC_20690, APOSC_20691, APOSC_16872, APOSC_22419, APOSC_02153, APOSC_18658, APOSC_11283, APOSC_05379, APOSC_05259, APOSC_08942, APOSC_02299, APOSC_21470	TCONS_00034059.p1
OG0000011	APOSC_16967	TCONS_00008526.p1
OG0000011	APOSC_20770, APOSC_16965	TCONS_00049285.p1
OG0000011	APOSC_15475, APOSC_18996	TCONS_00032223.p1
OG0000011	APOSC_21593	TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1
OG0000011	APOSC_00879	TCONS_00041373.p1, TCONS_00055305.p1, TCONS_00047166.p1, TCONS_00053496.p1, TCONS_00038610.p1, TCONS_00034727.p1, TCONS_00038236.p1, TCONS_00044426.p1, TCONS_00043761.p1, TCONS_00050660.p1
OG0000011	APOSC_28649	TCONS_00048667.p1, TCONS_00018952.p1
OG0000011	APOSC_13118	TCONS_00033581.p1
OG0000011	APOSC_19810	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1
OG0000011	APOSC_11207	TCONS_00020984.p3, TCONS_00034049.p1
OG0000011	APOSC_13969, APOSC_10113, APOSC_25340, APOSC_02325	TCONS_00046669.p1
OG0000011	APOSC_08981, APOSC_17566, APOSC_17899, APOSC_24383, APOSC_27819, APOSC_02640, APOSC_01478, APOSC_01406	TCONS_00029680.p1, TCONS_00036298.p1
OG0000011	APOSC_13401	TCONS_00031655.p1, TCONS_00002470.p1
OG0000011	APOSC_22195	TCONS_00051843.p1, TCONS_00037958.p1
OG0000012	APOSC_26906, APOSC_13089	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	APOSC_13357	TCONS_00003238.p1
OG0000012	APOSC_14126, APOSC_26267, APOSC_20161, APOSC_12609, APOSC_06350	TCONS_00002832.p1
OG0000012	APOSC_26545	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	APOSC_26024, APOSC_17612	TCONS_00023863.p1
OG0000013	APOSC_16736, APOSC_08254, APOSC_05351, APOSC_14121, APOSC_11339, APOSC_25496, APOSC_21152, APOSC_27245, APOSC_17089	TCONS_00017254.p1
OG0000014	APOSC_12674	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1
OG0000014	APOSC_00187	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	APOSC_22269	TCONS_00008348.p1
OG0000015	APOSC_12040	TCONS_00007433.p1
OG0000015	APOSC_14290, APOSC_28281, APOSC_03142	TCONS_00029137.p1, TCONS_00028127.p1
OG0000015	APOSC_28752	TCONS_00043495.p1
OG0000015	APOSC_04279	TCONS_00043863.p1
OG0000016	APOSC_05404	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1
OG0000016	APOSC_06852, APOSC_19259	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	APOSC_09217	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	APOSC_26907	TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	APOSC_26372, APOSC_26868, APOSC_26028	TCONS_00022184.p1
OG0000016	APOSC_14883	TCONS_00003602.p1
OG0000016	APOSC_28721	TCONS_00048341.p1
OG0000016	APOSC_27534	TCONS_00020809.p1
OG0000016	APOSC_05485	TCONS_00049735.p1
