Orthogroup	APOSC_ok	DROME
OG0000044	APOSC_03195, APOSC_22317, APOSC_27143	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	APOSC_23682, APOSC_07549	DROME17013
OG0000046	APOSC_17204, APOSC_26711	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304, DROME11364, DROME11369
OG0000048	APOSC_03154, APOSC_05588	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	APOSC_03220	DROME01500
OG0000049	APOSC_00932	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
OG0000049	APOSC_13440	DROME18357, DROME18359, DROME18358
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	DROME06654, DROME06655
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	APOSC_12589	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822
OG0000055	APOSC_17351, APOSC_22457	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	APOSC_09888	DROME14598
OG0000060	APOSC_26756	DROME18201
OG0000060	APOSC_09536, APOSC_09537	DROME02317, DROME02583, DROME02316
OG0000061	APOSC_14996	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	APOSC_26114, APOSC_02472	DROME05579, DROME05580, DROME06033
OG0000061	APOSC_22657, APOSC_15254	DROME18900, DROME18901, DROME18899
OG0000062	APOSC_18486, APOSC_01084	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	APOSC_25041	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	APOSC_17949	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	APOSC_13886, APOSC_04832	DROME10983, DROME10982
OG0000066	APOSC_05447	DROME12296
OG0000067	APOSC_04289, APOSC_00615, APOSC_00616	DROME11908, DROME11924, DROME11927, DROME05633
