Orthogroup	BRALA	PFLAV
OG0000006	BRALA24994	TCONS_00011491.p1
OG0000006	BRALA22628	TCONS_00011052.p1
OG0000007	BRALA03259	TCONS_00008966.p1
OG0000007	BRALA13447, BRALA13448	TCONS_00029574.p1
OG0000007	BRALA20872, BRALA20870	TCONS_00009611.p1
OG0000007	BRALA09541	TCONS_00029143.p1
OG0000007	BRALA01304	TCONS_00052512.p1
OG0000007	BRALA31416	TCONS_00026068.p1
OG0000007	BRALA11149	TCONS_00051149.p1
OG0000007	BRALA20579	TCONS_00007744.p1
OG0000007	BRALA03286	TCONS_00008968.p1
OG0000007	BRALA03282	TCONS_00008967.p1
OG0000007	BRALA08350	TCONS_00029831.p1
OG0000007	BRALA09316	TCONS_00053632.p1
OG0000007	BRALA25787	TCONS_00024115.p1
OG0000007	BRALA26097, BRALA14947	TCONS_00055417.p1
OG0000007	BRALA22487	TCONS_00011336.p1
OG0000007	BRALA06491	TCONS_00014249.p1
OG0000007	BRALA18647	TCONS_00012754.p1
OG0000007	BRALA23348	TCONS_00025375.p1
OG0000007	BRALA05625	TCONS_00051989.p1
OG0000007	BRALA30788	TCONS_00009689.p1
OG0000008	BRALA16035, BRALA05591	TCONS_00054315.p1
OG0000008	BRALA10079, BRALA21454	TCONS_00012951.p1
OG0000008	BRALA15422, BRALA15425	TCONS_00013698.p1, TCONS_00013443.p1, TCONS_00013444.p1, TCONS_00013445.p1
OG0000008	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000008	BRALA09673, BRALA27036, BRALA26942	TCONS_00015623.p1
OG0000009	BRALA33044, BRALA32203, BRALA32983	TCONS_00025442.p1
OG0000009	BRALA34913	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1
OG0000009	BRALA26278, BRALA32982	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1, TCONS_00028883.p1, TCONS_00029472.p1, TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1
OG0000009	BRALA26344, BRALA34657	TCONS_00003938.p1, TCONS_00001483.p1
OG0000009	BRALA24601	TCONS_00015854.p1, TCONS_00032573.p1, TCONS_00039462.p1, TCONS_00054445.p1
OG0000009	BRALA26896, BRALA05198, BRALA23884, BRALA31944	TCONS_00018133.p1, TCONS_00001741.p1, TCONS_00002573.p1
OG0000009	BRALA33043, BRALA22992, BRALA30025	TCONS_00040680.p1
OG0000009	BRALA24985	TCONS_00035789.p1
OG0000009	BRALA12697, BRALA27847	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1
OG0000009	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338	TCONS_00019627.p1
OG0000010	BRALA24210, BRALA03886	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	BRALA02432	TCONS_00031454.p1
OG0000010	BRALA03920, BRALA03888, BRALA03922	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1
OG0000010	BRALA01026, BRALA09806	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000010	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969	TCONS_00026035.p1, TCONS_00030635.p1
OG0000011	BRALA06520, BRALA31196	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1, TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1, TCONS_00052331.p1
OG0000011	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147	TCONS_00034059.p1
OG0000011	BRALA34302	TCONS_00032223.p1
OG0000011	BRALA26291	TCONS_00056711.p1, TCONS_00034080.p1
OG0000011	BRALA22896, BRALA17910	TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1
OG0000011	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249	TCONS_00031358.p1
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1
OG0000011	BRALA06517, BRALA01847, BRALA32798	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	BRALA04980	TCONS_00029680.p1, TCONS_00036298.p1
OG0000011	BRALA13222	TCONS_00041434.p1, TCONS_00057000.p1
OG0000011	BRALA17612	TCONS_00031655.p1, TCONS_00002470.p1
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	BRALA00546	TCONS_00003238.p1
OG0000012	BRALA22947	TCONS_00041660.p1, TCONS_00041661.p1
OG0000012	BRALA08457	TCONS_00040837.p1, TCONS_00040834.p1, TCONS_00039913.p1
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	TCONS_00023863.p1
OG0000013	BRALA20932	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1
OG0000014	BRALA14079	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	BRALA28626, BRALA28625, BRALA28624	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000014	BRALA15621, BRALA12274	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1
OG0000015	BRALA21863	TCONS_00047525.p1
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858, BRALA21865, BRALA07699, BRALA22448	TCONS_00043861.p1
OG0000015	BRALA22447	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	BRALA18748, BRALA15755	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1
OG0000015	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048	TCONS_00055081.p1, TCONS_00043497.p1
OG0000015	BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1
OG0000016	BRALA00485	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1
OG0000016	BRALA09688	TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	BRALA21418, BRALA29534, BRALA13585	TCONS_00022184.p1
OG0000016	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808	TCONS_00020809.p1
OG0000016	BRALA09686	TCONS_00049735.p1
OG0000016	BRALA22170	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	BRALA05160	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1
OG0000017	BRALA05159, BRALA12730	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1
OG0000017	BRALA24981, BRALA28546, BRALA31994	TCONS_00033993.p1, TCONS_00018502.p1, TCONS_00049942.p1
OG0000017	BRALA23160, BRALA12731	TCONS_00032137.p1
OG0000018	BRALA26433	TCONS_00028359.p1
OG0000018	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561	TCONS_00053509.p1, TCONS_00048003.p1, TCONS_00010166.p1, TCONS_00018552.p2, TCONS_00050690.p1, TCONS_00001438.p1, TCONS_00031143.p1, TCONS_00046113.p1, TCONS_00036832.p1, TCONS_00044138.p1
OG0000018	BRALA31854, BRALA31809, BRALA33250, BRALA16195	TCONS_00047112.p1, TCONS_00028606.p1, TCONS_00017314.p1, TCONS_00011090.p1, TCONS_00033644.p1, TCONS_00023034.p1, TCONS_00056446.p1
OG0000018	BRALA13704, BRALA27948, BRALA23173, BRALA12914	TCONS_00031056.p1, TCONS_00001449.p1, TCONS_00001450.p1, TCONS_00037298.p1
OG0000018	BRALA25800, BRALA23152, BRALA29804, BRALA18094	TCONS_00024927.p2, TCONS_00009066.p2, TCONS_00023275.p1
OG0000018	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816	TCONS_00015755.p1
OG0000018	BRALA27952, BRALA31952	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1
OG0000018	BRALA27097	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1
OG0000018	BRALA17258, BRALA32989	TCONS_00025800.p1, TCONS_00020519.p1
OG0000018	BRALA32688, BRALA07025, BRALA20941, BRALA31799	TCONS_00031825.p1
OG0000018	BRALA29803	TCONS_00055180.p1
OG0000018	BRALA00712	TCONS_00026726.p1
OG0000018	BRALA26026	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1
OG0000018	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485	TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	BRALA31027, BRALA00002, BRALA17788	TCONS_00042378.p1
OG0000019	BRALA16757, BRALA35055, BRALA10428	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000019	BRALA00309, BRALA00310, BRALA00311	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1
OG0000019	BRALA23185, BRALA13461, BRALA09553	TCONS_00007305.p1, TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1
OG0000019	BRALA00404, BRALA00405	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000019	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160	TCONS_00042480.p1
OG0000020	BRALA11913	TCONS_00042133.p1
OG0000020	BRALA28177, BRALA04365	TCONS_00044902.p1
OG0000020	BRALA09135	TCONS_00055662.p1
OG0000020	BRALA27241	TCONS_00041842.p1
OG0000020	BRALA30618	TCONS_00007359.p1
OG0000020	BRALA28848	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	BRALA05608	TCONS_00054537.p1
OG0000020	BRALA18984	TCONS_00047850.p1
OG0000020	BRALA16287	TCONS_00045845.p1
OG0000020	BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	BRALA11167	TCONS_00013032.p1
OG0000020	BRALA27392	TCONS_00016378.p1
OG0000020	BRALA18130	TCONS_00056690.p1
OG0000020	BRALA12599	TCONS_00042754.p1
OG0000020	BRALA10628	TCONS_00019367.p1
OG0000020	BRALA23615	TCONS_00041844.p1
OG0000021	BRALA18098	TCONS_00025493.p1
OG0000021	BRALA22428	TCONS_00007765.p1
OG0000021	BRALA30352	TCONS_00006555.p1
OG0000021	BRALA34639, BRALA31905	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	BRALA06012	TCONS_00016243.p1
OG0000021	BRALA20360, BRALA20164	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	BRALA34393, BRALA34449, BRALA33273	TCONS_00026137.p1
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437	TCONS_00004930.p1
OG0000023	BRALA17881, BRALA21074, BRALA03421	TCONS_00029827.p1
OG0000024	BRALA13162, BRALA17266	TCONS_00013372.p1, TCONS_00008306.p1, TCONS_00004499.p1, TCONS_00053773.p1, TCONS_00015293.p1, TCONS_00014607.p1, TCONS_00044135.p1, TCONS_00027908.p1, TCONS_00046572.p1, TCONS_00054777.p1, TCONS_00038797.p1, TCONS_00024402.p1, TCONS_00052142.p1, TCONS_00005657.p1, TCONS_00018571.p1, TCONS_00050704.p1, TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1, TCONS_00009651.p1, TCONS_00024337.p1
OG0000025	BRALA30327	TCONS_00032487.p1
OG0000025	BRALA32180	TCONS_00029873.p1, TCONS_00041153.p1
OG0000025	BRALA30288, BRALA14889, BRALA08095, BRALA20961	TCONS_00004530.p1
OG0000025	BRALA29928, BRALA29404	TCONS_00016476.p1
OG0000025	BRALA24909	TCONS_00004608.p1
OG0000025	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555	TCONS_00018426.p1, TCONS_00027603.p1, TCONS_00027215.p2, TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1
OG0000025	BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554	TCONS_00031198.p1, TCONS_00018673.p1, TCONS_00024081.p1, TCONS_00016477.p1, TCONS_00034579.p1, TCONS_00034352.p1, TCONS_00038052.p1
OG0000025	BRALA23330	TCONS_00038243.p1, TCONS_00032040.p1, TCONS_00009183.p1
OG0000025	BRALA33595	TCONS_00045036.p1
OG0000025	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1
OG0000026	BRALA07901, BRALA07423	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	BRALA33267	TCONS_00005841.p2
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	TCONS_00017322.p1
OG0000026	BRALA01048	TCONS_00027263.p1, TCONS_00054188.p1
OG0000026	BRALA15313	TCONS_00046715.p1, TCONS_00035568.p1
OG0000026	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251	TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1
