Orthogroup	BRALA	XENTR
OG0000041	BRALA27215	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	XENTR01504, XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466, XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424
OG0000043	BRALA09159	XENTR13561, XENTR13559
OG0000044	BRALA27747	XENTR04256
OG0000045	BRALA19490, BRALA19482	XENTR06990
OG0000046	BRALA28946	XENTR04959
OG0000046	BRALA00828, BRALA17402, BRALA17400	XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000047	BRALA32269	XENTR07962
OG0000048	BRALA08224	XENTR03701
OG0000048	BRALA06772	XENTR18412
OG0000048	BRALA17809	XENTR04117
OG0000048	BRALA10830	XENTR05160
OG0000049	BRALA08950, BRALA08951	XENTR00212, XENTR08482
OG0000049	BRALA15334	XENTR07031, XENTR06401
OG0000049	BRALA15336, BRALA15335	XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000049	BRALA16919, BRALA35874, BRALA15337	XENTR07960
OG0000050	BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000051	BRALA17952	XENTR08842
OG0000052	BRALA14154, BRALA03903, BRALA35146	XENTR09745, XENTR16766, XENTR16795
OG0000053	BRALA16213, BRALA07330	XENTR00094
OG0000054	BRALA02118	XENTR04962, XENTR04961
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000055	BRALA13087	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084
OG0000056	BRALA21309	XENTR00781
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	XENTR04236, XENTR01413, XENTR01414
OG0000058	BRALA29633	XENTR09300
OG0000058	BRALA24063	XENTR11839
OG0000058	BRALA14300, BRALA24917, BRALA27306, BRALA14302	XENTR16220
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	XENTR16040, XENTR02416, XENTR06707
OG0000058	BRALA11173, BRALA06327	XENTR13842, XENTR00121
OG0000059	BRALA13206	XENTR11924, XENTR13190
OG0000059	BRALA11568	XENTR09381
OG0000059	BRALA19963, BRALA20366	XENTR06961, XENTR16370
OG0000060	BRALA01718	XENTR09513
OG0000061	BRALA07400	XENTR00116, XENTR05367
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	XENTR09403, XENTR06949, XENTR06950, XENTR12872
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	XENTR10609, XENTR10747
OG0000062	BRALA21141, BRALA30349, BRALA21142	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	BRALA31607	XENTR09512
OG0000063	BRALA00957	XENTR04708
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	XENTR08048, XENTR02007
OG0000066	BRALA25733	XENTR18882
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	XENTR14086
OG0000067	BRALA35634, BRALA09451	XENTR13783, XENTR04874
OG0000068	BRALA17343	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	BRALA31904, BRALA27769, BRALA28929	XENTR15529
OG0000069	BRALA06442	XENTR18834
OG0000069	BRALA06255, BRALA22501	XENTR16269
OG0000070	BRALA19019, BRALA19027, BRALA19020	XENTR15503, XENTR11143, XENTR02048
OG0000070	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834
OG0000071	BRALA05660	XENTR09995, XENTR01851, XENTR10875
OG0000072	BRALA12631	XENTR03548, XENTR18546
OG0000072	BRALA33639, BRALA31916	XENTR01057
OG0000073	BRALA22888	XENTR13665
OG0000074	BRALA08058	XENTR14396
OG0000075	BRALA11316	XENTR02757, XENTR11353, XENTR12610
OG0000075	BRALA07062	XENTR06215
OG0000075	BRALA18754	XENTR09250
OG0000075	BRALA16174	XENTR14285, XENTR05936
OG0000075	BRALA11318	XENTR04179, XENTR06216
OG0000075	BRALA17353, BRALA17352	XENTR01223, XENTR05975
OG0000075	BRALA20309	XENTR10723
OG0000075	BRALA25719	XENTR06816, XENTR17547, XENTR16124
OG0000075	BRALA17324	XENTR05986, XENTR05987
OG0000077	BRALA11472	XENTR06888, XENTR17790, XENTR02687
OG0000077	BRALA02324	XENTR10451
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	XENTR01904, XENTR08754, XENTR13403
OG0000077	BRALA35746, BRALA06424	XENTR07875, XENTR00642, XENTR04757
OG0000078	BRALA17098	XENTR16140
OG0000078	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000079	BRALA00097, BRALA00109	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	BRALA18105	XENTR08294, XENTR08293, XENTR03649
OG0000079	BRALA22809	XENTR01194
OG0000079	BRALA13477	XENTR15371
OG0000080	BRALA29553, BRALA02745, BRALA15989, BRALA02542	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066
OG0000081	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317
OG0000081	BRALA05164, BRALA21995, BRALA12438, BRALA12435	XENTR05089, XENTR04318, XENTR10285, XENTR00627
OG0000082	BRALA23665	XENTR16096
OG0000082	BRALA23991	XENTR01624, XENTR01625
OG0000083	BRALA11838, BRALA11834	XENTR04370, XENTR12084, XENTR05647
OG0000084	BRALA16357	XENTR14395, XENTR14216, XENTR02688
OG0000084	BRALA27744	XENTR05567, XENTR06450
OG0000085	BRALA10231	XENTR01729, XENTR03138
OG0000085	BRALA35021	XENTR04052, XENTR12507
OG0000085	BRALA20574	XENTR15005
OG0000085	BRALA19315	XENTR14407, XENTR15163, XENTR04222
OG0000085	BRALA25446	XENTR12508, XENTR04053
OG0000085	BRALA18829	XENTR12352, XENTR12351
OG0000086	BRALA06694	XENTR14579
OG0000087	BRALA04156	XENTR06736
OG0000087	BRALA02414	XENTR07023
OG0000087	BRALA11394	XENTR10385
OG0000087	BRALA11396, BRALA13093	XENTR18799
OG0000087	BRALA20310	XENTR00376
OG0000088	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000089	BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045	XENTR04109
OG0000090	BRALA02611	XENTR11768
OG0000090	BRALA04706	XENTR06545
OG0000091	BRALA15793, BRALA15791, BRALA21812, BRALA21813, BRALA21766, BRALA17200, BRALA17198, BRALA20643, BRALA24218, BRALA11634, BRALA07640, BRALA34071, BRALA10846, BRALA26173	XENTR08624
OG0000093	BRALA25999, BRALA23972	XENTR11592
OG0000093	BRALA01382, BRALA01380	XENTR02843, XENTR08380
OG0000094	BRALA34518	XENTR18065
OG0000094	BRALA09222, BRALA24092	XENTR09915, XENTR14788, XENTR17591
OG0000096	BRALA29898, BRALA29897	XENTR02028, XENTR07076, XENTR03113
OG0000096	BRALA16859	XENTR06220, XENTR01880
OG0000096	BRALA08595, BRALA28945	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	BRALA24883	XENTR17893
OG0000097	BRALA14234	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700
OG0000098	BRALA00433	XENTR05433, XENTR18578, XENTR17176
OG0000098	BRALA09558	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	BRALA22450, BRALA22449	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898
OG0000099	BRALA15695, BRALA29540	XENTR08245, XENTR06050
OG0000099	BRALA29541	XENTR16324, XENTR11719, XENTR12540
OG0000101	BRALA27830	XENTR09885, XENTR05951
OG0000101	BRALA35778, BRALA34308	XENTR10544, XENTR10545
OG0000101	BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000102	BRALA25931	XENTR10759, XENTR05530
OG0000102	BRALA10017, BRALA10010, BRALA10018, BRALA10013, BRALA10014	XENTR17165, XENTR06155
OG0000103	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000104	BRALA24676, BRALA24677	XENTR05699, XENTR11871
OG0000104	BRALA26650	XENTR03188, XENTR10251
OG0000104	BRALA24675	XENTR11872, XENTR05698
OG0000104	BRALA25097, BRALA25098	XENTR07142
