Orthogroup	BRALA	HUMAN
OG0000026	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251, BRALA01767, BRALA23099, BRALA26971, BRALA26970, BRALA13781	HUMAN26724, HUMAN26725
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	HUMAN16847
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	HUMAN03982
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	HUMAN01776, HUMAN09895
OG0000028	BRALA08547, BRALA15654	HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281
OG0000028	BRALA01199, BRALA17029, BRALA17030	HUMAN27764, HUMAN17889
OG0000028	BRALA08523	HUMAN09193, HUMAN09206
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	HUMAN24898, HUMAN21852
OG0000030	BRALA13442	HUMAN23234, HUMAN23233, HUMAN23232
OG0000031	BRALA04543	HUMAN17850
OG0000031	BRALA04547	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	BRALA04610	HUMAN26043
OG0000031	BRALA05046	HUMAN09203
OG0000031	BRALA16640	HUMAN26979, HUMAN14235
OG0000031	BRALA09408	HUMAN21432
OG0000031	BRALA28311	HUMAN07725
OG0000032	BRALA10240	HUMAN27902
OG0000032	BRALA11179, BRALA11177, BRALA09647	HUMAN19258
OG0000032	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174	HUMAN23633, HUMAN23632
OG0000034	BRALA27570	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	BRALA08751	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	BRALA08901, BRALA03079	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	BRALA17580	HUMAN01831, HUMAN13891
OG0000034	BRALA08885	HUMAN04678
OG0000034	BRALA23966, BRALA06594	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	BRALA02412	HUMAN04988
OG0000035	BRALA21367, BRALA35402	HUMAN06576
OG0000035	BRALA13921	HUMAN06191, HUMAN03898
OG0000035	BRALA29588	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
