Orthogroup	BRALA	OWEFU
OG0000007	BRALA05625	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	BRALA30788	OFUSG25241.1.p1
OG0000008	BRALA16035, BRALA05591	OFUSG01560.1.p1
OG0000008	BRALA27338	OFUSG15555.1.p1
OG0000008	BRALA10079, BRALA21454	OFUSG15533.1.p1
OG0000008	BRALA27340	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	BRALA20539	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014	OFUSG18646.1.p1
OG0000008	BRALA28057	OFUSG05918.1.p1
OG0000008	BRALA03967, BRALA19653, BRALA26177, BRALA05739, BRALA19700, BRALA02027, BRALA02016, BRALA02018, BRALA22041, BRALA05740, BRALA09034	OFUSG11860.1.p1
OG0000008	BRALA19645	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1
OG0000010	BRALA05894	OFUSG20029.1.p1
OG0000010	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	BRALA24210, BRALA03886	OFUSG09248.1.p1
OG0000010	BRALA08739, BRALA05744	OFUSG05937.1.p1
OG0000010	BRALA01026, BRALA09806	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	BRALA20380, BRALA25997	OFUSG10776.1.p1
OG0000010	BRALA23788	OFUSG01743.1.p1
OG0000010	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000011	BRALA34301	OFUSG08075.1.p1
OG0000012	BRALA09401, BRALA09395, BRALA26096, BRALA05662	OFUSG12918.1.p1, OFUSG08171.1.p1, OFUSG25983.1.p1, OFUSG24954.1.p1, OFUSG14292.1.p1, OFUSG14293.1.p1, OFUSG14294.1.p1, OFUSG21301.1.p1, OFUSG24591.1.p1, OFUSG24955.1.p1
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	BRALA22013, BRALA27149, BRALA13116, BRALA30617, BRALA01515, BRALA11191, BRALA13154, BRALA13813, BRALA30615, BRALA30614, BRALA30613, BRALA35525, BRALA30616, BRALA30612, BRALA33283, BRALA20556, BRALA29089, BRALA20557, BRALA20559	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1
OG0000012	BRALA22947	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	BRALA20558, BRALA12213, BRALA23779, BRALA32735	OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000013	BRALA10995, BRALA11091, BRALA10996	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000013	BRALA20932	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456, BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196, BRALA14079	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	BRALA21274	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1
OG0000014	BRALA28626, BRALA28625, BRALA28624	OFUSG00805.1.p1
OG0000015	BRALA21863	OFUSG16912.1.p1
OG0000015	BRALA22447	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	BRALA18748, BRALA15755	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000015	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	BRALA34743	OFUSG06389.1.p1
OG0000016	BRALA00485	OFUSG16773.1.p1
OG0000016	BRALA14185, BRALA14188, BRALA14187, BRALA14186	OFUSG24893.1.p1
OG0000016	BRALA32113, BRALA10406	OFUSG10402.1.p1
OG0000016	BRALA21418, BRALA29534, BRALA13585	OFUSG13895.1.p1
OG0000016	BRALA24127	OFUSG11848.1.p1
OG0000016	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808, BRALA09686, BRALA22170, BRALA33982	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	BRALA26433	OFUSG02956.1.p1
OG0000018	BRALA29803, BRALA00712	OFUSG14111.1.p3
OG0000019	BRALA17788	OFUSG23776.1.p1
OG0000019	BRALA16757, BRALA35055, BRALA10428	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	BRALA00309, BRALA00310, BRALA00311	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	BRALA00404, BRALA00405	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	BRALA12010	OFUSG17234.1.p1
OG0000020	BRALA11913	OFUSG13197.1.p1
OG0000020	BRALA09136, BRALA09135	OFUSG19131.1.p1
