Orthogroup	BRALA	BRAFL
OG0000008	BRALA19914	bflo_09106
OG0000008	BRALA10079, BRALA21454	bflo_10580
OG0000008	BRALA15422, BRALA15425	bflo_11711
OG0000008	BRALA04407	bflo_08472, bflo_08473, bflo_00405
OG0000008	BRALA17128, BRALA07906, BRALA15503, BRALA14714	bflo_01106
OG0000008	BRALA07908	bflo_07328, bflo_08279
OG0000008	BRALA07907	bflo_24300
OG0000008	BRALA21582, BRALA02557	bflo_02874, bflo_22928
OG0000008	BRALA27339	bflo_16759, bflo_16352, bflo_16351, bflo_16760
OG0000008	BRALA27336	bflo_16631
OG0000008	BRALA26171, BRALA33769	bflo_18246
OG0000008	BRALA26174	bflo_18438
OG0000008	BRALA26137	bflo_05246, bflo_16441, bflo_26042
OG0000008	BRALA30164	bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	BRALA09673	bflo_01785
OG0000008	BRALA26942	bflo_17089
OG0000008	BRALA20539	bflo_12140
OG0000008	BRALA05754	bflo_24820
OG0000008	BRALA05767	bflo_24836
OG0000008	BRALA05758	bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839
OG0000008	BRALA05753	bflo_24838
OG0000008	BRALA05580	bflo_24924
OG0000008	BRALA28057	bflo_11080
OG0000008	BRALA03967	bflo_07954
OG0000008	BRALA19653	bflo_07942
OG0000008	BRALA19700	bflo_07547
OG0000008	BRALA02027	bflo_04028, bflo_18374, bflo_24491, bflo_04327, bflo_04330, bflo_04337
OG0000008	BRALA02016	bflo_04336
OG0000008	BRALA02018	bflo_07550
OG0000008	BRALA05740	bflo_22064
OG0000008	BRALA09034	bflo_10972, bflo_19398
OG0000008	BRALA20418	bflo_20071
OG0000008	BRALA19645	bflo_17599
OG0000009	BRALA33044, BRALA32203, BRALA32983	bflo_13612, bflo_25945
OG0000009	BRALA34913	bflo_13658
OG0000009	BRALA26896, BRALA05198, BRALA23884, BRALA31944	bflo_05031, bflo_26511
OG0000009	BRALA24985	bflo_05282, bflo_00619, bflo_12605, bflo_16228, bflo_11316, bflo_11969
OG0000009	BRALA23462, BRALA30489	bflo_19936
OG0000009	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338	bflo_25982
OG0000010	BRALA13736	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910
OG0000010	BRALA14215	bflo_21331
OG0000010	BRALA13464, BRALA24211, BRALA24209	bflo_22061, bflo_21857
OG0000010	BRALA24210, BRALA03886	bflo_00973
OG0000010	BRALA17508, BRALA01650	bflo_05472
OG0000010	BRALA02432	bflo_03815, bflo_02970
OG0000010	BRALA03920	bflo_07912
OG0000010	BRALA03888	bflo_08373
OG0000010	BRALA01026	bflo_25814
OG0000010	BRALA09806	bflo_01084
OG0000010	BRALA20380, BRALA25997	bflo_08401
OG0000010	BRALA21212	bflo_23855, bflo_02791
OG0000010	BRALA10410	bflo_23795
OG0000010	BRALA13100	bflo_23406
OG0000010	BRALA23756	bflo_06245
OG0000010	BRALA23757	bflo_06244
OG0000010	BRALA23755	bflo_00460
OG0000010	BRALA23754	bflo_18660
OG0000010	BRALA23978	bflo_08393
OG0000010	BRALA26010, BRALA26008	bflo_07884
OG0000010	BRALA26958	bflo_12780
OG0000010	BRALA23969	bflo_08406
OG0000010	BRALA34111	bflo_17410
OG0000010	BRALA03882	bflo_07653
OG0000010	BRALA23970	bflo_08405
OG0000010	BRALA23974	bflo_08413, bflo_08396
OG0000010	BRALA23975	bflo_08404
OG0000010	BRALA23976, BRALA23977	bflo_07883
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	bflo_20761, bflo_05867
OG0000011	BRALA13222	bflo_27088, bflo_03175
OG0000011	BRALA34301	bflo_13676
OG0000011	BRALA17612	bflo_15139
OG0000012	BRALA09401	bflo_10914
OG0000012	BRALA09395	bflo_11151
OG0000012	BRALA26096	bflo_12368
OG0000012	BRALA05662	bflo_25561, bflo_24862
OG0000012	BRALA23780	bflo_04680
OG0000012	BRALA12214	bflo_21369
OG0000012	BRALA12212	bflo_21286
OG0000012	BRALA16898	bflo_18299
OG0000012	BRALA21507	bflo_13503, bflo_03860
OG0000012	BRALA26960	bflo_20457
OG0000012	BRALA19503	bflo_22922
OG0000012	BRALA19502, BRALA19501	bflo_23585, bflo_22923
OG0000012	BRALA18532	bflo_21880, bflo_18018
OG0000012	BRALA31453, BRALA26961	bflo_03629
