Orthogroup	DANRE	BRAFL
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	DANRE02012	bflo_12769
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	bflo_20387
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	bflo_08031
OG0000019	DANRE29946, DANRE21114	bflo_04871
OG0000019	DANRE41681	bflo_24292
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	bflo_26518, bflo_26519, bflo_04870
OG0000020	DANRE03458	bflo_12668
OG0000020	DANRE10827, DANRE10826, DANRE10743	bflo_19465
OG0000020	DANRE37310	bflo_20627
OG0000020	DANRE10670	bflo_17473, bflo_27211
OG0000020	DANRE40536	bflo_12267
OG0000020	DANRE14742, DANRE09733	bflo_11497
OG0000020	DANRE18650, DANRE10748	bflo_01316, bflo_26255, bflo_05601
OG0000020	DANRE23011	bflo_24504, bflo_09206, bflo_24474
OG0000020	DANRE24424, DANRE24423, DANRE27995	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	DANRE30414	bflo_01292
OG0000020	DANRE27431, DANRE27432, DANRE27433	bflo_16368
OG0000020	DANRE06741, DANRE06740, DANRE15747	bflo_14118
OG0000020	DANRE06663, DANRE06664	bflo_07448
OG0000020	DANRE18984	bflo_14450
OG0000020	DANRE27379	bflo_00687
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	bflo_11723
OG0000021	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662	bflo_11166, bflo_11165, bflo_11164
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	bflo_12821
OG0000021	DANRE08348, DANRE33679	bflo_20935
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	bflo_20505, bflo_09681
OG0000021	DANRE37717	bflo_27402, bflo_22537
OG0000021	DANRE02277	bflo_22539, bflo_22305
OG0000021	DANRE27401, DANRE27403, DANRE27400	bflo_14957, bflo_14617, bflo_14568
OG0000021	DANRE20108	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000022	DANRE32684, DANRE31894, DANRE07504	bflo_08168
OG0000022	DANRE32515, DANRE32024	bflo_03149
OG0000023	DANRE19492, DANRE40604	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	bflo_20456
OG0000023	DANRE07548, DANRE07547	bflo_20896
OG0000023	DANRE01757	bflo_10033, bflo_02724, bflo_02807
OG0000026	DANRE25537, DANRE36265	bflo_21516, bflo_21519, bflo_21523
OG0000026	DANRE42258, DANRE07529	bflo_26853, bflo_07376
OG0000027	DANRE02909	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	DANRE06013	bflo_15045
OG0000028	DANRE08736, DANRE08737, DANRE20375	bflo_23186, bflo_23170, bflo_06699, bflo_04841
