Orthogroup	DANRE	CAPO3
OG0000048	DANRE26183	CAPO304823
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854, DANRE36715, DANRE36714, DANRE02678, DANRE12445, DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833, DANRE13089, DANRE13098, DANRE13083, DANRE35265, DANRE10820, DANRE30744	CAPO304018
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	CAPO307809, CAPO301249
OG0000054	DANRE06791, DANRE15743	CAPO302015
OG0000054	DANRE09041, DANRE09042, DANRE04360	CAPO303797
OG0000055	DANRE26046, DANRE37399, DANRE26075	CAPO301479, CAPO301432
OG0000056	DANRE40469, DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910, DANRE40924, DANRE40923, DANRE30239	CAPO305974, CAPO306012, CAPO306941
OG0000058	DANRE01466, DANRE01467	CAPO305595
OG0000058	DANRE03528	CAPO307225
OG0000060	DANRE15035, DANRE15034, DANRE05268, DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	CAPO305373
OG0000062	DANRE28563, DANRE28564, DANRE28575, DANRE28567, DANRE08108, DANRE35118, DANRE16967, DANRE16966, DANRE16965, DANRE16964, DANRE16968, DANRE16963, DANRE16977, DANRE16975, DANRE16976, DANRE16978, DANRE16969, DANRE08527, DANRE08526, DANRE09429, DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570, DANRE18807, DANRE18806	CAPO300910
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513, DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785, DANRE15770, DANRE36896, DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	CAPO300270
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	CAPO308057
OG0000069	DANRE26091	CAPO302182
OG0000069	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956	CAPO301523, CAPO305173
OG0000082	DANRE33308	CAPO304738
OG0000082	DANRE06377	CAPO306626
OG0000082	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710	CAPO300843
OG0000085	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947	CAPO303061
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408, DANRE41207, DANRE34643, DANRE03156, DANRE10316, DANRE06317, DANRE41902, DANRE41903, DANRE41901, DANRE23253, DANRE33578, DANRE33579, DANRE35407, DANRE35406, DANRE08304, DANRE08305, DANRE33807, DANRE33806, DANRE14204, DANRE04562, DANRE35677, DANRE35678	CAPO303047
OG0000089	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393, DANRE18392	CAPO300386, CAPO300810, CAPO302098
OG0000091	DANRE19328, DANRE19327, DANRE19329	CAPO301134
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	CAPO301431
OG0000096	DANRE02166	CAPO303349
OG0000096	DANRE36045, DANRE24893	CAPO307955
OG0000096	DANRE14485	CAPO307522
OG0000096	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947	CAPO300294
OG0000096	DANRE38250, DANRE38251, DANRE29625, DANRE29623, DANRE42235, DANRE21352, DANRE21353, DANRE21354	CAPO307017
OG0000101	DANRE38569, DANRE26131, DANRE26132, DANRE12070, DANRE23836, DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774	CAPO306858
OG0000103	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772, DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	CAPO302453
OG0000106	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604, DANRE26909, DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	CAPO300017
OG0000107	DANRE37418	CAPO301524
OG0000110	DANRE00791, DANRE00859, DANRE08321, DANRE11747, DANRE11748, DANRE11749	CAPO300387
OG0000116	DANRE10733	CAPO305622
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249, DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167, DANRE42690, DANRE42691, DANRE05898	CAPO304642
OG0000122	DANRE03356, DANRE03355, DANRE29132, DANRE27353, DANRE24610, DANRE24611, DANRE42733, DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813	CAPO307824
OG0000124	DANRE43119	CAPO304324
OG0000124	DANRE09986, DANRE02785, DANRE02786, DANRE22696	CAPO302553
OG0000126	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521	CAPO301836
OG0000126	DANRE16570, DANRE16568, DANRE16569, DANRE06924, DANRE06925, DANRE06927, DANRE06923, DANRE22185, DANRE22186	CAPO302484
OG0000126	DANRE09488	CAPO306676
OG0000126	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232, DANRE19091, DANRE19090, DANRE21704, DANRE21705, DANRE33653, DANRE33654, DANRE09589, DANRE25981, DANRE25982	CAPO300572
OG0000128	DANRE33979, DANRE08860	CAPO306991, CAPO304956
OG0000129	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890, DANRE10723, DANRE10724, DANRE11910, DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924, DANRE13156, DANRE13155, DANRE13154, DANRE28020, DANRE28021	CAPO303361
OG0000137	DANRE09204, DANRE17609, DANRE06165, DANRE17940, DANRE17941, DANRE04021, DANRE04020, DANRE17727, DANRE10757	CAPO305369
OG0000142	DANRE23829, DANRE34265, DANRE41247, DANRE06190, DANRE30133, DANRE16974, DANRE09223, DANRE26306, DANRE36874	CAPO302031, CAPO302030
OG0000147	DANRE10593, DANRE10594, DANRE18815, DANRE11115	CAPO308132
OG0000147	DANRE05562, DANRE16724, DANRE16725, DANRE11736, DANRE11737	CAPO304230
OG0000149	DANRE00119, DANRE33977, DANRE33976, DANRE33978, DANRE34857, DANRE34856, DANRE34855, DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797, DANRE04846	CAPO305206, CAPO306214
OG0000157	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747, DANRE41215, DANRE41214, DANRE34922, DANRE21753, DANRE21754	CAPO305956
OG0000157	DANRE21331	CAPO302981
OG0000157	DANRE40414, DANRE40415, DANRE36730, DANRE00557, DANRE36959, DANRE36960, DANRE02661, DANRE25691, DANRE31497, DANRE40411, DANRE40410, DANRE12853, DANRE12855, DANRE38298, DANRE12854	CAPO305824
OG0000158	DANRE21825, DANRE21824, DANRE16888, DANRE16887, DANRE16889	CAPO302924
OG0000167	DANRE10765, DANRE22706, DANRE22707, DANRE40314, DANRE15008, DANRE22499, DANRE22498, DANRE27166, DANRE17740, DANRE11398, DANRE11083, DANRE11082, DANRE11081, DANRE17267, DANRE15006, DANRE15004, DANRE23504, DANRE27268, DANRE17271, DANRE17272	CAPO301364, CAPO303476
OG0000171	DANRE00111, DANRE00110, DANRE04752, DANRE07375, DANRE03983, DANRE20301, DANRE20300, DANRE08229, DANRE08228, DANRE31512, DANRE31513, DANRE03984, DANRE03985, DANRE16355, DANRE15814	CAPO304813
OG0000174	DANRE13585, DANRE33604, DANRE04813, DANRE04814, DANRE23326, DANRE27857, DANRE42132, DANRE42133	CAPO304629
OG0000175	DANRE18466, DANRE26656, DANRE39199, DANRE39200	CAPO303513
OG0000175	DANRE22919, DANRE02514	CAPO303920
OG0000179	DANRE01574, DANRE40987	CAPO300694
OG0000179	DANRE43121, DANRE25146, DANRE25145	CAPO303342
OG0000181	DANRE35615, DANRE23131, DANRE23130, DANRE26358, DANRE29929, DANRE24701	CAPO301108
OG0000181	DANRE02884, DANRE02883, DANRE12403, DANRE12404, DANRE12405	CAPO302034
OG0000181	DANRE16584, DANRE26492	CAPO307692
OG0000181	DANRE18962, DANRE11917	CAPO300374
OG0000183	DANRE19978, DANRE08187, DANRE08186, DANRE08185, DANRE34383, DANRE34382, DANRE18628, DANRE18627, DANRE04912, DANRE04914, DANRE04913, DANRE19973, DANRE19972, DANRE19974, DANRE38116, DANRE38118, DANRE38117, DANRE22228, DANRE22229	CAPO305638
OG0000183	DANRE08132, DANRE34989, DANRE34988, DANRE41633, DANRE41632, DANRE08948, DANRE08946, DANRE34990	CAPO305829
OG0000184	DANRE17664, DANRE17663, DANRE17665, DANRE17666	CAPO304928
OG0000192	DANRE39465, DANRE39464	CAPO304141
OG0000192	DANRE28817, DANRE28818	CAPO301980
OG0000193	DANRE34973, DANRE33595, DANRE34240, DANRE33321, DANRE33322, DANRE33593, DANRE33594, DANRE34569, DANRE07989, DANRE34976, DANRE34977, DANRE34975, DANRE34974, DANRE16056, DANRE08684	CAPO302628
OG0000194	DANRE07507, DANRE27093, DANRE24470, DANRE24471, DANRE02515	CAPO305195
OG0000195	DANRE26547, DANRE26546, DANRE23862, DANRE23863, DANRE32969, DANRE26548, DANRE38212, DANRE38213, DANRE38214, DANRE33889, DANRE28018	CAPO305454
OG0000201	DANRE15486, DANRE15485, DANRE15484, DANRE30063, DANRE30062, DANRE30061, DANRE36037, DANRE28541, DANRE28524, DANRE12461	CAPO307729
OG0000201	DANRE19427, DANRE35321	CAPO300462
OG0000203	DANRE15727, DANRE14699, DANRE18500, DANRE14717, DANRE38197, DANRE07753, DANRE36471, DANRE22962, DANRE41037, DANRE41036, DANRE35298, DANRE06818, DANRE35299, DANRE22900, DANRE02845, DANRE02846, DANRE02844	CAPO302139
OG0000204	DANRE22975, DANRE22976, DANRE07627, DANRE07626, DANRE30762, DANRE12375, DANRE12376, DANRE39104, DANRE39103, DANRE39102, DANRE26235, DANRE43351, DANRE26103, DANRE38455, DANRE38457, DANRE38456, DANRE30689, DANRE30690, DANRE26107, DANRE26108, DANRE22977, DANRE38458, DANRE26101, DANRE38469	CAPO303090
OG0000207	DANRE17486, DANRE17485, DANRE17484, DANRE22386, DANRE15618, DANRE15616, DANRE15617, DANRE15615, DANRE15619, DANRE07385, DANRE27408, DANRE35263, DANRE35264, DANRE10271, DANRE22834, DANRE22835	CAPO304105, CAPO304106, CAPO304714
OG0000211	DANRE07428, DANRE04462, DANRE04461, DANRE19375, DANRE19374, DANRE37550, DANRE37552, DANRE34919, DANRE34918, DANRE40802, DANRE37551, DANRE40803, DANRE25257, DANRE37648	CAPO306209
OG0000218	DANRE21272, DANRE22815	CAPO300559
OG0000220	DANRE26586, DANRE26587, DANRE26588, DANRE26584, DANRE26583, DANRE26585, DANRE23907, DANRE15860, DANRE15859, DANRE01410, DANRE04370, DANRE04369, DANRE04371, DANRE04950, DANRE04949, DANRE00370, DANRE00369, DANRE35167	CAPO306780, CAPO307695
OG0000221	DANRE21380, DANRE21379, DANRE42561, DANRE24216, DANRE24218, DANRE24215, DANRE26894, DANRE26896, DANRE26895, DANRE24217, DANRE29970, DANRE29969, DANRE03479, DANRE13103, DANRE13104, DANRE41056, DANRE02442, DANRE02443, DANRE42362, DANRE10521, DANRE29024, DANRE29025	CAPO300247
OG0000222	DANRE08892, DANRE02501, DANRE02503, DANRE02502, DANRE02504, DANRE22242, DANRE22243, DANRE22240, DANRE22239, DANRE22241	CAPO304211
OG0000223	DANRE41768, DANRE41772, DANRE02462, DANRE02461, DANRE41770, DANRE12033, DANRE12032, DANRE18153, DANRE18152, DANRE41769, DANRE38146, DANRE38148, DANRE38147, DANRE03385, DANRE03386, DANRE05328	CAPO308126
OG0000225	DANRE31381, DANRE31382, DANRE31383, DANRE31384, DANRE31380, DANRE31379, DANRE31378, DANRE31377, DANRE22490, DANRE36644, DANRE36645, DANRE40476, DANRE31226, DANRE40474, DANRE40473, DANRE23156, DANRE19629, DANRE19630, DANRE06683	CAPO305347
OG0000226	DANRE11650	CAPO306934
OG0000226	DANRE21406, DANRE21407	CAPO303463
OG0000234	DANRE21676, DANRE21675, DANRE19408, DANRE19409, DANRE12183, DANRE12184, DANRE08990, DANRE08989, DANRE13969, DANRE31517, DANRE31519, DANRE31518, DANRE31520, DANRE31523, DANRE31521, DANRE38638, DANRE38634, DANRE38635, DANRE38636, DANRE31522	CAPO301359
OG0000238	DANRE03666, DANRE29074, DANRE03667	CAPO305428
OG0000239	DANRE03491, DANRE29951, DANRE03738, DANRE26391, DANRE26392, DANRE41746, DANRE41745, DANRE35712, DANRE19581, DANRE41747, DANRE35710, DANRE19582, DANRE35708, DANRE18831, DANRE11676, DANRE29702, DANRE29704, DANRE29703, DANRE03364, DANRE03363, DANRE03365, DANRE09553, DANRE14346, DANRE14347	CAPO302089
OG0000240	DANRE33483	CAPO303214
OG0000242	DANRE39800, DANRE30613, DANRE23069	CAPO304847
OG0000244	DANRE23384, DANRE33208, DANRE01749, DANRE01750, DANRE40364, DANRE33065, DANRE26123, DANRE23383, DANRE39345, DANRE10256, DANRE14300, DANRE12683, DANRE02457, DANRE02456, DANRE02458, DANRE24578	CAPO301556
OG0000246	DANRE29491, DANRE35156	CAPO303496
OG0000248	DANRE11475, DANRE03510, DANRE03511, DANRE03504, DANRE03515, DANRE03516, DANRE17595, DANRE17596, DANRE03517, DANRE03512, DANRE03507, DANRE03513, DANRE03514, DANRE03518, DANRE03508, DANRE03509, DANRE03506, DANRE03505, DANRE03503, DANRE33895, DANRE34721, DANRE34722, DANRE34720, DANRE09912, DANRE09911, DANRE09913, DANRE13533, DANRE09910	CAPO307635, CAPO302481, CAPO302487
OG0000250	DANRE30458	CAPO305827
OG0000255	DANRE20502	CAPO301531
OG0000255	DANRE38523, DANRE38521, DANRE38522, DANRE38524	CAPO300499
OG0000256	DANRE00399, DANRE00398, DANRE30242, DANRE17145, DANRE17146	CAPO307884
OG0000256	DANRE00533, DANRE00532, DANRE12153, DANRE25972, DANRE25973, DANRE25974, DANRE12154	CAPO306483
