Orthogroup	DANRE	APOSJ_ok
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000026	DANRE09875	APOSJ_39679, APOSJ_39682
OG0000026	DANRE42258, DANRE07529	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	APOSJ_13359, APOSJ_13358
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	DANRE41079, DANRE41078	APOSJ_24666, APOSJ_08058
OG0000030	DANRE08391	APOSJ_45466
OG0000031	DANRE20694	APOSJ_52458, APOSJ_52455, APOSJ_37355
OG0000031	DANRE41496, DANRE35535, DANRE23155	APOSJ_56428
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	APOSJ_58452
OG0000031	DANRE26516	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	DANRE35637, DANRE11621	APOSJ_07842, APOSJ_07841
OG0000031	DANRE20276, DANRE16190, DANRE42316	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	DANRE27399, DANRE21472, DANRE14252	APOSJ_01762
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	APOSJ_03114, APOSJ_03115
