Orthogroup	APOSJ_ok	OWEFU
OG0000008	APOSJ_59607, APOSJ_43234	OFUSG14096.1.p1
OG0000008	APOSJ_08880	OFUSG20435.1.p1
OG0000008	APOSJ_61175	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	APOSJ_50496	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000010	APOSJ_10822	OFUSG01743.1.p1
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	APOSJ_20422	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000013	APOSJ_50056, APOSJ_01943	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105, APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	APOSJ_28331, APOSJ_28332	OFUSG00805.1.p1
OG0000015	APOSJ_33839	OFUSG02249.1.p1
OG0000015	APOSJ_04715	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	OFUSG16773.1.p1
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1
OG0000016	APOSJ_40020	OFUSG10402.1.p1
