Orthogroup	APOSJ_ok	XENTR
OG0000021	APOSJ_47375, APOSJ_47376	XENTR17791, XENTR16377
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	XENTR06809, XENTR02794
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	XENTR13705, XENTR13394, XENTR13393
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	XENTR00007
OG0000023	APOSJ_12541	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	APOSJ_42179	XENTR13097
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	XENTR07244, XENTR03079
OG0000028	APOSJ_13359, APOSJ_13358	XENTR10277, XENTR06737
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335
OG0000029	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	XENTR18219
OG0000030	APOSJ_46611, APOSJ_46610	XENTR14147
OG0000031	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549	XENTR15116
OG0000031	APOSJ_56428	XENTR05405, XENTR03766
OG0000031	APOSJ_58452	XENTR08553, XENTR05384, XENTR03164
OG0000031	APOSJ_07842, APOSJ_07841	XENTR00229
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	XENTR12584, XENTR00918
OG0000031	APOSJ_01762	XENTR00006, XENTR16792, XENTR04300
OG0000031	APOSJ_03114, APOSJ_03115	XENTR09425
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	XENTR17016
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193	XENTR04943
OG0000034	APOSJ_17818, APOSJ_17819	XENTR11418, XENTR11419, XENTR10883, XENTR07417
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	APOSJ_60565, APOSJ_21305	XENTR15456
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	XENTR10156
OG0000034	APOSJ_63084, APOSJ_59127	XENTR16254
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	XENTR08340
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	XENTR05239
OG0000035	APOSJ_13857	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	APOSJ_11969, APOSJ_09937	XENTR07648
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	APOSJ_14503	XENTR13293, XENTR09857
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	XENTR07761, XENTR12415, XENTR07272
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	XENTR01038, XENTR15969
