Orthogroup	APOSJ_ok	SCHMD
OG0000049	APOSJ_00656	SCHMD17006
OG0000049	APOSJ_36462	SCHMD22370
OG0000051	APOSJ_11380, APOSJ_11382, APOSJ_11381, APOSJ_49294, APOSJ_31090, APOSJ_33080, APOSJ_33081, APOSJ_33079, APOSJ_33078, APOSJ_24712, APOSJ_12983, APOSJ_12984, APOSJ_12982, APOSJ_12981, APOSJ_12980, APOSJ_42696, APOSJ_22311, APOSJ_45471, APOSJ_36585, APOSJ_65392, APOSJ_36584, APOSJ_36582, APOSJ_36580, APOSJ_36579, APOSJ_28591, APOSJ_28590, APOSJ_19528, APOSJ_48652, APOSJ_48243, APOSJ_48242, APOSJ_48241, APOSJ_48240, APOSJ_13578, APOSJ_61106	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	SCHMD04270
OG0000058	APOSJ_62161	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000058	APOSJ_62158, APOSJ_62153, APOSJ_01987, APOSJ_01985, APOSJ_19125, APOSJ_01993, APOSJ_19124, APOSJ_01989, APOSJ_62159, APOSJ_01992, APOSJ_62160	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329
OG0000059	APOSJ_37930	SCHMD27096
OG0000059	APOSJ_54479	SCHMD05188, SCHMD13278
OG0000060	APOSJ_41349	SCHMD17528
OG0000060	APOSJ_24347, APOSJ_24346, APOSJ_24345, APOSJ_24343	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	APOSJ_24727, APOSJ_46788	SCHMD03062
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	SCHMD24930
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	SCHMD11039
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442, APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	APOSJ_62799, APOSJ_60703	SCHMD04855
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	SCHMD09653
OG0000063	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780	SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709
OG0000065	APOSJ_42751, APOSJ_33992, APOSJ_36131, APOSJ_42184, APOSJ_00972	SCHMD25473, SCHMD19118
OG0000065	APOSJ_35430, APOSJ_06253	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	APOSJ_38125	SCHMD27134
OG0000066	APOSJ_33408, APOSJ_33407, APOSJ_11432, APOSJ_11417	SCHMD06601
OG0000066	APOSJ_56697, APOSJ_30328	SCHMD06030
OG0000066	APOSJ_39917, APOSJ_61182, APOSJ_56923, APOSJ_05972, APOSJ_05971, APOSJ_08361	SCHMD05807
OG0000068	APOSJ_53737, APOSJ_18613	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	APOSJ_60884	SCHMD11437
OG0000069	APOSJ_04756	SCHMD18974
OG0000070	APOSJ_54993	SCHMD06745
OG0000071	APOSJ_06112, APOSJ_06111	SCHMD08674, SCHMD04226
OG0000072	APOSJ_62423	SCHMD19677, SCHMD17046, SCHMD17002
OG0000075	APOSJ_33309, APOSJ_33308	SCHMD03704
OG0000075	APOSJ_16193, APOSJ_16195	SCHMD21424
OG0000077	APOSJ_21253	SCHMD27793, SCHMD21332
OG0000078	APOSJ_61846	SCHMD04824, SCHMD04525
OG0000079	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	APOSJ_18254	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	APOSJ_06559, APOSJ_06558	SCHMD06941, SCHMD04736
OG0000080	APOSJ_34049, APOSJ_34053, APOSJ_07554, APOSJ_52022, APOSJ_26472, APOSJ_04249, APOSJ_63183, APOSJ_63184, APOSJ_63185, APOSJ_63186, APOSJ_03317, APOSJ_34050, APOSJ_34052, APOSJ_34051, APOSJ_14425, APOSJ_35316, APOSJ_33975, APOSJ_14060, APOSJ_51754, APOSJ_53757, APOSJ_01450, APOSJ_24965, APOSJ_25977, APOSJ_18025, APOSJ_59025, APOSJ_19616, APOSJ_29557, APOSJ_44151, APOSJ_63728, APOSJ_44150, APOSJ_18023, APOSJ_61772, APOSJ_43381, APOSJ_43380, APOSJ_58825, APOSJ_53756, APOSJ_51750, APOSJ_51752, APOSJ_01451, APOSJ_09047, APOSJ_51753, APOSJ_51751, APOSJ_51199, APOSJ_15551, APOSJ_44128, APOSJ_17432, APOSJ_23605, APOSJ_23606, APOSJ_11347, APOSJ_11348, APOSJ_16829	SCHMD10387, SCHMD06434
OG0000082	APOSJ_25535	SCHMD03263, SCHMD10119
OG0000082	APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640	SCHMD29028
OG0000082	APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454	SCHMD03363
OG0000082	APOSJ_39504, APOSJ_61588	SCHMD24007, SCHMD15475, SCHMD16819
OG0000082	APOSJ_10612	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210
OG0000084	APOSJ_15697	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	APOSJ_64503, APOSJ_64502, APOSJ_01190	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000085	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022	SCHMD12836
OG0000085	APOSJ_25761	SCHMD12466
OG0000085	APOSJ_04663, APOSJ_04662	SCHMD18327
OG0000087	APOSJ_41352	SCHMD09399
OG0000087	APOSJ_44974	SCHMD09405
OG0000087	APOSJ_45252	SCHMD09408
OG0000087	APOSJ_17272	SCHMD25358
OG0000087	APOSJ_35199	SCHMD05857
OG0000087	APOSJ_35198	SCHMD05855
OG0000087	APOSJ_39565	SCHMD03394
OG0000087	APOSJ_19002, APOSJ_64596	SCHMD03393
OG0000087	APOSJ_35346	SCHMD23919
OG0000087	APOSJ_05721	SCHMD21804, SCHMD25814, SCHMD16934
OG0000087	APOSJ_05717, APOSJ_05719	SCHMD17003, SCHMD07336
OG0000087	APOSJ_58727	SCHMD07337
OG0000090	APOSJ_00149	SCHMD06769
OG0000094	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
