Orthogroup	APOSJ_ok	AENJA_ok
OG0000012	APOSJ_56324, APOSJ_56325, APOSJ_58381, APOSJ_56327, APOSJ_43063, APOSJ_43069, APOSJ_43070, APOSJ_43068, APOSJ_43067, APOSJ_43066, APOSJ_43065, APOSJ_43064, APOSJ_43930, APOSJ_28193, APOSJ_20947, APOSJ_09530, APOSJ_26007	AENJA_22984, AENJA_22983
OG0000012	APOSJ_34506, APOSJ_34505, APOSJ_18764, APOSJ_41502, APOSJ_41501, APOSJ_62490, APOSJ_23315, APOSJ_02166, APOSJ_26429, APOSJ_57968, APOSJ_60006, APOSJ_60001	AENJA_06607
OG0000012	APOSJ_20422	AENJA_02869
OG0000013	APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982	AENJA_11516
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105	AENJA_09518, AENJA_09012
OG0000014	APOSJ_28331, APOSJ_28332	AENJA_25536
OG0000015	APOSJ_56210	AENJA_19634
OG0000015	APOSJ_62317, APOSJ_51506, APOSJ_06725	AENJA_25011
OG0000015	APOSJ_09441, APOSJ_10165	AENJA_19636
OG0000015	APOSJ_50846, APOSJ_50844	AENJA_18653
OG0000016	APOSJ_25810, APOSJ_25809	AENJA_04814, AENJA_14549
OG0000016	APOSJ_38950, APOSJ_38952, APOSJ_43457	AENJA_07664
OG0000016	APOSJ_40020	AENJA_11513
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	AENJA_26671, AENJA_26677
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	AENJA_21813, AENJA_16651
OG0000016	APOSJ_31207	AENJA_02781
OG0000017	APOSJ_28721, APOSJ_28719	AENJA_08416, AENJA_23360
OG0000017	APOSJ_52652, APOSJ_52651	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055	AENJA_00442
OG0000017	APOSJ_26995	AENJA_22962
OG0000017	APOSJ_52034, APOSJ_55397	AENJA_14928, AENJA_06318
OG0000017	APOSJ_23379	AENJA_25220, AENJA_22019, AENJA_14578, AENJA_25217
OG0000017	APOSJ_28720	AENJA_13357
OG0000017	APOSJ_26588	AENJA_11406
OG0000017	APOSJ_61685	AENJA_04888, AENJA_03290
OG0000017	APOSJ_22123	AENJA_17676
OG0000017	APOSJ_22488	AENJA_13476, AENJA_24074
OG0000017	APOSJ_52476, APOSJ_39857, APOSJ_39853, APOSJ_39852	AENJA_10043
OG0000017	APOSJ_06985	AENJA_26572, AENJA_20803
OG0000018	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743, APOSJ_53955	AENJA_24490, AENJA_10833
OG0000018	APOSJ_52496, APOSJ_17991, APOSJ_41809, APOSJ_54134, APOSJ_00380, APOSJ_47794	AENJA_00794, AENJA_03347
OG0000018	APOSJ_55745, APOSJ_55748, APOSJ_55746	AENJA_20865
OG0000018	APOSJ_27177	AENJA_07360
OG0000018	APOSJ_04276, APOSJ_51121, APOSJ_05958	AENJA_25137
OG0000018	APOSJ_64894	AENJA_01235
OG0000018	APOSJ_63505, APOSJ_19513, APOSJ_19515	AENJA_19981
OG0000019	APOSJ_25021	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	APOSJ_63124	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272
OG0000019	APOSJ_50969	AENJA_02273
OG0000019	APOSJ_49365	AENJA_24818
OG0000020	APOSJ_38031	AENJA_06180, AENJA_02090
OG0000020	APOSJ_03215	AENJA_21688, AENJA_05309
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	AENJA_15791
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	AENJA_12903
OG0000020	APOSJ_17336, APOSJ_17335	AENJA_16747
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	AENJA_15954
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	AENJA_16929
OG0000020	APOSJ_51246, APOSJ_35639	AENJA_04727
OG0000020	APOSJ_08125, APOSJ_51104	AENJA_10912
OG0000020	APOSJ_16758	AENJA_11444
OG0000020	APOSJ_38030, APOSJ_38032	AENJA_07947
OG0000020	APOSJ_64610, APOSJ_31490	AENJA_14659
OG0000020	APOSJ_45120	AENJA_12495
