Orthogroup	YEAST	DANRE
OG0000095	YEAST02993	DANRE25494, DANRE25495, DANRE25572, DANRE25573, DANRE24186, DANRE24187, DANRE16081, DANRE16080, DANRE23856, DANRE23855, DANRE15358
OG0000096	YEAST02643	DANRE06854, DANRE41409, DANRE15329, DANRE13475, DANRE40526, DANRE02165, DANRE31394, DANRE31393, DANRE02166
OG0000096	YEAST00638	DANRE36045, DANRE24893
OG0000096	YEAST05104, YEAST05564	DANRE14485, DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947, DANRE38250, DANRE38251, DANRE29625, DANRE29623, DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000103	YEAST02873	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772, DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633
OG0000107	YEAST05173	DANRE26084, DANRE37410, DANRE26080, DANRE26050, DANRE26065, DANRE37418, DANRE37427, DANRE34019, DANRE26161, DANRE26172, DANRE37401, DANRE37431, DANRE26155, DANRE37446, DANRE26150, DANRE26167, DANRE37414, DANRE26094, DANRE26157, DANRE26076, DANRE26097, DANRE37435, DANRE26164, DANRE26090, DANRE26059
OG0000113	YEAST00378, YEAST01351, YEAST05581	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221, DANRE12503, DANRE12504, DANRE12502
OG0000116	YEAST04456	DANRE41906, DANRE10733, DANRE41907, DANRE41905
OG0000122	YEAST04928	DANRE03356, DANRE03355, DANRE29132, DANRE27353, DANRE24610, DANRE24611, DANRE42733, DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813, DANRE27354
OG0000124	YEAST05021	DANRE20113, DANRE34367, DANRE06378
OG0000124	YEAST04122	DANRE09986, DANRE02785, DANRE02786, DANRE22696
OG0000127	YEAST06208	DANRE16565, DANRE41950, DANRE06928, DANRE22187, DANRE38204, DANRE33886, DANRE33885, DANRE36236, DANRE26932, DANRE35612, DANRE42858, DANRE08971, DANRE14620, DANRE14621, DANRE18120, DANRE11692, DANRE02339, DANRE17738, DANRE22515, DANRE39205, DANRE39206, DANRE03080, DANRE30572, DANRE28534, DANRE30574, DANRE30575, DANRE03095, DANRE03096
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	DANRE26420, DANRE24430, DANRE24431
OG0000132	YEAST06016	DANRE40562, DANRE34020, DANRE26062, DANRE26082, DANRE26074, DANRE26055, DANRE37452, DANRE37445, DANRE37403, DANRE37459, DANRE37460, DANRE37429, DANRE37412, DANRE26100, DANRE26165, DANRE26175, DANRE26158, DANRE26093, DANRE37468, DANRE39504, DANRE39494, DANRE24745
OG0000137	YEAST01851, YEAST00637	DANRE09204, DANRE17609, DANRE06165, DANRE17940, DANRE17941, DANRE04021, DANRE04020, DANRE17727, DANRE10757
OG0000142	YEAST02122	DANRE23829, DANRE34265, DANRE41247, DANRE06190, DANRE30133, DANRE16974, DANRE09223, DANRE26306, DANRE36874
OG0000158	YEAST05568	DANRE21825, DANRE21824, DANRE16888, DANRE16887, DANRE16889, DANRE26497, DANRE36463, DANRE36462, DANRE26500, DANRE36458, DANRE36459, DANRE36460, DANRE35370, DANRE35127, DANRE21819, DANRE26498, DANRE14587, DANRE21820, DANRE26496, DANRE22512, DANRE22513, DANRE05145, DANRE05146, DANRE27251, DANRE27253, DANRE27252, DANRE37819, DANRE20159
OG0000160	YEAST04194	DANRE01423, DANRE40842, DANRE40841, DANRE17109, DANRE17108, DANRE17125, DANRE17126, DANRE17103, DANRE17119, DANRE17131, DANRE17130, DANRE17129, DANRE01424, DANRE40843, DANRE40844
OG0000175	YEAST00850, YEAST04327	DANRE36803, DANRE24071, DANRE24070, DANRE27218, DANRE18466, DANRE26656, DANRE39199, DANRE39200, DANRE22919, DANRE02514
OG0000179	YEAST01123, YEAST04430	DANRE04367, DANRE04366, DANRE04365, DANRE04368, DANRE05383, DANRE05381, DANRE05382, DANRE01574, DANRE40987
OG0000179	YEAST02911, YEAST01281	DANRE43121, DANRE25146, DANRE25145
OG0000179	YEAST04108, YEAST03346	DANRE07330
OG0000181	YEAST00824, YEAST00771	DANRE02882, DANRE35615, DANRE23131, DANRE23130, DANRE26358, DANRE29929, DANRE24701, DANRE02884, DANRE02883, DANRE12403, DANRE12404, DANRE12405, DANRE16584, DANRE26492, DANRE18962, DANRE11917, DANRE02877, DANRE02881, DANRE02880, DANRE02879, DANRE02878, DANRE29930, DANRE29928, DANRE24702
OG0000186	YEAST00336	DANRE07778, DANRE04661, DANRE11446, DANRE03763, DANRE17698, DANRE19961
OG0000194	YEAST01410	DANRE07507, DANRE27093, DANRE24470, DANRE24471, DANRE02515
OG0000195	YEAST03414	DANRE26547, DANRE26546, DANRE23862, DANRE23863, DANRE32969, DANRE26548, DANRE38212, DANRE38213, DANRE38214, DANRE33889, DANRE28018
OG0000211	YEAST04964	DANRE07428, DANRE04462, DANRE04461, DANRE19375, DANRE19374, DANRE37550, DANRE37552, DANRE34919, DANRE34918, DANRE40802, DANRE37551, DANRE40803, DANRE25257, DANRE37648
OG0000221	YEAST05872	DANRE21380, DANRE21379, DANRE42561, DANRE24216, DANRE24218, DANRE24215, DANRE26894, DANRE26896, DANRE26895, DANRE24217, DANRE29970, DANRE29969, DANRE03479, DANRE13103, DANRE13104, DANRE41056, DANRE02442, DANRE02443, DANRE42362, DANRE10521, DANRE29024, DANRE29025
OG0000222	YEAST01460	DANRE08892, DANRE02501, DANRE02503, DANRE02502, DANRE02504, DANRE22242, DANRE22243, DANRE22240, DANRE22239, DANRE22241
OG0000225	YEAST06146	DANRE31381, DANRE31382, DANRE31383, DANRE31384, DANRE31380, DANRE31379, DANRE31378, DANRE31377, DANRE22490, DANRE36644, DANRE36645, DANRE40476, DANRE31226, DANRE40474, DANRE40473, DANRE23156, DANRE19629, DANRE19630, DANRE06683
OG0000227	YEAST05815	DANRE14112, DANRE42122, DANRE29014, DANRE29012, DANRE23772, DANRE29013, DANRE27679, DANRE38311, DANRE07212, DANRE29562, DANRE29563, DANRE29564, DANRE35864, DANRE35865, DANRE41502, DANRE41503, DANRE38834, DANRE38835, DANRE17989, DANRE17987, DANRE17988, DANRE26274, DANRE26273, DANRE23312, DANRE23311
OG0000228	YEAST04750	DANRE06598, DANRE00776, DANRE00778, DANRE00777, DANRE00779, DANRE08336, DANRE08337, DANRE08338, DANRE06599, DANRE16467, DANRE16468, DANRE06597, DANRE06596, DANRE06500, DANRE16434
OG0000233	YEAST03726, YEAST03241, YEAST03242	DANRE09844, DANRE06154, DANRE34266
OG0000238	YEAST06340, YEAST03834	DANRE29169, DANRE03666, DANRE29074, DANRE03667, DANRE26344, DANRE26345, DANRE23102, DANRE22472, DANRE17708, DANRE22473
OG0000240	YEAST03827	DANRE40602, DANRE40603, DANRE19496, DANRE33483
OG0000242	YEAST00734	DANRE30582, DANRE33050, DANRE33048, DANRE33049, DANRE25759, DANRE25758, DANRE23939, DANRE23935, DANRE23934, DANRE23940, DANRE39800, DANRE30613, DANRE23069, DANRE14239
OG0000246	YEAST01746, YEAST01747	DANRE29491, DANRE35156
OG0000250	YEAST04716	DANRE12907, DANRE12906, DANRE30458, DANRE00270, DANRE00269, DANRE31328, DANRE31327, DANRE31326
OG0000255	YEAST02822	DANRE20502, DANRE38523, DANRE38521, DANRE38522, DANRE38524
OG0000256	YEAST00266	DANRE00399, DANRE00398, DANRE30242, DANRE17145, DANRE17146, DANRE00533, DANRE00532, DANRE12153, DANRE25972, DANRE25973, DANRE25974, DANRE12154
OG0000258	YEAST00118	DANRE09334, DANRE09335, DANRE30358, DANRE30357, DANRE36030, DANRE15459, DANRE30359, DANRE29836, DANRE15460, DANRE02230, DANRE36624, DANRE31543, DANRE31544, DANRE17770, DANRE05460, DANRE04652, DANRE03782
OG0000260	YEAST04323	DANRE22093, DANRE25713, DANRE25714, DANRE30881, DANRE30885, DANRE30884, DANRE30882, DANRE30883, DANRE22095, DANRE22094, DANRE39700, DANRE39699, DANRE04207, DANRE04206, DANRE06073
OG0000265	YEAST05674	DANRE25675
OG0000265	YEAST03885, YEAST03714	DANRE41183, DANRE25673, DANRE25672, DANRE25671
OG0000272	YEAST02076, YEAST01066	DANRE08227, DANRE39436, DANRE08226, DANRE09698, DANRE14147, DANRE11626, DANRE18102, DANRE36914, DANRE36915, DANRE40982, DANRE40983, DANRE33320, DANRE07883, DANRE00548
OG0000278	YEAST03847	DANRE34623, DANRE34630, DANRE34631, DANRE01538
OG0000278	YEAST03806	DANRE28332
OG0000278	YEAST04060	DANRE35562
OG0000278	YEAST01107	DANRE38067, DANRE27771
OG0000284	YEAST05621	DANRE40041, DANRE40043, DANRE40042, DANRE40040, DANRE26654, DANRE26655, DANRE43399, DANRE43400, DANRE43140, DANRE43141, DANRE35642, DANRE35643, DANRE16784, DANRE16785, DANRE06207, DANRE06206
OG0000289	YEAST00645	DANRE23961, DANRE04508, DANRE04509, DANRE04510, DANRE02091, DANRE02092, DANRE02093, DANRE02094, DANRE02090, DANRE26804, DANRE26805, DANRE40016, DANRE43308, DANRE43309, DANRE27163, DANRE40066, DANRE40068, DANRE40067, DANRE09075, DANRE23535
OG0000305	YEAST04899	DANRE31139, DANRE27704, DANRE27705, DANRE09757, DANRE09755, DANRE09756, DANRE15092, DANRE10598, DANRE10597, DANRE41676, DANRE35836, DANRE35835, DANRE27357, DANRE27356, DANRE01697
OG0000308	YEAST02548	DANRE09139, DANRE35889, DANRE08377, DANRE08378, DANRE34374, DANRE34375, DANRE11893, DANRE14822, DANRE24047
OG0000310	YEAST02635	DANRE42431, DANRE00597, DANRE00598
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	DANRE38380, DANRE38381, DANRE34907, DANRE34908, DANRE34906, DANRE34905, DANRE35322, DANRE38016, DANRE38017, DANRE07302, DANRE01094, DANRE01093
OG0000313	YEAST05106	DANRE16304, DANRE41630, DANRE41631, DANRE20918, DANRE27620, DANRE14004
OG0000316	YEAST01673	DANRE04966, DANRE04970, DANRE15793, DANRE04968, DANRE04967, DANRE04969, DANRE15792, DANRE21548, DANRE37601
OG0000317	YEAST01356	DANRE40662, DANRE34237, DANRE34236, DANRE10805, DANRE18339, DANRE14654, DANRE18157, DANRE14722, DANRE09214, DANRE14150, DANRE18158
OG0000321	YEAST03264	DANRE40064, DANRE40063, DANRE27127, DANRE28812, DANRE28813, DANRE21948, DANRE27073, DANRE06909, DANRE16086, DANRE16087, DANRE42326, DANRE23859, DANRE06908, DANRE42325, DANRE23860, DANRE23861
OG0000323	YEAST02249	DANRE38114, DANRE06061, DANRE09638, DANRE09637, DANRE09636, DANRE09635, DANRE23843, DANRE23842, DANRE21375, DANRE21376, DANRE21377, DANRE42716
OG0000326	YEAST06268, YEAST05286	DANRE02837, DANRE22886, DANRE22885, DANRE22887, DANRE27986, DANRE27987, DANRE13111, DANRE13112, DANRE35291, DANRE35290, DANRE35289, DANRE02836
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	DANRE02839
OG0000327	YEAST01354	DANRE02331, DANRE02332, DANRE22734, DANRE22735, DANRE22733, DANRE22732, DANRE02335, DANRE02334, DANRE02330, DANRE02333, DANRE22736
OG0000334	YEAST05626	DANRE28592, DANRE28625, DANRE28599, DANRE28582, DANRE28583, DANRE28764, DANRE28479, DANRE28598, DANRE28659, DANRE22065, DANRE22064, DANRE23627, DANRE29289, DANRE13927, DANRE13928, DANRE13929, DANRE13930, DANRE37971, DANRE37972
OG0000338	YEAST02967	DANRE20312, DANRE07418, DANRE01510, DANRE01511, DANRE01512, DANRE39673, DANRE39672, DANRE39674, DANRE39675, DANRE26933, DANRE26935, DANRE26934
OG0000338	YEAST04211	DANRE25350, DANRE10476, DANRE25349, DANRE25347, DANRE25348, DANRE10472, DANRE10473, DANRE10474
OG0000343	YEAST03024, YEAST02736	DANRE30806, DANRE30807, DANRE30808, DANRE10048, DANRE10049, DANRE10047, DANRE38028, DANRE38032, DANRE38029, DANRE38030, DANRE08041, DANRE08040, DANRE08038, DANRE08039, DANRE00942, DANRE00939, DANRE00938
OG0000345	YEAST01884	DANRE41177, DANRE20579, DANRE15725, DANRE06044, DANRE03976, DANRE03977
OG0000352	YEAST04069	DANRE00052, DANRE00051, DANRE00054, DANRE00053, DANRE40150, DANRE29098, DANRE29099, DANRE16846, DANRE16847, DANRE18553, DANRE18552, DANRE12565
OG0000357	YEAST01925	DANRE16485, DANRE06581, DANRE16487, DANRE16488, DANRE16486, DANRE01432, DANRE01431, DANRE40852, DANRE40853, DANRE01433, DANRE31492, DANRE31491, DANRE25521, DANRE25522, DANRE25519, DANRE31493, DANRE02489, DANRE02488, DANRE23129, DANRE25520
OG0000359	YEAST02489	DANRE12179, DANRE30427, DANRE17317, DANRE17318, DANRE17316, DANRE41910, DANRE29664, DANRE29663, DANRE06415, DANRE06416, DANRE06413, DANRE06414
OG0000363	YEAST04081, YEAST05870	DANRE05157, DANRE05158, DANRE10491, DANRE34034, DANRE03815, DANRE13868
OG0000365	YEAST05831	DANRE07429, DANRE34414, DANRE34415, DANRE35273, DANRE24290, DANRE27060, DANRE24567, DANRE26709, DANRE26710, DANRE16764, DANRE28891
OG0000367	YEAST02141, YEAST03746, YEAST03210	DANRE36654, DANRE31524, DANRE01785, DANRE01784, DANRE39737, DANRE39738, DANRE02416, DANRE22496, DANRE26403, DANRE26402, DANRE26404, DANRE26405, DANRE18908, DANRE18907
OG0000372	YEAST05988	DANRE15253, DANRE02748, DANRE06645, DANRE06644, DANRE22505, DANRE22504, DANRE11712, DANRE18764, DANRE15256
OG0000373	YEAST02023	DANRE42982, DANRE29521, DANRE03427, DANRE03426, DANRE11420, DANRE39515, DANRE39514
OG0000380	YEAST01047	DANRE34775
OG0000385	YEAST03496	DANRE42775, DANRE42776, DANRE02100, DANRE02102, DANRE02101, DANRE09865, DANRE09508
OG0000393	YEAST04072, YEAST04071	DANRE33584, DANRE33585, DANRE41173, DANRE41172
OG0000393	YEAST01302	DANRE04252
OG0000397	YEAST05080	DANRE04704, DANRE04745, DANRE16352, DANRE16353, DANRE39264, DANRE11248, DANRE03405, DANRE34013, DANRE34014, DANRE04699, DANRE04698, DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720, DANRE04744, DANRE01077, DANRE01069, DANRE04710, DANRE19128, DANRE19140, DANRE04716, DANRE19137, DANRE19120, DANRE04707, DANRE04713, DANRE04747, DANRE04686, DANRE04689, DANRE04685, DANRE04683, DANRE04734, DANRE04733, DANRE04677, DANRE04736, DANRE04684, DANRE04739, DANRE04691, DANRE04688, DANRE04681, DANRE04682, DANRE04732, DANRE04746, DANRE04695, DANRE04694, DANRE04735, DANRE04678, DANRE04690, DANRE04708, DANRE04743, DANRE04711, DANRE04717, DANRE04692, DANRE04738, DANRE04714, DANRE01076, DANRE19142, DANRE19144, DANRE04740, DANRE04719
OG0000399	YEAST02160	DANRE18056, DANRE09642, DANRE18763, DANRE26022, DANRE09643, DANRE38314, DANRE28313
OG0000400	YEAST05911	DANRE10040, DANRE17580, DANRE19635, DANRE32946
OG0000402	YEAST01657, YEAST01929	DANRE40447, DANRE30875, DANRE25719, DANRE41229, DANRE19619, DANRE03492, DANRE03493, DANRE11285, DANRE01674, DANRE01673, DANRE22595
OG0000405	YEAST06055, YEAST00411	DANRE09894, DANRE09893, DANRE09890, DANRE09892, DANRE09891, DANRE12864, DANRE12863, DANRE12862, DANRE12866, DANRE12865, DANRE37670, DANRE37669, DANRE37671, DANRE01496, DANRE01497, DANRE01495, DANRE01502, DANRE01500, DANRE01499, DANRE01501, DANRE34777, DANRE34779, DANRE34778, DANRE21580, DANRE21579, DANRE01498
OG0000412	YEAST04469	DANRE05333, DANRE05334, DANRE34255, DANRE34254, DANRE40964, DANRE14291
OG0000413	YEAST04905, YEAST05340	DANRE18923, DANRE10704, DANRE18922, DANRE18980, DANRE08263, DANRE08262
OG0000413	YEAST02838	DANRE27623, DANRE27621, DANRE27622, DANRE20913, DANRE20912, DANRE20914, DANRE12246, DANRE12248, DANRE12247, DANRE12245
OG0000419	YEAST05989	DANRE12601, DANRE12599, DANRE12600, DANRE29308, DANRE40765, DANRE43228, DANRE43227
OG0000420	YEAST03886	DANRE00840, DANRE00841, DANRE08543, DANRE08545, DANRE08542, DANRE08546, DANRE08544, DANRE06728
OG0000424	YEAST03563	DANRE03532
OG0000426	YEAST03440	DANRE07061, DANRE07060, DANRE20172
OG0000426	YEAST01121	DANRE07062
OG0000427	YEAST02655, YEAST02439	DANRE12612, DANRE12613, DANRE12611, DANRE39319, DANRE39318, DANRE22930, DANRE22931, DANRE22929, DANRE02497, DANRE02496, DANRE43089, DANRE26773, DANRE26772
OG0000429	YEAST02285	DANRE36001, DANRE36002
