Orthogroup	YEAST	AENJA_ok
OG0000265	YEAST03885, YEAST03714	AENJA_02918
OG0000272	YEAST02076, YEAST01066	AENJA_04696, AENJA_04697, AENJA_25855, AENJA_06572, AENJA_24245, AENJA_24884, AENJA_06955
OG0000274	YEAST02118, YEAST04573, YEAST01485	AENJA_08883, AENJA_19422, AENJA_13452, AENJA_15148, AENJA_15151, AENJA_06609, AENJA_16582, AENJA_02680, AENJA_09511, AENJA_09513, AENJA_09516, AENJA_20225
OG0000278	YEAST03847	AENJA_24084
OG0000278	YEAST04060	AENJA_12104
OG0000284	YEAST05621	AENJA_03153, AENJA_16460, AENJA_16457, AENJA_23940, AENJA_23553, AENJA_12800, AENJA_09635, AENJA_14116, AENJA_03847, AENJA_00883, AENJA_14484, AENJA_03142, AENJA_20326
OG0000289	YEAST00645	AENJA_13824, AENJA_25023, AENJA_15869, AENJA_15870
OG0000305	YEAST04899	AENJA_01524, AENJA_20012, AENJA_20013, AENJA_23458
OG0000308	YEAST02548	AENJA_23339, AENJA_15829, AENJA_04225, AENJA_18481
OG0000310	YEAST02635	AENJA_12510, AENJA_19334, AENJA_10979, AENJA_16718, AENJA_13920, AENJA_20912, AENJA_20756
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	AENJA_11345, AENJA_19966, AENJA_05337
OG0000313	YEAST05106	AENJA_16242, AENJA_16057
OG0000315	YEAST04684	AENJA_20619
OG0000316	YEAST01673	AENJA_23705, AENJA_08472
OG0000317	YEAST01356	AENJA_15981, AENJA_16154, AENJA_18053
OG0000321	YEAST03264	AENJA_07424, AENJA_02624, AENJA_23362, AENJA_07423
OG0000323	YEAST02249	AENJA_15690, AENJA_22664, AENJA_20126
OG0000326	YEAST06268, YEAST05286	AENJA_25612, AENJA_08013
OG0000326	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	AENJA_25861
OG0000327	YEAST01354	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486, AENJA_12542
OG0000334	YEAST05626	AENJA_18674, AENJA_08078, AENJA_20172, AENJA_19540, AENJA_16534, AENJA_18675, AENJA_11653, AENJA_06892, AENJA_10669, AENJA_22797, AENJA_22796, AENJA_24850, AENJA_10667, AENJA_10668
OG0000338	YEAST02967	AENJA_13192
OG0000338	YEAST04211	AENJA_22299
OG0000343	YEAST03024, YEAST02736	AENJA_04274
OG0000345	YEAST01884	AENJA_12976, AENJA_23748
OG0000352	YEAST04069	AENJA_13697, AENJA_04782, AENJA_25500, AENJA_11315
OG0000357	YEAST01925	AENJA_16412, AENJA_04794
OG0000359	YEAST02489	AENJA_14005, AENJA_07464, AENJA_09269
OG0000363	YEAST04081, YEAST05870	AENJA_12906, AENJA_18208, AENJA_26154, AENJA_03399
OG0000365	YEAST05831	AENJA_22716, AENJA_08243, AENJA_08242
OG0000367	YEAST02141, YEAST03746, YEAST03210	AENJA_21570, AENJA_21567, AENJA_15749
OG0000372	YEAST05988	AENJA_14610, AENJA_10537, AENJA_22918, AENJA_10254
OG0000373	YEAST02023	AENJA_10744, AENJA_18516
OG0000373	YEAST04495, YEAST01417, YEAST05964	AENJA_11897
OG0000380	YEAST01047	AENJA_15073, AENJA_11238, AENJA_23591, AENJA_06533, AENJA_00574, AENJA_17802, AENJA_15072, AENJA_07033, AENJA_02537, AENJA_08753, AENJA_20573, AENJA_13328, AENJA_08875, AENJA_15737
OG0000385	YEAST03496	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346
OG0000393	YEAST04072, YEAST04071	AENJA_20824
OG0000393	YEAST01302	AENJA_11660
OG0000397	YEAST05080	AENJA_26085
OG0000399	YEAST02160	AENJA_09258, AENJA_25908, AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668, AENJA_14143
OG0000400	YEAST05911	AENJA_05665
OG0000402	YEAST01657, YEAST01929	AENJA_01108, AENJA_20115
OG0000405	YEAST06055, YEAST00411	AENJA_21234
OG0000412	YEAST04469	AENJA_26231, AENJA_11362
OG0000413	YEAST04905, YEAST05340	AENJA_18235
OG0000413	YEAST02838	AENJA_12102
OG0000419	YEAST05989	AENJA_02942, AENJA_25245, AENJA_25372, AENJA_25244
OG0000420	YEAST03886	AENJA_05214, AENJA_14372, AENJA_14000, AENJA_14371, AENJA_25418, AENJA_12757, AENJA_24304
OG0000424	YEAST03563	AENJA_15205, AENJA_15202, AENJA_26752
OG0000426	YEAST03440	AENJA_16516
OG0000426	YEAST03848, YEAST01121	AENJA_15653
OG0000427	YEAST02655, YEAST02439	AENJA_16219, AENJA_26175
OG0000429	YEAST02285	AENJA_21410, AENJA_01381
OG0000431	YEAST04014	AENJA_03019, AENJA_19097, AENJA_17426
OG0000433	YEAST06177, YEAST00117	AENJA_24860, AENJA_10323
OG0000437	YEAST03074, YEAST02073	AENJA_24488, AENJA_24489
OG0000442	YEAST05012	AENJA_21364, AENJA_20819, AENJA_08940
OG0000444	YEAST01115, YEAST04019	AENJA_22469
OG0000445	YEAST03068	AENJA_02867, AENJA_01957, AENJA_03366, AENJA_08087, AENJA_03365
OG0000450	YEAST04709, YEAST05909	AENJA_18743, AENJA_10311
OG0000461	YEAST00120	AENJA_10288
OG0000467	YEAST03162	AENJA_24285
OG0000468	YEAST04372	AENJA_06943, AENJA_02883, AENJA_02878, AENJA_08672, AENJA_12636
OG0000469	YEAST02179, YEAST05440	AENJA_19006
OG0000469	YEAST02333, YEAST00863	AENJA_05512
OG0000474	YEAST02384	AENJA_20251, AENJA_17737
OG0000476	YEAST03038	AENJA_25489, AENJA_12956, AENJA_25847, AENJA_03795, AENJA_24295, AENJA_10203, AENJA_21455, AENJA_20022, AENJA_00742
OG0000479	YEAST04139	AENJA_09587, AENJA_09588, AENJA_20878
OG0000480	YEAST05750	AENJA_10027, AENJA_23584, AENJA_25610, AENJA_14480, AENJA_23244
OG0000481	YEAST01040	AENJA_16592
OG0000481	YEAST00916	AENJA_22951
OG0000481	YEAST00827, YEAST00774	AENJA_11417
OG0000484	YEAST05824	AENJA_00628
OG0000486	YEAST03122, YEAST04270	AENJA_24911, AENJA_01412, AENJA_01364, AENJA_22874
OG0000487	YEAST04968	AENJA_25094, AENJA_24881, AENJA_24880
OG0000487	YEAST02728	AENJA_02732
OG0000488	YEAST01414	AENJA_10931
OG0000490	YEAST04297, YEAST00894	AENJA_13962
OG0000505	YEAST03067	AENJA_11465
OG0000508	YEAST04626	AENJA_05447, AENJA_18700, AENJA_18701
OG0000510	YEAST04569, YEAST05730	AENJA_13229, AENJA_13230
OG0000519	YEAST04594, YEAST03616	AENJA_13197, AENJA_00264
OG0000520	YEAST02979	AENJA_19532, AENJA_00693
OG0000523	YEAST01952, YEAST05838, YEAST06082	AENJA_23211, AENJA_01429
OG0000529	YEAST05790, YEAST00048	AENJA_13079
OG0000534	YEAST04932	AENJA_07190
OG0000538	YEAST00499	AENJA_23758
OG0000549	YEAST06280, YEAST02610, YEAST05060	AENJA_17344, AENJA_17342, AENJA_17318, AENJA_21943
OG0000552	YEAST05717	AENJA_18702, AENJA_23603
OG0000561	YEAST06202, YEAST00331	AENJA_01455, AENJA_18412
OG0000562	YEAST00314	AENJA_21496, AENJA_25856, AENJA_02716
OG0000563	YEAST01406	AENJA_25022, AENJA_03438
OG0000566	YEAST05789, YEAST00049	AENJA_14810, AENJA_20531, AENJA_16653
OG0000573	YEAST05675	AENJA_05835, AENJA_03220
OG0000576	YEAST00470, YEAST00193	AENJA_05569
OG0000578	YEAST01208, YEAST00759	AENJA_09428
