Orthogroup	YEAST	MOUSE
OG0000058	YEAST02989	MOUSE47313, MOUSE47308, MOUSE29478, MOUSE35031, MOUSE53977, MOUSE17481, MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254
OG0000058	YEAST02120	MOUSE10546, MOUSE40446, MOUSE40445, MOUSE06405, MOUSE16601, MOUSE38610, MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899, MOUSE06401, MOUSE38608, MOUSE38609, MOUSE40444
OG0000069	YEAST03661	MOUSE30824
OG0000069	YEAST05172	MOUSE24595, MOUSE06171, MOUSE24596
OG0000079	YEAST05330	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603, MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419, MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479, MOUSE05042, MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929
OG0000082	YEAST03287	MOUSE25920
OG0000082	YEAST04267, YEAST01834, YEAST03359	MOUSE19184
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878
OG0000082	YEAST04992, YEAST00735	MOUSE50879
OG0000095	YEAST02993	MOUSE21579, MOUSE39287, MOUSE39286, MOUSE39288, MOUSE39290, MOUSE39289, MOUSE39291, MOUSE21580, MOUSE12896, MOUSE29409, MOUSE29410
OG0000096	YEAST02643	MOUSE54033, MOUSE13094, MOUSE29900, MOUSE31085, MOUSE31087, MOUSE02247, MOUSE31086, MOUSE31088
OG0000096	YEAST00638	MOUSE47009, MOUSE14640, MOUSE35516
OG0000096	YEAST05104, YEAST05564	MOUSE19103, MOUSE30286, MOUSE30282, MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996, MOUSE45925, MOUSE45926, MOUSE44088, MOUSE52337, MOUSE52338
