Orthogroup	YEAST	MOUSE
OG0001024	YEAST01024, YEAST00308	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810
OG0001033	YEAST01594	MOUSE40432
OG0001033	YEAST02124	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529
OG0001048	YEAST06029	MOUSE11456
OG0001066	YEAST06311	MOUSE40015, MOUSE31058, MOUSE31059, MOUSE52782, MOUSE52781, MOUSE31057, MOUSE06657
OG0001075	YEAST05636	MOUSE09043, MOUSE06818, MOUSE06819, MOUSE06820, MOUSE06821
OG0001076	YEAST01570	MOUSE38868, MOUSE38867, MOUSE38869, MOUSE36455, MOUSE38870, MOUSE38871, MOUSE38872, MOUSE36450, MOUSE36452, MOUSE36451, MOUSE36453, MOUSE36454, MOUSE36456
OG0001081	YEAST04460	MOUSE44218, MOUSE44217
OG0001082	YEAST03919, YEAST02905, YEAST05331	MOUSE14728, MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726
OG0001094	YEAST03837	MOUSE28049, MOUSE07073, MOUSE20159, MOUSE20160, MOUSE07072
OG0001095	YEAST00773	MOUSE02421, MOUSE02420, MOUSE23369, MOUSE23364, MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412, MOUSE02418, MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366, MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110, MOUSE23368
OG0001101	YEAST03434	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243
OG0001101	YEAST04701	MOUSE55171
OG0001108	YEAST06309	MOUSE14807, MOUSE38129, MOUSE38128
OG0001111	YEAST06003	MOUSE12418, MOUSE12417, MOUSE12423, MOUSE12422, MOUSE12421, MOUSE12419, MOUSE12420, MOUSE34062, MOUSE48399, MOUSE15293, MOUSE15294
OG0001113	YEAST05320	MOUSE14213
OG0001113	YEAST00954	MOUSE06432
OG0001114	YEAST00036, YEAST05811	MOUSE51574, MOUSE51573, MOUSE30316, MOUSE30317, MOUSE51577, MOUSE51576, MOUSE51579, MOUSE51580, MOUSE51575, MOUSE51581, MOUSE30318
OG0001124	YEAST02719	MOUSE06528, MOUSE06527, MOUSE06526, MOUSE53543, MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535, MOUSE53523, MOUSE53527, MOUSE53528, MOUSE53534, MOUSE53522, MOUSE53544, MOUSE53545, MOUSE53546
OG0001132	YEAST05421	MOUSE20734, MOUSE20732, MOUSE20733
OG0001133	YEAST04296	MOUSE17666, MOUSE17665
OG0001133	YEAST03271	MOUSE10581
OG0001134	YEAST05015	MOUSE45585, MOUSE45586, MOUSE45589, MOUSE45473, MOUSE45481, MOUSE45482, MOUSE45588, MOUSE45587, MOUSE06312, MOUSE06311, MOUSE38657
OG0001135	YEAST03641	MOUSE05096, MOUSE05095, MOUSE05097, MOUSE05098, MOUSE05099, MOUSE17160, MOUSE17018
OG0001136	YEAST05047, YEAST02997	MOUSE01519, MOUSE01518, MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762
OG0001140	YEAST03519	MOUSE13457, MOUSE34019, MOUSE06768, MOUSE06770, MOUSE34122
OG0001142	YEAST04001	MOUSE20269, MOUSE20265, MOUSE20263, MOUSE20266, MOUSE20264
OG0001163	YEAST02433	MOUSE21150, MOUSE21152, MOUSE21149, MOUSE21151
OG0001164	YEAST03454	MOUSE35809, MOUSE35808, MOUSE35802, MOUSE35803, MOUSE35806, MOUSE35805, MOUSE35815, MOUSE35813, MOUSE35814, MOUSE35807, MOUSE35811, MOUSE35812
OG0001171	YEAST04620, YEAST03578	MOUSE21547, MOUSE21549, MOUSE21548, MOUSE00273, MOUSE00265, MOUSE00271, MOUSE00268, MOUSE00270, MOUSE00272, MOUSE28610, MOUSE28611, MOUSE21550
OG0001175	YEAST00534	MOUSE27823, MOUSE47769, MOUSE47768, MOUSE27822
OG0001177	YEAST06137	MOUSE18974, MOUSE02843
OG0001179	YEAST00368, YEAST04831, YEAST02287	MOUSE28734, MOUSE28732, MOUSE28733, MOUSE28729, MOUSE28730
OG0001181	YEAST02051	MOUSE25135, MOUSE25133, MOUSE25132, MOUSE25129, MOUSE25130, MOUSE25131, MOUSE05285, MOUSE05284, MOUSE05286, MOUSE05283
OG0001184	YEAST01681	MOUSE17556, MOUSE17557, MOUSE26991, MOUSE26992, MOUSE26989, MOUSE26990
OG0001185	YEAST04969	MOUSE34188, MOUSE34187, MOUSE34189, MOUSE34190, MOUSE34186, MOUSE00151, MOUSE00154, MOUSE00152, MOUSE00153
OG0001186	YEAST04605, YEAST01886	MOUSE19689, MOUSE49888, MOUSE49887, MOUSE49824, MOUSE49829, MOUSE49825, MOUSE49826, MOUSE49828
OG0001191	YEAST04707	MOUSE12783, MOUSE12784, MOUSE00924, MOUSE00927, MOUSE19181
OG0001197	YEAST01499	MOUSE20318, MOUSE39856, MOUSE39857, MOUSE39858, MOUSE26526, MOUSE26525
OG0001201	YEAST05452	MOUSE28584, MOUSE13815
OG0001204	YEAST05200	MOUSE37474, MOUSE05028, MOUSE05027, MOUSE37475, MOUSE37473, MOUSE05024, MOUSE05026, MOUSE05025
OG0001207	YEAST04258	MOUSE23357, MOUSE23358, MOUSE05847, MOUSE19129
OG0001210	YEAST05511	MOUSE28107
OG0001210	YEAST02318	MOUSE52269, MOUSE52270, MOUSE52268, MOUSE52267
OG0001212	YEAST03971	MOUSE29621, MOUSE29618, MOUSE29620, MOUSE29619, MOUSE29623, MOUSE29624, MOUSE29625, MOUSE29622
OG0001214	YEAST00577	MOUSE25114, MOUSE02294, MOUSE02293
OG0001216	YEAST00145	MOUSE04150, MOUSE41652, MOUSE04149, MOUSE49613
OG0001219	YEAST03867	MOUSE03413, MOUSE22192, MOUSE22191, MOUSE03411, MOUSE30324, MOUSE30320, MOUSE30322, MOUSE51467, MOUSE51466, MOUSE51465
OG0001236	YEAST03325, YEAST02687, YEAST03269	MOUSE43548, MOUSE43547, MOUSE41478, MOUSE10880, MOUSE48699, MOUSE41477, MOUSE41479, MOUSE32862, MOUSE55034, MOUSE03175
OG0001237	YEAST04380	MOUSE44675, MOUSE30819, MOUSE10307, MOUSE10308
OG0001238	YEAST04481	MOUSE09449, MOUSE53338, MOUSE53337, MOUSE53334, MOUSE53336, MOUSE53335, MOUSE05724, MOUSE14724
OG0001241	YEAST02002	MOUSE28271
OG0001241	YEAST03967, YEAST01074	MOUSE13111, MOUSE13112, MOUSE13113, MOUSE54117
OG0001243	YEAST00739, YEAST05004	MOUSE48006, MOUSE48010, MOUSE48011, MOUSE48005, MOUSE48012, MOUSE51749, MOUSE51750, MOUSE51747, MOUSE51748
OG0001249	YEAST01062, YEAST02067	MOUSE50138, MOUSE50139, MOUSE18428, MOUSE32916, MOUSE32917, MOUSE33692, MOUSE33693, MOUSE18429, MOUSE18431, MOUSE18430
OG0001250	YEAST02968, YEAST01339	MOUSE05083, MOUSE05082, MOUSE05080, MOUSE05081, MOUSE05079, MOUSE48689, MOUSE48694, MOUSE48691, MOUSE48693, MOUSE03759, MOUSE03761, MOUSE03762, MOUSE03760, MOUSE03758, MOUSE03757, MOUSE03763, MOUSE03764, MOUSE48692
OG0001251	YEAST00750	MOUSE12321
OG0001251	YEAST01707	MOUSE49810, MOUSE49811, MOUSE12317, MOUSE12318, MOUSE12320, MOUSE12319, MOUSE12322, MOUSE12323, MOUSE12316
OG0001253	YEAST03998	MOUSE14428, MOUSE17305, MOUSE17304, MOUSE14429, MOUSE17299, MOUSE17303, MOUSE17301, MOUSE17300, MOUSE17302
OG0001254	YEAST04309	MOUSE27598, MOUSE27593, MOUSE27595, MOUSE27596, MOUSE23171, MOUSE23169, MOUSE23170, MOUSE27590, MOUSE27591, MOUSE27592
OG0001262	YEAST00911	MOUSE25437, MOUSE17627, MOUSE17628, MOUSE17631, MOUSE17629, MOUSE17630, MOUSE25438
OG0001263	YEAST00172	MOUSE05177, MOUSE47783, MOUSE11081, MOUSE11080, MOUSE05175, MOUSE05174, MOUSE05173, MOUSE05176, MOUSE05172
OG0001268	YEAST03495	MOUSE52730, MOUSE36602, MOUSE36603, MOUSE52733, MOUSE55418, MOUSE53751
OG0001270	YEAST01703	MOUSE16996
OG0001270	YEAST02398	MOUSE15064
OG0001271	YEAST05227, YEAST00662	MOUSE35510, MOUSE35509, MOUSE05864, MOUSE05862, MOUSE05863, MOUSE14691
OG0001278	YEAST01893	MOUSE06444, MOUSE06445, MOUSE06443, MOUSE06442, MOUSE24602, MOUSE13838
OG0001279	YEAST03070	MOUSE43221, MOUSE43228, MOUSE43223, MOUSE43226, MOUSE43225, MOUSE08244, MOUSE08245, MOUSE43227, MOUSE43224, MOUSE43222, MOUSE08243, MOUSE08242, MOUSE24506, MOUSE24507
OG0001280	YEAST00846	MOUSE44896, MOUSE44895, MOUSE44898, MOUSE18406, MOUSE33000, MOUSE33001, MOUSE33002, MOUSE32998, MOUSE32999
OG0001282	YEAST03744	MOUSE04240, MOUSE29444, MOUSE04236, MOUSE04239, MOUSE04238, MOUSE04237, MOUSE29443, MOUSE29440, MOUSE29442, MOUSE29441
OG0001284	YEAST00567, YEAST01498	MOUSE39659, MOUSE27610
OG0001286	YEAST00588, YEAST01486, YEAST03604	MOUSE42250, MOUSE42251, MOUSE47132, MOUSE47129, MOUSE47135, MOUSE47130, MOUSE47131, MOUSE47138, MOUSE47136, MOUSE47140, MOUSE47139, MOUSE42252, MOUSE47141, MOUSE47133, MOUSE47134, MOUSE42248, MOUSE42249
OG0001291	YEAST04453, YEAST04334	MOUSE12798, MOUSE12799, MOUSE31626, MOUSE31627, MOUSE11027, MOUSE11026, MOUSE11025, MOUSE11024
OG0001300	YEAST01098	MOUSE52263, MOUSE12894, MOUSE54438, MOUSE54437, MOUSE54436
OG0001302	YEAST02328	MOUSE33570
OG0001302	YEAST00299	MOUSE32071, MOUSE32070
OG0001310	YEAST00887	MOUSE21998, MOUSE27515, MOUSE27516, MOUSE21999, MOUSE21997, MOUSE21996
OG0001318	YEAST03712	MOUSE42538, MOUSE42537, MOUSE42536, MOUSE16122
OG0001319	YEAST01678	MOUSE38465, MOUSE38467, MOUSE52366, MOUSE52369, MOUSE52371, MOUSE53963, MOUSE53962, MOUSE52368, MOUSE52374, MOUSE52373, MOUSE52367, MOUSE52365, MOUSE38468
OG0001321	YEAST02280, YEAST01901	MOUSE17511, MOUSE30251, MOUSE30250, MOUSE51700, MOUSE51701, MOUSE17510, MOUSE17509, MOUSE17512, MOUSE51705, MOUSE51704
OG0001322	YEAST06128	MOUSE46962, MOUSE46958, MOUSE46961, MOUSE46963, MOUSE46960, MOUSE46959, MOUSE43313, MOUSE43312, MOUSE43314, MOUSE43315
OG0001324	YEAST00078	MOUSE15482, MOUSE15476, MOUSE15481, MOUSE15478, MOUSE15479, MOUSE15477, MOUSE15484, MOUSE15483, MOUSE15480, MOUSE15485
OG0001325	YEAST00793	MOUSE31656, MOUSE31655, MOUSE31660, MOUSE31661, MOUSE31658, MOUSE31659, MOUSE31662, MOUSE31663, MOUSE31664, MOUSE31666
OG0001326	YEAST05395	MOUSE21119, MOUSE21120, MOUSE21838, MOUSE21837, MOUSE21836, MOUSE21270, MOUSE21269
OG0001327	YEAST03176	MOUSE52821, MOUSE41523, MOUSE02265, MOUSE23421, MOUSE23422
OG0001332	YEAST03929, YEAST02705, YEAST00687	MOUSE32701
OG0001333	YEAST00728	MOUSE14060, MOUSE16928
OG0001341	YEAST06006	MOUSE46510, MOUSE46512, MOUSE19790
OG0001345	YEAST03613	MOUSE40648, MOUSE40646, MOUSE40645, MOUSE40650, MOUSE40649, MOUSE40647
OG0001353	YEAST00020, YEAST04041	MOUSE28164, MOUSE28376, MOUSE28374, MOUSE28375
OG0001363	YEAST06180	MOUSE23857, MOUSE23858, MOUSE23859
OG0001364	YEAST06038, YEAST00402	MOUSE22897, MOUSE22899, MOUSE22902, MOUSE22900, MOUSE22901, MOUSE38339, MOUSE38340, MOUSE22895, MOUSE22898, MOUSE22903, MOUSE22894, MOUSE22892, MOUSE22893, MOUSE22896
OG0001367	YEAST04688	MOUSE28593, MOUSE28595, MOUSE28594, MOUSE18613, MOUSE18611, MOUSE06729, MOUSE06730
OG0001368	YEAST01821	MOUSE28166, MOUSE07621, MOUSE07620
OG0001370	YEAST04067, YEAST05195, YEAST00897	MOUSE44772, MOUSE22367, MOUSE44775, MOUSE22370
OG0001371	YEAST00532, YEAST03976	MOUSE06358
OG0001372	YEAST00070	MOUSE31956
OG0001375	YEAST05499, YEAST05567	MOUSE00315, MOUSE34217
OG0001378	YEAST02300	MOUSE12733, MOUSE46829, MOUSE12734, MOUSE46833, MOUSE36025, MOUSE19414, MOUSE19415, MOUSE46831
OG0001379	YEAST04155	MOUSE45251, MOUSE52412, MOUSE52413, MOUSE45252, MOUSE45253
OG0001386	YEAST05114	MOUSE05401, MOUSE10954, MOUSE10953, MOUSE10955
OG0001397	YEAST05731	MOUSE09428, MOUSE21175, MOUSE21174, MOUSE21173, MOUSE21261
OG0001400	YEAST02931	MOUSE05263, MOUSE05262, MOUSE26520, MOUSE26518, MOUSE26517, MOUSE26519, MOUSE39778, MOUSE39779, MOUSE39777, MOUSE39773, MOUSE39774, MOUSE39776, MOUSE39775
OG0001409	YEAST00885, YEAST04659	MOUSE43073, MOUSE43072, MOUSE15819, MOUSE15820
OG0001410	YEAST05046	MOUSE29322, MOUSE22570, MOUSE22569, MOUSE22568, MOUSE38530, MOUSE38529, MOUSE29320, MOUSE29323, MOUSE29321
OG0001411	YEAST04834	MOUSE36550, MOUSE36551
OG0001412	YEAST04490	MOUSE37382, MOUSE37381, MOUSE37384, MOUSE37385, MOUSE37383
OG0001413	YEAST04294	MOUSE37829, MOUSE37830, MOUSE44790, MOUSE44789, MOUSE44788, MOUSE44787
OG0001414	YEAST06070, YEAST01920	MOUSE18642, MOUSE18643, MOUSE18644, MOUSE02910
OG0001415	YEAST04230	MOUSE15314, MOUSE15315
OG0001421	YEAST05252	MOUSE42751, MOUSE42755, MOUSE42754, MOUSE42753, MOUSE24555, MOUSE20249, MOUSE08160, MOUSE08159, MOUSE24554, MOUSE24560, MOUSE24559, MOUSE24561, MOUSE24562, MOUSE24558, MOUSE24556, MOUSE24557, MOUSE24553
OG0001422	YEAST05588, YEAST01363	MOUSE26467, MOUSE26461, MOUSE26459, MOUSE39837, MOUSE26464, MOUSE26465, MOUSE39840, MOUSE39842, MOUSE39841, MOUSE39847, MOUSE39848, MOUSE39844, MOUSE39845, MOUSE39846, MOUSE39843, MOUSE26462, MOUSE26460
OG0001424	YEAST01127	MOUSE01154, MOUSE20236, MOUSE01153, MOUSE01152
OG0001427	YEAST01885	MOUSE28295, MOUSE35647, MOUSE19057, MOUSE19060, MOUSE19058, MOUSE19061, MOUSE19059, MOUSE35646, MOUSE35645
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	MOUSE34894, MOUSE34896, MOUSE34893, MOUSE19473, MOUSE04265, MOUSE41409, MOUSE41408, MOUSE04268
OG0001430	YEAST01712	MOUSE06605, MOUSE18637, MOUSE20248, MOUSE27511, MOUSE42620, MOUSE42621
OG0001434	YEAST03991	MOUSE32189, MOUSE32188
OG0001437	YEAST01264, YEAST02900	MOUSE19686, MOUSE29315, MOUSE29316, MOUSE29317, MOUSE29314
OG0001445	YEAST01715	MOUSE28043, MOUSE28044, MOUSE43177, MOUSE43176, MOUSE16757
OG0001449	YEAST03188	MOUSE35682, MOUSE35683, MOUSE35684, MOUSE35685, MOUSE35681
OG0001449	YEAST05764	MOUSE22414
OG0001452	YEAST05900	MOUSE10305, MOUSE44844, MOUSE30200, MOUSE30198, MOUSE30199, MOUSE44846, MOUSE44847, MOUSE44845
OG0001454	YEAST01495, YEAST00573	MOUSE29691, MOUSE03612, MOUSE03611, MOUSE29689, MOUSE29692, MOUSE29690, MOUSE29694, MOUSE29693
OG0001456	YEAST00365	MOUSE52266, MOUSE52265
OG0001459	YEAST03073, YEAST03464	MOUSE41970, MOUSE44251, MOUSE44247, MOUSE44248, MOUSE44249, MOUSE41971, MOUSE41967, MOUSE41968, MOUSE41969, MOUSE41972, MOUSE41973, MOUSE44250
OG0001461	YEAST05255	MOUSE39121, MOUSE39120
OG0001468	YEAST03875, YEAST03904	MOUSE22505, MOUSE53195, MOUSE53196, MOUSE02343, MOUSE02342
OG0001469	YEAST02070	MOUSE27763
OG0001469	YEAST02765	MOUSE00629
OG0001470	YEAST00369, YEAST05375	MOUSE04730, MOUSE04729, MOUSE04728, MOUSE04727
OG0001472	YEAST03031	MOUSE35226, MOUSE35228, MOUSE35227, MOUSE29107, MOUSE29108
OG0001473	YEAST05711	MOUSE14033, MOUSE14034
OG0001474	YEAST01416, YEAST05312	MOUSE46192, MOUSE27568, MOUSE27567, MOUSE46193, MOUSE46194
OG0001478	YEAST01984	MOUSE27453, MOUSE27451, MOUSE27450, MOUSE27452
OG0001478	YEAST02078	MOUSE14118
OG0001479	YEAST01132	MOUSE47407, MOUSE47406, MOUSE25857, MOUSE31243, MOUSE31244, MOUSE47409, MOUSE47405, MOUSE25855, MOUSE25856
OG0001503	YEAST03032	MOUSE48444
OG0001503	YEAST02920	MOUSE41776, MOUSE41774, MOUSE41777, MOUSE41772, MOUSE41773
OG0001504	YEAST05406	MOUSE28382, MOUSE28383, MOUSE28380, MOUSE28381, MOUSE28379
OG0001505	YEAST03361	MOUSE29456, MOUSE04126, MOUSE04125, MOUSE04124
OG0001508	YEAST04143	MOUSE45983, MOUSE45981, MOUSE45982, MOUSE44231, MOUSE44230, MOUSE44229, MOUSE44234, MOUSE44233, MOUSE44232
OG0001515	YEAST03320	MOUSE04853, MOUSE04849, MOUSE04850, MOUSE04851, MOUSE02775, MOUSE02777, MOUSE02776
OG0001515	YEAST03569	MOUSE04848
OG0001520	YEAST03872	MOUSE34134, MOUSE34139, MOUSE34135, MOUSE34137, MOUSE34136, MOUSE34138, MOUSE06660, MOUSE06662, MOUSE06661, MOUSE06668, MOUSE06664, MOUSE06666, MOUSE06667, MOUSE06665, MOUSE06669
OG0001524	YEAST03912	MOUSE21121, MOUSE49229
OG0001525	YEAST00757	MOUSE37570, MOUSE37574, MOUSE37572, MOUSE37575, MOUSE37571
OG0001527	YEAST00435	MOUSE04315, MOUSE04314
OG0001527	YEAST01395	MOUSE01117, MOUSE01118, MOUSE04312, MOUSE04311, MOUSE04310, MOUSE04313, MOUSE13589
OG0001529	YEAST00980	MOUSE52871
OG0001529	YEAST01143	MOUSE52749, MOUSE52864, MOUSE52868, MOUSE52867, MOUSE52865, MOUSE52866, MOUSE52863, MOUSE52869, MOUSE52870, MOUSE52747, MOUSE52748, MOUSE52746, MOUSE52745, MOUSE52750, MOUSE17230
OG0001530	YEAST00643	MOUSE11448, MOUSE11447, MOUSE36978, MOUSE36976, MOUSE36977, MOUSE36980, MOUSE11450
OG0001546	YEAST03111	MOUSE07046, MOUSE18675, MOUSE07047
OG0001550	YEAST02405, YEAST05953	MOUSE53327, MOUSE24814, MOUSE24815, MOUSE24813
OG0001551	YEAST04817	MOUSE07720, MOUSE24761, MOUSE24759, MOUSE24760
OG0001553	YEAST05147, YEAST01586	MOUSE47772, MOUSE47771, MOUSE11102, MOUSE11100, MOUSE11099, MOUSE11101, MOUSE03464, MOUSE03466, MOUSE03465, MOUSE11103
OG0001557	YEAST04671	MOUSE27258
OG0001557	YEAST04551	MOUSE07001, MOUSE07002
OG0001558	YEAST04449	MOUSE25248, MOUSE25247, MOUSE25246, MOUSE25245, MOUSE25249, MOUSE47376, MOUSE47379, MOUSE47373, MOUSE47380
OG0001559	YEAST00445, YEAST02434	MOUSE24616, MOUSE24618, MOUSE24617, MOUSE11720, MOUSE11719, MOUSE24626, MOUSE24627, MOUSE24624, MOUSE24625, MOUSE20118
OG0001561	YEAST06176	MOUSE40948, MOUSE40947, MOUSE40953, MOUSE40950, MOUSE40951, MOUSE40952, MOUSE40949, MOUSE17306, MOUSE14396, MOUSE14395, MOUSE14394
OG0001564	YEAST05390	MOUSE22917, MOUSE22921, MOUSE22922, MOUSE22916, MOUSE22915, MOUSE22918, MOUSE45322, MOUSE45323, MOUSE45324, MOUSE45325
OG0001570	YEAST04678	MOUSE44022, MOUSE44024, MOUSE44023, MOUSE44020, MOUSE44021, MOUSE44017, MOUSE44014
OG0001573	YEAST03285	MOUSE31358, MOUSE31355, MOUSE31356, MOUSE31357, MOUSE32755
OG0001578	YEAST01872	MOUSE12774, MOUSE12766, MOUSE21125, MOUSE21038
OG0001580	YEAST06270	MOUSE29104, MOUSE29103, MOUSE43692, MOUSE43694, MOUSE43691, MOUSE43695, MOUSE43696
OG0001590	YEAST03476, YEAST00717, YEAST03955	MOUSE27654
OG0001594	YEAST03418	MOUSE16260
OG0001597	YEAST01702	MOUSE38913, MOUSE46941, MOUSE46949, MOUSE46952, MOUSE46950, MOUSE46953, MOUSE46951, MOUSE46954
OG0001603	YEAST02584	MOUSE17807, MOUSE17707, MOUSE17704, MOUSE17703, MOUSE17811
OG0001604	YEAST01428	MOUSE36002, MOUSE36001, MOUSE04891, MOUSE04892
OG0001605	YEAST04101	MOUSE11891, MOUSE11892, MOUSE11890
OG0001609	YEAST02739	MOUSE12876, MOUSE40801, MOUSE40800, MOUSE40802
OG0001610	YEAST00596, YEAST02062	MOUSE29718, MOUSE33856, MOUSE33852, MOUSE33853, MOUSE33855, MOUSE28650, MOUSE16605, MOUSE19397, MOUSE13421
OG0001612	YEAST01109	MOUSE16377, MOUSE16379, MOUSE16380, MOUSE16381, MOUSE16378, MOUSE52149, MOUSE52147, MOUSE52146, MOUSE52145, MOUSE52148
OG0001628	YEAST04790	MOUSE18750
OG0001653	YEAST01151	MOUSE13203
OG0001655	YEAST03354	MOUSE48280, MOUSE48281, MOUSE48284, MOUSE48282, MOUSE48283, MOUSE42419, MOUSE42418, MOUSE42417, MOUSE53496, MOUSE53498, MOUSE53497
OG0001657	YEAST00101, YEAST00944	MOUSE02718, MOUSE02719, MOUSE02717, MOUSE02720, MOUSE02721, MOUSE20575
OG0001663	YEAST05642	MOUSE39143, MOUSE39142, MOUSE53600
OG0001676	YEAST02848	MOUSE00877, MOUSE00878
OG0001676	YEAST06155	MOUSE48433
OG0001680	YEAST01119, YEAST04022	MOUSE18749, MOUSE07459, MOUSE07461, MOUSE43274, MOUSE43275, MOUSE54064, MOUSE07460
OG0001685	YEAST01147	MOUSE36317, MOUSE36311, MOUSE36315, MOUSE36312, MOUSE36313, MOUSE36316, MOUSE36314
OG0001687	YEAST05279	MOUSE00821, MOUSE00820
OG0001691	YEAST01315	MOUSE46475, MOUSE46476, MOUSE46478, MOUSE46479, MOUSE46480, MOUSE46477, MOUSE37263, MOUSE37264, MOUSE37262, MOUSE46481
OG0001704	YEAST01293	MOUSE14721, MOUSE14720, MOUSE14723, MOUSE14719, MOUSE14722, MOUSE14718, MOUSE02583
OG0001706	YEAST03424	MOUSE54183, MOUSE54182, MOUSE50117, MOUSE50116, MOUSE54176, MOUSE54178, MOUSE54179, MOUSE54180
OG0001707	YEAST06049, YEAST00407, YEAST04739	MOUSE18955, MOUSE18956, MOUSE18954, MOUSE18957
OG0001708	YEAST05744, YEAST05745	MOUSE32138, MOUSE24320
OG0001709	YEAST04440	MOUSE19372, MOUSE19373
OG0001713	YEAST04039	MOUSE19994, MOUSE19995, MOUSE49631, MOUSE49633, MOUSE49632, MOUSE49634, MOUSE49635
OG0001718	YEAST01537	MOUSE07283, MOUSE07282, MOUSE18354, MOUSE18355
OG0001721	YEAST04881, YEAST05253, YEAST00698	MOUSE16043, MOUSE16042, MOUSE52086, MOUSE52087, MOUSE07334
OG0001723	YEAST01435	MOUSE54082, MOUSE52248, MOUSE54084, MOUSE54083, MOUSE53738, MOUSE53736, MOUSE53737
OG0001727	YEAST04543	MOUSE42676, MOUSE42672, MOUSE42671, MOUSE07041, MOUSE07040, MOUSE18673, MOUSE18674, MOUSE18672, MOUSE42673
OG0001728	YEAST03347	MOUSE51318, MOUSE51319, MOUSE51320, MOUSE51317, MOUSE19476, MOUSE19477
OG0001730	YEAST00177	MOUSE33438, MOUSE33440, MOUSE33439, MOUSE33441, MOUSE33442, MOUSE33436, MOUSE33437, MOUSE48659, MOUSE48658, MOUSE48657
OG0001739	YEAST03760	MOUSE54680, MOUSE47273, MOUSE02157, MOUSE02158, MOUSE02159, MOUSE02156, MOUSE47272, MOUSE47271, MOUSE47270
OG0001745	YEAST01431	MOUSE34211, MOUSE00712, MOUSE00711
OG0001750	YEAST03628	MOUSE18910, MOUSE18909, MOUSE02386, MOUSE26150, MOUSE26149
OG0001754	YEAST03682	MOUSE52153, MOUSE52154, MOUSE45003, MOUSE19781
OG0001755	YEAST05131	MOUSE51232
OG0001756	YEAST00620	MOUSE21187, MOUSE47775, MOUSE47774
OG0001769	YEAST04726	MOUSE21351, MOUSE21353, MOUSE21352, MOUSE07446, MOUSE07447, MOUSE07444
OG0001770	YEAST02590	MOUSE21949, MOUSE21951, MOUSE21948, MOUSE54992, MOUSE03364, MOUSE03365, MOUSE48766, MOUSE48765
OG0001774	YEAST05166	MOUSE27852, MOUSE54272, MOUSE44450
OG0001775	YEAST05594	MOUSE01603
OG0001780	YEAST03768	MOUSE15320, MOUSE15319, MOUSE15316, MOUSE15317, MOUSE15318, MOUSE54875, MOUSE54873, MOUSE54874
OG0001781	YEAST01882	MOUSE05639, MOUSE05640, MOUSE17844
OG0001782	YEAST02421	MOUSE18513, MOUSE18512, MOUSE10999, MOUSE10996, MOUSE10997, MOUSE10998, MOUSE10995
OG0001785	YEAST02713	MOUSE13134
OG0001787	YEAST03546	MOUSE16363, MOUSE16364, MOUSE18093, MOUSE18092, MOUSE34354, MOUSE34355, MOUSE34353
OG0001792	YEAST04331	MOUSE25540, MOUSE25539
OG0001792	YEAST02075	MOUSE25538
OG0001792	YEAST04595	MOUSE48452, MOUSE48453
OG0001793	YEAST02466	MOUSE53160, MOUSE50653, MOUSE50654
OG0001805	YEAST05496, YEAST01242	MOUSE02151, MOUSE02152, MOUSE02149, MOUSE44430, MOUSE44431, MOUSE02150
OG0001807	YEAST05464	MOUSE05508, MOUSE05509, MOUSE05510
OG0001808	YEAST01298	MOUSE37155, MOUSE37154, MOUSE37157, MOUSE37153, MOUSE37152, MOUSE37156, MOUSE33210, MOUSE33212, MOUSE33214, MOUSE33211, MOUSE33213, MOUSE37158
OG0001818	YEAST05902, YEAST04712	MOUSE18124, MOUSE08126, MOUSE18122
OG0001822	YEAST04378, YEAST01659	MOUSE14303, MOUSE14304, MOUSE14305, MOUSE23581, MOUSE23582, MOUSE45745, MOUSE45744
OG0001826	YEAST04777, YEAST01697, YEAST05781	MOUSE22679, MOUSE22677, MOUSE22678, MOUSE55040, MOUSE55041
OG0001828	YEAST04676	MOUSE11364, MOUSE11363
OG0001829	YEAST01613, YEAST00136, YEAST02008	MOUSE49227, MOUSE49228, MOUSE49681, MOUSE49682, MOUSE49683
OG0001831	YEAST00024	MOUSE17110, MOUSE17114, MOUSE04759, MOUSE04760, MOUSE04757, MOUSE04758, MOUSE04761, MOUSE17115, MOUSE17116
OG0001832	YEAST05376	MOUSE25462, MOUSE25464, MOUSE25463, MOUSE44709, MOUSE44711, MOUSE44710, MOUSE30185, MOUSE44708, MOUSE44705, MOUSE44706, MOUSE44704, MOUSE44707
OG0001846	YEAST05067	MOUSE28184, MOUSE06622, MOUSE06623, MOUSE28185
