Orthogroup	YEAST	SCHMD
OG0000481	YEAST01040	SCHMD19063, SCHMD18615, SCHMD19165, SCHMD12328
OG0000481	YEAST00916	SCHMD11352, SCHMD11001
OG0000481	YEAST00827, YEAST00774	SCHMD06297, SCHMD10940
OG0000484	YEAST05824	SCHMD20174, SCHMD17933, SCHMD25775, SCHMD29525, SCHMD10182, SCHMD03948, SCHMD20175, SCHMD12364, SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110, SCHMD15292
OG0000486	YEAST03122, YEAST04270	SCHMD19250
OG0000487	YEAST02728	SCHMD20744
OG0000488	YEAST01414	SCHMD01306, SCHMD17798, SCHMD16340
OG0000490	YEAST04297, YEAST00894	SCHMD14619, SCHMD03996, SCHMD03484, SCHMD03477, SCHMD21870, SCHMD21871, SCHMD23364, SCHMD22228
OG0000491	YEAST04587, YEAST03679	SCHMD15788
OG0000505	YEAST03067	SCHMD10454, SCHMD28069
OG0000510	YEAST04569, YEAST05730	SCHMD10006
OG0000519	YEAST04594, YEAST03616	SCHMD19355, SCHMD25526, SCHMD21661, SCHMD23283
OG0000520	YEAST02979	SCHMD05955, SCHMD05956, SCHMD29599, SCHMD27845
OG0000523	YEAST04693, YEAST04692	SCHMD28876
OG0000523	YEAST01952, YEAST05838, YEAST06082	SCHMD13520
OG0000529	YEAST05790, YEAST00048	SCHMD00028, SCHMD16782, SCHMD17234, SCHMD06409, SCHMD24374, SCHMD22774, SCHMD09913
OG0000534	YEAST04932	SCHMD04873, SCHMD16884, SCHMD09514, SCHMD04872
OG0000538	YEAST00499	SCHMD23313, SCHMD17312
OG0000552	YEAST05717	SCHMD16245, SCHMD21874, SCHMD07234, SCHMD13011, SCHMD12173, SCHMD26203, SCHMD19357, SCHMD01116, SCHMD12890
OG0000556	YEAST04616	SCHMD23624
OG0000561	YEAST06202, YEAST00331	SCHMD09766
OG0000562	YEAST00314	SCHMD13356, SCHMD10853, SCHMD10851
OG0000563	YEAST01406	SCHMD25177, SCHMD22478, SCHMD19010, SCHMD18961, SCHMD13906, SCHMD19772, SCHMD04138, SCHMD13630, SCHMD27006, SCHMD25371, SCHMD26550, SCHMD20849, SCHMD11824, SCHMD20039, SCHMD21297, SCHMD02175, SCHMD21596, SCHMD14777, SCHMD04135, SCHMD05410, SCHMD16749, SCHMD27088, SCHMD13743, SCHMD13510, SCHMD05417, SCHMD00956, SCHMD23940
OG0000566	YEAST05789, YEAST00049	SCHMD24931, SCHMD26489
OG0000573	YEAST05675	SCHMD13281, SCHMD17636, SCHMD00372, SCHMD01043, SCHMD15213, SCHMD24610, SCHMD11309, SCHMD19455, SCHMD01045, SCHMD29036, SCHMD15211, SCHMD16187
OG0000576	YEAST00470, YEAST00193	SCHMD17959, SCHMD00167, SCHMD15710
OG0000578	YEAST01208, YEAST00759	SCHMD07755, SCHMD00300, SCHMD17617
OG0000579	YEAST02484	SCHMD26692, SCHMD29307, SCHMD26446, SCHMD01160, SCHMD01878, SCHMD11162, SCHMD25933, SCHMD01879, SCHMD16027, SCHMD27820, SCHMD26175
OG0000582	YEAST03615	SCHMD16063, SCHMD04882, SCHMD26591, SCHMD02159
OG0000587	YEAST04063	SCHMD03879, SCHMD05571
OG0000588	YEAST05197	SCHMD01542, SCHMD09247, SCHMD07021, SCHMD07022
OG0000590	YEAST05110, YEAST05552, YEAST03727	SCHMD29843, SCHMD08634, SCHMD18326
OG0000592	YEAST00388	SCHMD11895, SCHMD04777, SCHMD09289, SCHMD17605, SCHMD11894
OG0000597	YEAST04330	SCHMD00271
OG0000609	YEAST05180	SCHMD24245, SCHMD16443, SCHMD17568
OG0000612	YEAST02370	SCHMD03892, SCHMD04363, SCHMD09119
OG0000612	YEAST05215	SCHMD07440
OG0000612	YEAST03629	SCHMD12367, SCHMD16212, SCHMD12368
OG0000613	YEAST01072	SCHMD19801, SCHMD26357, SCHMD15315, SCHMD11333
OG0000623	YEAST02411	SCHMD06017, SCHMD06018
OG0000623	YEAST05090	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585
OG0000627	YEAST02116, YEAST03957	SCHMD09127
OG0000639	YEAST02015	SCHMD15823, SCHMD12604, SCHMD12603, SCHMD12605, SCHMD10747
OG0000642	YEAST00618	SCHMD07724
OG0000645	YEAST04743	SCHMD29005, SCHMD05528
OG0000647	YEAST04534	SCHMD29494
OG0000648	YEAST04178, YEAST05641	SCHMD10719, SCHMD09057, SCHMD29274, SCHMD18065
OG0000657	YEAST03846	SCHMD06576, SCHMD14158, SCHMD14159, SCHMD28173, SCHMD18210
OG0000660	YEAST05150, YEAST01587	SCHMD02770, SCHMD14151, SCHMD11195, SCHMD19605, SCHMD07974, SCHMD15853, SCHMD20422, SCHMD27193
OG0000660	YEAST00514	SCHMD26261
OG0000662	YEAST05937	SCHMD04360, SCHMD08940, SCHMD24126, SCHMD23958, SCHMD03108, SCHMD03703, SCHMD08942, SCHMD05635
OG0000663	YEAST02675, YEAST03294	SCHMD28509, SCHMD28508, SCHMD08739
OG0000665	YEAST02105, YEAST03843	SCHMD09294
