Orthogroup	YEAST	APOSC_ok
OG0000195	YEAST03414	APOSC_18323, APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768
OG0000211	YEAST04964	APOSC_20059, APOSC_12887, APOSC_15302, APOSC_11394, APOSC_11393
OG0000221	YEAST05872	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397
OG0000222	YEAST01460	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111
OG0000225	YEAST06146	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109
OG0000227	YEAST05815	APOSC_28503, APOSC_12980, APOSC_05191, APOSC_01281, APOSC_13947
OG0000228	YEAST04750	APOSC_19530, APOSC_19529, APOSC_24474
OG0000233	YEAST03726, YEAST03241, YEAST03242	APOSC_20492, APOSC_20491, APOSC_08594, APOSC_20493, APOSC_17951, APOSC_12310, APOSC_03772
OG0000238	YEAST06340, YEAST03834	APOSC_11219, APOSC_20889, APOSC_02443, APOSC_14952, APOSC_02534, APOSC_12649
OG0000240	YEAST03827	APOSC_07530, APOSC_14411, APOSC_06029, APOSC_05934, APOSC_25321, APOSC_06614, APOSC_28074, APOSC_28072, APOSC_28073
OG0000240	YEAST04973	APOSC_23062
OG0000242	YEAST00734	APOSC_14781, APOSC_16970, APOSC_16971, APOSC_15793, APOSC_24338
OG0000246	YEAST01746, YEAST01747	APOSC_00635, APOSC_17922, APOSC_11583
OG0000250	YEAST04716	APOSC_27451, APOSC_09132, APOSC_03832, APOSC_25705
OG0000255	YEAST02822	APOSC_21297, APOSC_00489, APOSC_18233, APOSC_18232, APOSC_19496, APOSC_00435, APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899
OG0000256	YEAST00266	APOSC_10246, APOSC_16681, APOSC_15086, APOSC_11495, APOSC_27505, APOSC_22638
OG0000258	YEAST00118	APOSC_06996, APOSC_15815, APOSC_03499, APOSC_03498
OG0000260	YEAST04323	APOSC_16649, APOSC_19872, APOSC_16650
OG0000265	YEAST03885, YEAST03714	APOSC_08586
OG0000272	YEAST02076, YEAST01066	APOSC_07402, APOSC_13898, APOSC_13899, APOSC_03422, APOSC_08495, APOSC_11181, APOSC_11180, APOSC_15206
OG0000274	YEAST02118, YEAST04573, YEAST01485	APOSC_21422, APOSC_26007, APOSC_02789, APOSC_24118, APOSC_24119, APOSC_27636, APOSC_02243, APOSC_06313, APOSC_21473
OG0000278	YEAST03847	APOSC_09086
OG0000278	YEAST03806	APOSC_04559, APOSC_08877, APOSC_00087, APOSC_12407
OG0000278	YEAST04060	APOSC_09423
OG0000284	YEAST05621	APOSC_08790, APOSC_20570, APOSC_16476, APOSC_24928, APOSC_16455, APOSC_24065, APOSC_13238, APOSC_13237
OG0000289	YEAST00645	APOSC_06815, APOSC_19166, APOSC_00919, APOSC_19609
OG0000305	YEAST04899	APOSC_10995, APOSC_22799, APOSC_03005, APOSC_02552
OG0000308	YEAST02548	APOSC_12039, APOSC_05445, APOSC_04644, APOSC_17328, APOSC_02947
OG0000310	YEAST02635	APOSC_16775, APOSC_10135, APOSC_16800, APOSC_25840, APOSC_00375
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	APOSC_01999, APOSC_08606, APOSC_07994, APOSC_07993, APOSC_18962
OG0000313	YEAST05106	APOSC_29019, APOSC_14496
OG0000315	YEAST04684	APOSC_19230
OG0000316	YEAST01673	APOSC_26260, APOSC_09172, APOSC_03229, APOSC_03624, APOSC_07155
OG0000317	YEAST01356	APOSC_15951, APOSC_01541, APOSC_04469, APOSC_01628
OG0000321	YEAST03264	APOSC_16887, APOSC_23475, APOSC_12634
OG0000323	YEAST02249	APOSC_04441, APOSC_04442, APOSC_01088, APOSC_27646
OG0000326	YEAST06268, YEAST05286	APOSC_12910
OG0000326	YEAST06056	APOSC_26060
OG0000327	YEAST01354	APOSC_17692, APOSC_09780
OG0000334	YEAST05626	APOSC_21997, APOSC_22742, APOSC_12460, APOSC_12461, APOSC_17465, APOSC_17466, APOSC_15654, APOSC_06862, APOSC_16465, APOSC_00746, APOSC_25390, APOSC_25389, APOSC_00116, APOSC_14183, APOSC_26541, APOSC_09486, APOSC_09488, APOSC_18452, APOSC_09782
OG0000338	YEAST02967	APOSC_28658, APOSC_13614, APOSC_13615
OG0000338	YEAST04211	APOSC_13420, APOSC_13421
OG0000343	YEAST03024, YEAST02736	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357
OG0000345	YEAST01884	APOSC_15380, APOSC_00930, APOSC_22342, APOSC_04411, APOSC_16470, APOSC_14110, APOSC_14111
OG0000352	YEAST04069	APOSC_22930, APOSC_22928, APOSC_22929, APOSC_17716, APOSC_00546, APOSC_20597
OG0000357	YEAST01925	APOSC_23713, APOSC_05413, APOSC_05414, APOSC_05412, APOSC_07835
OG0000359	YEAST02489	APOSC_09932, APOSC_27927, APOSC_15516
OG0000363	YEAST04081, YEAST05870	APOSC_11763, APOSC_10288, APOSC_14583
OG0000365	YEAST05831	APOSC_16992, APOSC_16991, APOSC_16935, APOSC_06515
OG0000367	YEAST02141, YEAST03746, YEAST03210	APOSC_08227, APOSC_15610
OG0000372	YEAST05988	APOSC_18539, APOSC_25246, APOSC_15484, APOSC_13917, APOSC_25245
OG0000373	YEAST02023	APOSC_15950, APOSC_23382, APOSC_21401
OG0000373	YEAST04495, YEAST01417, YEAST05964	APOSC_15290, APOSC_10379
OG0000385	YEAST03496	APOSC_00509, APOSC_23259
OG0000393	YEAST04072, YEAST04071	APOSC_00406, APOSC_21190, APOSC_09454, APOSC_01755, APOSC_03383
OG0000393	YEAST01302	APOSC_19188
OG0000397	YEAST05080	APOSC_08278
OG0000399	YEAST02160	APOSC_04841, APOSC_02547, APOSC_12700, APOSC_12699, APOSC_12371
OG0000400	YEAST05911	APOSC_28932, APOSC_28931, APOSC_14098, APOSC_23996
OG0000402	YEAST01657, YEAST01929	APOSC_11815
OG0000405	YEAST06055, YEAST00411	APOSC_22532, APOSC_22533
OG0000412	YEAST04469	APOSC_01194, APOSC_01195, APOSC_14273
OG0000413	YEAST04905, YEAST05340	APOSC_03087, APOSC_04045
OG0000413	YEAST02838	APOSC_03086
OG0000419	YEAST05989	APOSC_27054, APOSC_19811, APOSC_19812, APOSC_08628, APOSC_01698, APOSC_08566, APOSC_11016
OG0000420	YEAST03886	APOSC_12771, APOSC_26953, APOSC_23391
OG0000424	YEAST03563	APOSC_27699, APOSC_11109
OG0000426	YEAST03440	APOSC_23818
OG0000427	YEAST02655, YEAST02439	APOSC_26405, APOSC_18019, APOSC_12867, APOSC_10303, APOSC_10299, APOSC_10304, APOSC_10301
OG0000429	YEAST02285	APOSC_25050, APOSC_11210, APOSC_21310, APOSC_08336, APOSC_22406, APOSC_25805
OG0000431	YEAST04014	APOSC_26482, APOSC_21271, APOSC_09355
OG0000433	YEAST06177, YEAST00117	APOSC_27672, APOSC_27673, APOSC_25213, APOSC_25212
OG0000437	YEAST03074, YEAST02073	APOSC_22443, APOSC_08659, APOSC_05623, APOSC_25255, APOSC_13437, APOSC_18716, APOSC_21833, APOSC_27007, APOSC_04756
OG0000442	YEAST05012	APOSC_01037, APOSC_25495, APOSC_28475
OG0000444	YEAST01115, YEAST04019	APOSC_22420, APOSC_27883, APOSC_27884, APOSC_27885
OG0000445	YEAST03068	APOSC_13085, APOSC_27582, APOSC_29169, APOSC_06451, APOSC_22086, APOSC_02475, APOSC_03261, APOSC_24400, APOSC_00457, APOSC_22414, APOSC_04719, APOSC_02253
OG0000450	YEAST04709, YEAST05909	APOSC_13051
OG0000461	YEAST00120	APOSC_17426
OG0000467	YEAST05317	APOSC_24466
OG0000467	YEAST03162	APOSC_08499, APOSC_08498
OG0000468	YEAST04372	APOSC_15884, APOSC_04385, APOSC_04384, APOSC_23794, APOSC_02625
OG0000469	YEAST02179, YEAST05440	APOSC_06315
OG0000469	YEAST02333, YEAST00863	APOSC_00048
OG0000474	YEAST02384	APOSC_24332, APOSC_14236, APOSC_20732, APOSC_06438, APOSC_01743, APOSC_06626
OG0000476	YEAST03038	APOSC_19907, APOSC_10161, APOSC_04632, APOSC_05340
OG0000479	YEAST04139	APOSC_19125, APOSC_05602, APOSC_05603
OG0000480	YEAST05750	APOSC_23759, APOSC_15162, APOSC_11842
OG0000481	YEAST01040	APOSC_15444
OG0000481	YEAST00916	APOSC_09024
OG0000481	YEAST00827, YEAST00774	APOSC_07226
OG0000484	YEAST05824	APOSC_17564
OG0000486	YEAST03122, YEAST04270	APOSC_27933, APOSC_23293, APOSC_14127, APOSC_20131, APOSC_06301, APOSC_18885, APOSC_05208
