Orthogroup	PFLAV	BRAFL
OG0000007	TCONS_00029831.p1	bflo_00716
OG0000007	TCONS_00053632.p1	bflo_12223
OG0000007	TCONS_00024115.p1	bflo_16800
OG0000007	TCONS_00055417.p1	bflo_12369, bflo_21087
OG0000007	TCONS_00011336.p1	bflo_23309
OG0000007	TCONS_00014249.p1	bflo_23091
OG0000007	TCONS_00012754.p1	bflo_23283
OG0000007	TCONS_00025375.p1	bflo_09771
OG0000007	TCONS_00051989.p1	bflo_24497
OG0000007	TCONS_00009689.p1	bflo_11392
OG0000008	TCONS_00054315.p1	bflo_25964, bflo_01367, bflo_00741, bflo_24920
OG0000008	TCONS_00012951.p1	bflo_14409, bflo_10580
OG0000008	TCONS_00013698.p1, TCONS_00013443.p1, TCONS_00013444.p1, TCONS_00013445.p1	bflo_11711
OG0000008	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	TCONS_00015623.p1	bflo_01785, bflo_17089
OG0000009	TCONS_00025442.p1	bflo_13612, bflo_25945
OG0000009	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1	bflo_13658
OG0000009	TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755
OG0000009	TCONS_00018133.p1, TCONS_00001741.p1, TCONS_00002573.p1	bflo_05031, bflo_26511
OG0000009	TCONS_00035789.p1	bflo_05282, bflo_00619, bflo_12605, bflo_16228, bflo_11316, bflo_11969
OG0000009	TCONS_00019627.p1	bflo_25982
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	bflo_00973
OG0000010	TCONS_00031454.p1	bflo_03815, bflo_02970
OG0000010	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1	bflo_07912, bflo_08373
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	bflo_25814, bflo_01084
OG0000010	TCONS_00026035.p1, TCONS_00030635.p1	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136
OG0000011	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1	bflo_20761, bflo_05867
OG0000011	TCONS_00046669.p1	bflo_04324, bflo_26561, bflo_24248, bflo_06820
OG0000011	TCONS_00041434.p1, TCONS_00057000.p1	bflo_27088, bflo_03175
OG0000011	TCONS_00031655.p1, TCONS_00002470.p1	bflo_15139
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	TCONS_00003238.p1	bflo_00214
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	bflo_14731, bflo_13607, bflo_24594
OG0000012	TCONS_00014468.p1	bflo_16244, bflo_17650, bflo_27278
