Orthogroup	Duplications (all)	Duplications (50% support)
OG0000679	70	59
OG0000680	41	40
OG0000681	35	34
OG0000682	52	47
OG0000683	36	32
OG0000684	52	45
OG0000685	45	40
OG0000686	61	59
OG0000687	91	91
OG0000688	61	47
OG0000689	62	47
OG0000690	21	18
OG0000691	30	21
OG0000692	34	28
OG0000693	41	34
OG0000694	47	41
OG0000695	34	28
OG0000696	26	24
OG0000697	47	46
OG0000698	33	26
OG0000699	41	33
OG0000700	43	37
OG0000701	48	41
OG0000702	58	57
OG0000703	56	52
OG0000704	82	78
OG0000705	32	28
OG0000706	42	35
OG0000707	49	35
OG0000708	33	31
OG0000709	38	33
OG0000710	41	37
OG0000711	25	17
OG0000712	49	46
OG0000713	44	38
OG0000714	62	51
OG0000715	48	41
OG0000716	56	51
OG0000717	41	30
OG0000718	43	37
OG0000719	89	89
OG0000720	43	39
OG0000721	30	25
OG0000722	32	26
OG0000723	42	34
OG0000724	55	49
OG0000725	30	21
OG0000726	52	46
OG0000727	73	70
OG0000728	59	46
OG0000729	80	77
OG0000730	20	14
OG0000731	51	45
OG0000732	27	23
OG0000733	26	21
OG0000734	57	50
OG0000735	49	46
OG0000736	35	27
OG0000737	54	46
OG0000738	43	33
OG0000739	71	65
OG0000740	22	16
OG0000741	47	30
OG0000742	56	53
OG0000743	28	21
OG0000744	49	44
OG0000745	43	37
OG0000746	34	28
OG0000747	61	56
OG0000748	57	55
OG0000749	50	47
OG0000750	35	30
OG0000751	45	43
OG0000752	17	15
OG0000753	27	23
OG0000754	58	49
OG0000755	50	48
OG0000756	47	42
OG0000757	29	15
OG0000758	41	34
OG0000759	38	34
OG0000760	48	42
OG0000761	53	50
OG0000762	55	51
OG0000763	47	41
OG0000764	53	50
OG0000765	41	36
OG0000766	43	39
OG0000767	46	42
OG0000768	49	42
OG0000769	67	66
OG0000770	85	85
OG0000771	67	58
OG0000772	35	32
OG0000773	35	23
OG0000774	28	26
OG0000775	46	39
OG0000776	41	32
OG0000777	31	20
OG0000778	36	27
OG0000779	33	28
OG0000780	27	20
OG0000781	53	48
OG0000782	44	39
OG0000783	64	60
OG0000784	34	24
OG0000785	84	84
OG0000786	30	27
OG0000787	40	35
OG0000788	27	23
OG0000789	51	40
OG0000790	52	48
OG0000791	41	37
OG0000792	33	27
OG0000793	36	35
OG0000794	38	34
OG0000795	53	49
OG0000796	32	27
OG0000797	54	50
OG0000798	45	41
OG0000799	39	37
OG0000800	55	46
OG0000801	56	54
OG0000802	27	24
OG0000803	50	45
OG0000804	71	71
OG0000805	45	43
OG0000806	81	81
OG0000807	68	61
OG0000808	52	40
OG0000809	39	27
OG0000810	30	25
OG0000811	48	45
OG0000812	56	47
OG0000813	44	38
OG0000814	31	27
OG0000815	24	19
OG0000816	27	20
OG0000817	17	13
OG0000818	35	24
OG0000819	29	28
OG0000820	36	27
OG0000821	62	52
OG0000822	26	24
OG0000823	71	67
OG0000824	47	42
OG0000825	33	29
OG0000826	50	43
OG0000827	32	23
OG0000828	23	19
OG0000829	27	25
OG0000830	36	28
OG0000831	42	37
OG0000832	48	45
OG0000833	42	38
OG0000834	37	27
OG0000835	44	41
OG0000836	36	31
OG0000837	36	24
OG0000838	33	24
OG0000839	80	80
OG0000840	80	80
OG0000841	40	36
OG0000842	37	32
OG0000843	73	72
OG0000844	37	34
OG0000845	28	21
OG0000846	40	37
OG0000847	30	26
OG0000848	22	18
OG0000849	34	31
OG0000850	30	26
OG0000851	49	47
OG0000852	29	26
OG0000853	44	37
OG0000854	56	49
OG0000855	48	44
OG0000856	53	46
OG0000857	39	33
OG0000858	27	21
OG0000859	43	40
OG0000860	47	44
OG0000861	47	46
OG0000862	74	67
OG0000863	52	49
OG0000864	80	80
OG0000865	80	80
OG0000866	49	46
OG0000867	49	41
OG0000868	27	11
OG0000869	31	24
OG0000870	38	29
OG0000871	28	24
OG0000872	46	37
OG0000873	34	20
OG0000874	34	27
OG0000875	32	30
OG0000876	37	29
OG0000877	42	39
OG0000878	29	22
OG0000879	28	24
OG0000880	38	36
OG0000881	37	31
OG0000882	37	33
OG0000883	58	56
OG0000884	64	63
OG0000885	65	57
OG0000886	79	79
OG0000887	35	33
OG0000888	23	19
OG0000889	24	19
OG0000890	39	31
OG0000891	53	49
OG0000892	66	59
OG0000893	35	33
OG0000894	27	24
OG0000895	39	36
OG0000896	29	27
OG0000897	34	32
OG0000898	44	41
OG0000899	46	42
OG0000900	43	35
OG0000901	75	75
OG0000902	78	78
OG0000903	57	50
OG0000904	30	26
OG0000905	40	32
OG0000906	37	28
OG0000907	46	43
OG0000908	25	19
OG0000909	40	36
OG0000910	38	26
OG0000911	33	28
OG0000912	22	19
OG0000913	45	44
OG0000914	34	26
OG0000915	37	34
OG0000916	59	55
OG0000917	52	52
OG0000918	60	57
OG0000919	77	77
OG0000920	76	76
OG0000921	26	20
OG0000922	54	38
OG0000923	23	18
OG0000924	16	6
OG0000925	31	30
OG0000926	23	13
OG0000927	30	28
OG0000928	44	41
OG0000929	30	22
OG0000930	42	37
OG0000931	34	22
OG0000932	32	26
OG0000933	31	26
OG0000934	23	21
OG0000935	32	27
OG0000936	42	33
OG0000937	56	52
OG0000938	42	37
OG0000939	59	50
OG0000940	57	52
OG0000941	76	76
OG0000942	56	46
OG0000943	28	23
OG0000944	38	32
OG0000945	45	41
OG0000946	27	18
OG0000947	28	23
OG0000948	59	49
OG0000949	26	25
OG0000950	42	38
OG0000951	26	20
OG0000952	25	23
OG0000953	25	20
OG0000954	28	25
OG0000955	15	13
OG0000956	51	40
OG0000957	33	27
OG0000958	41	37
OG0000959	67	47
OG0000960	39	34
OG0000961	75	75
OG0000962	75	75
OG0000963	28	25
OG0000964	44	42
OG0000965	21	21
OG0000966	44	42
OG0000967	25	22
OG0000968	28	25
OG0000969	40	37
OG0000970	36	26
OG0000971	36	27
OG0000972	30	26
OG0000973	37	34
OG0000974	39	34
OG0000975	38	34
OG0000976	34	29
OG0000977	28	24
OG0000978	34	31
OG0000979	41	40
OG0000980	50	43
OG0000981	33	31
OG0000982	31	26
OG0000983	53	50
OG0000984	27	23
OG0000985	33	31
OG0000986	34	21
OG0000987	32	28
OG0000988	41	39
OG0000989	59	52
OG0000990	74	74
OG0000991	73	73
OG0000992	27	17
OG0000993	42	39
OG0000994	29	24
OG0000995	37	28
OG0000996	37	28
OG0000997	40	32
OG0000998	38	33
OG0000999	30	26
OG0001000	33	28
OG0001001	34	31
OG0001002	36	31
OG0001003	45	41
OG0001004	35	32
OG0001005	40	34
OG0001006	23	20
OG0001007	36	30
OG0001008	36	27
OG0001009	29	19
OG0001010	52	47
OG0001011	41	38
OG0001012	30	27
OG0001013	31	24
OG0001014	56	47
