Orthogroup	BRAFL	XENTR
OG0000012	bflo_14731, bflo_13607, bflo_24594	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	XENTR12243
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	XENTR09521
OG0000014	bflo_04326, bflo_04339, bflo_04331	XENTR09147, XENTR00681
OG0000014	bflo_06816	XENTR14500
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	XENTR10336, XENTR08668, XENTR08442
OG0000015	bflo_14872	XENTR15573, XENTR12597, XENTR03461, XENTR00415
OG0000015	bflo_14874	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	XENTR13566, XENTR03288, XENTR15069
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	XENTR01362, XENTR01363, XENTR07382
OG0000016	bflo_12769	XENTR17802
OG0000016	bflo_20387	XENTR18390
OG0000018	bflo_08031	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000019	bflo_04872, bflo_04871	XENTR14707
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005
OG0000019	bflo_26518, bflo_26519, bflo_04870	XENTR07225, XENTR02749, XENTR04194
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	XENTR03535
OG0000020	bflo_12668	XENTR09200
OG0000020	bflo_19465	XENTR18565
OG0000020	bflo_17473, bflo_27211	XENTR14576
OG0000020	bflo_24908	XENTR00311
OG0000020	bflo_12267	XENTR13299
OG0000020	bflo_11497	XENTR15741
OG0000020	bflo_01316, bflo_26255, bflo_05601	XENTR07596
OG0000020	bflo_24504, bflo_09206, bflo_24474	XENTR04090
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	XENTR15461, XENTR03248
OG0000020	bflo_16368	XENTR04697
OG0000020	bflo_14118	XENTR07864, XENTR11783
OG0000020	bflo_14450	XENTR15846
OG0000020	bflo_00687	XENTR15636
OG0000021	bflo_11723	XENTR17791, XENTR16377
OG0000021	bflo_11166, bflo_11165, bflo_11164	XENTR11123, XENTR16378
OG0000021	bflo_12821	XENTR12641, XENTR02936
OG0000021	bflo_20935	XENTR18096, XENTR01150
OG0000021	bflo_27402, bflo_22537	XENTR13705
OG0000021	bflo_22539, bflo_22305	XENTR13394, XENTR13393
OG0000021	bflo_14957, bflo_14617, bflo_14568	XENTR00007
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	XENTR13780, XENTR17333
OG0000023	bflo_10816, bflo_10061	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	XENTR00841
OG0000023	bflo_20456	XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	bflo_20896	XENTR04037
OG0000023	bflo_10033, bflo_02724, bflo_02807	XENTR05209, XENTR05210
OG0000026	bflo_26853, bflo_07376	XENTR07244, XENTR03079
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	bflo_15045	XENTR03481
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	XENTR17263
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	XENTR18279, XENTR05325
OG0000028	bflo_06498, bflo_18107	XENTR05326, XENTR17548, XENTR15539, XENTR18293
OG0000028	bflo_25761, bflo_19766, bflo_19099	XENTR17549, XENTR05379, XENTR05378
OG0000028	bflo_06341	XENTR10277, XENTR06737
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	XENTR11755, XENTR10534
OG0000030	bflo_05230	XENTR08639
OG0000030	bflo_25955	XENTR14147
OG0000031	bflo_02624	XENTR05405, XENTR03766
OG0000031	bflo_02501	XENTR08553, XENTR05384, XENTR03164
OG0000031	bflo_02849	XENTR03163
OG0000031	bflo_25562	XENTR09319
OG0000031	bflo_06369	XENTR00229
OG0000031	bflo_11397	XENTR02595, XENTR11133
OG0000031	bflo_15458	XENTR12584, XENTR00918
OG0000031	bflo_15459	XENTR00917, XENTR11778
OG0000031	bflo_02405	XENTR09425
OG0000032	bflo_12824, bflo_01429	XENTR06599
OG0000032	bflo_23561, bflo_23038, bflo_01635	XENTR17016
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	XENTR03433
OG0000034	bflo_20326	XENTR14967, XENTR08246, XENTR04943
OG0000034	bflo_03308, bflo_13145	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	bflo_05871	XENTR15456
OG0000034	bflo_03310	XENTR10156
OG0000034	bflo_07712, bflo_08443	XENTR16254
OG0000034	bflo_03379	XENTR08340
OG0000035	bflo_02157	XENTR05239
OG0000035	bflo_10385	XENTR07648
OG0000035	bflo_09462	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	bflo_09767, bflo_09277	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	bflo_10386	XENTR13293, XENTR09857
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	XENTR16945, XENTR13571, XENTR05152
OG0000036	bflo_13764, bflo_12886	XENTR07761
OG0000036	bflo_13765, bflo_13767, bflo_03188	XENTR12415, XENTR07272
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	XENTR01038, XENTR15969
OG0000036	bflo_12806, bflo_12805	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	bflo_18550, bflo_02879	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
