Orthogroup	BRAFL	ASTMX
OG0000031	bflo_02405	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000032	bflo_12824, bflo_01429	ASTMX08687, ASTMX18764
OG0000032	bflo_23561, bflo_23038, bflo_01635	ASTMX06705
OG0000034	bflo_20326	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519
OG0000034	bflo_03308, bflo_13145	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	bflo_05871	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	bflo_03310	ASTMX12428, ASTMX02190
OG0000034	bflo_07712, bflo_08443	ASTMX01548
OG0000034	bflo_03379	ASTMX02136
OG0000035	bflo_02157	ASTMX17732
OG0000035	bflo_10385	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	bflo_09462	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	bflo_09767, bflo_09277	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	bflo_10386	ASTMX15321, ASTMX20966
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	ASTMX05584, ASTMX00843
OG0000036	bflo_13764, bflo_12886	ASTMX18592
OG0000036	bflo_13765, bflo_13767, bflo_03188	ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	ASTMX18312, ASTMX10284
OG0000036	bflo_12806, bflo_12805	ASTMX01338, ASTMX03570
OG0000037	bflo_18550, bflo_02879	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	bflo_10999	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	bflo_01343, bflo_01342	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	bflo_10180	ASTMX03275
OG0000038	bflo_16788	ASTMX05291
OG0000038	bflo_18855	ASTMX12685, ASTMX17002
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	ASTMX16971
OG0000039	bflo_15832	ASTMX10108, ASTMX07819
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	bflo_05956	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	ASTMX00117, ASTMX11615
OG0000043	bflo_19214	ASTMX09533
OG0000044	bflo_07748	ASTMX07618
OG0000044	bflo_21420, bflo_01236, bflo_12257	ASTMX17555
OG0000045	bflo_20899, bflo_17244	ASTMX14022
OG0000045	bflo_03910	ASTMX10022, ASTMX03368
OG0000046	bflo_09128, bflo_05621	ASTMX22281
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167
OG0000048	bflo_15152	ASTMX04189
OG0000048	bflo_07462	ASTMX03384
OG0000048	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902	ASTMX04258, ASTMX18409
OG0000048	bflo_17669	ASTMX15600
OG0000048	bflo_20353	ASTMX04570
OG0000048	bflo_12849	ASTMX00590
OG0000049	bflo_17665	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	bflo_12099	ASTMX00928, ASTMX08370, ASTMX07196
OG0000049	bflo_12470, bflo_11081	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786
OG0000050	bflo_08634, bflo_13204, bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319, bflo_19224, bflo_04911, bflo_10993, bflo_19823, bflo_03294, bflo_04702, bflo_13685	ASTMX16561
OG0000051	bflo_18195, bflo_17371	ASTMX02511
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	ASTMX12784
OG0000054	bflo_10477	ASTMX21203
OG0000054	bflo_04388	ASTMX04679
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	ASTMX05759
OG0000055	bflo_23317	ASTMX17485
OG0000055	bflo_23399	ASTMX22616
OG0000056	bflo_12398	ASTMX17742
OG0000056	bflo_25516	ASTMX01590, ASTMX01617
OG0000056	bflo_15952	ASTMX18310
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000058	bflo_09194	ASTMX10002
OG0000058	bflo_23140	ASTMX01061
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000058	bflo_23048, bflo_23141	ASTMX12315
OG0000059	bflo_15172	ASTMX11234, ASTMX03699
OG0000059	bflo_21855	ASTMX20918
OG0000059	bflo_13996, bflo_14747	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	bflo_01659, bflo_06661	ASTMX04292, ASTMX07603
OG0000060	bflo_01384	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	bflo_18545	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746
