Orthogroup	BRAFL	PFLAV
OG0000020	bflo_18684	TCONS_00056690.p1
OG0000020	bflo_14450	TCONS_00042754.p1
OG0000020	bflo_00687	TCONS_00019367.p1
OG0000020	bflo_14415	TCONS_00041844.p1
OG0000021	bflo_07173	TCONS_00025493.p1
OG0000021	bflo_12821	TCONS_00007765.p1
OG0000021	bflo_20935	TCONS_00006555.p1
OG0000021	bflo_20505, bflo_09681	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	TCONS_00016243.p1
OG0000021	bflo_14957, bflo_14617, bflo_14568	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	bflo_10816, bflo_10061	TCONS_00026137.p1
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456	TCONS_00004930.p1
OG0000023	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042	TCONS_00029827.p1
OG0000026	bflo_21516, bflo_21519, bflo_21523	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	bflo_10397	TCONS_00023710.p2, TCONS_00008676.p1, TCONS_00055402.p1, TCONS_00042664.p1, TCONS_00023054.p1, TCONS_00050387.p1
OG0000026	bflo_26853, bflo_07376	TCONS_00017322.p1
OG0000026	bflo_11818	TCONS_00046715.p1, TCONS_00035568.p1
