Orthogroup	BRAFL	HUMAN
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115, HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	bflo_14731, bflo_13607, bflo_24594	HUMAN11190
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	HUMAN11875, HUMAN11876
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	HUMAN03416
OG0000014	bflo_18525, bflo_05141	HUMAN01394
OG0000014	bflo_04326, bflo_04339, bflo_04331	HUMAN25476, HUMAN30053
OG0000014	bflo_06816	HUMAN13227
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	HUMAN24211, HUMAN00090
OG0000015	bflo_14872	HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	bflo_14874	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	bflo_12769	HUMAN25103
OG0000016	bflo_20387	HUMAN06120, HUMAN04223
OG0000019	bflo_04871	HUMAN06384
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000019	bflo_26518, bflo_26519, bflo_04870	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	HUMAN22980
OG0000020	bflo_12668	HUMAN26158
OG0000020	bflo_19465	HUMAN12659
OG0000020	bflo_19726	HUMAN26061
OG0000020	bflo_17473, bflo_27211	HUMAN08344
OG0000020	bflo_24908	HUMAN00926
OG0000020	bflo_12267	HUMAN02350, HUMAN02349
OG0000020	bflo_11497	HUMAN28205
OG0000020	bflo_01316, bflo_26255, bflo_05601	HUMAN16669
OG0000020	bflo_24504, bflo_09206, bflo_24474	HUMAN00163
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	HUMAN05209, HUMAN21854
OG0000020	bflo_16368	HUMAN02145
OG0000020	bflo_14118	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	bflo_07448	HUMAN23847
OG0000020	bflo_14450	HUMAN22639
OG0000020	bflo_00687	HUMAN20816
OG0000021	bflo_11723	HUMAN20500
OG0000021	bflo_11166, bflo_11165, bflo_11164	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499
OG0000021	bflo_12821	HUMAN11054, HUMAN23166
OG0000021	bflo_20935	HUMAN12331
OG0000021	bflo_27402, bflo_22537	HUMAN04273
OG0000021	bflo_22539, bflo_22305	HUMAN30251
OG0000021	bflo_14957, bflo_14617, bflo_14568	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	HUMAN24068
OG0000023	bflo_10816, bflo_10061	HUMAN03767
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	HUMAN19878, HUMAN19879
OG0000023	bflo_20456	HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	bflo_20896	HUMAN12427
OG0000023	bflo_10033, bflo_02724, bflo_02807	HUMAN06585, HUMAN06584
OG0000023	bflo_20954	HUMAN11130
OG0000026	bflo_21516, bflo_21519, bflo_21523	HUMAN00402
OG0000026	bflo_26853, bflo_07376	HUMAN07669, HUMAN21745
OG0000026	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823, bflo_06473, bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780	HUMAN26724, HUMAN26725
