Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
OG0050449	AENJA_01758																							
OG0050450	AENJA_01761																							
OG0050451	AENJA_01763																							
OG0050452	AENJA_01772																							
OG0050453	AENJA_01773																							
OG0050454	AENJA_01798																							
OG0050455	AENJA_01801																							
OG0050456	AENJA_01803																							
OG0050457	AENJA_01805																							
OG0050458	AENJA_01814																							
OG0050459	AENJA_01823																							
OG0050460	AENJA_01830																							
OG0050461	AENJA_01836																							
OG0050462	AENJA_01843																							
OG0050463	AENJA_01846																							
OG0050464	AENJA_01847																							
OG0050465	AENJA_01856																							
OG0050466	AENJA_01877																							
OG0050467	AENJA_01883																							
OG0050468	AENJA_01892																							
OG0050469	AENJA_01893																							
OG0050470	AENJA_01895																							
OG0050471	AENJA_01896																							
OG0050472	AENJA_01897																							
OG0050473	AENJA_01909																							
OG0050474	AENJA_01911																							
OG0050475	AENJA_01912																							
OG0050476	AENJA_01935																							
OG0050477	AENJA_01942																							
OG0050478	AENJA_01943																							
OG0050479	AENJA_01953																							
OG0050480	AENJA_01965																							
OG0050481	AENJA_01974																							
OG0050482	AENJA_01980																							
OG0050483	AENJA_01982																							
OG0050484	AENJA_01984																							
OG0050485	AENJA_01985																							
OG0050486	AENJA_01991																							
OG0050487	AENJA_02004																							
OG0050488	AENJA_02016																							
OG0050489	AENJA_02042																							
OG0050490	AENJA_02044																							
OG0050491	AENJA_02048																							
OG0050492	AENJA_02068																							
OG0050493	AENJA_02073																							
OG0050494	AENJA_02082																							
OG0050495	AENJA_02083																							
OG0050496	AENJA_02084																							
OG0050497	AENJA_02101																							
OG0050498	AENJA_02112																							
OG0050499	AENJA_02119																							
OG0050500	AENJA_02130																							
OG0050501	AENJA_02148																							
OG0050502	AENJA_02156																							
OG0050503	AENJA_02174																							
OG0050504	AENJA_02176																							
OG0050505	AENJA_02192																							
OG0050506	AENJA_02193																							
OG0050507	AENJA_02194																							
OG0050508	AENJA_02200																							
OG0050509	AENJA_02222																							
OG0050510	AENJA_02230																							
OG0050511	AENJA_02237																							
OG0050512	AENJA_02245																							
OG0050513	AENJA_02251																							
OG0050514	AENJA_02255																							
OG0050515	AENJA_02256																							
OG0050516	AENJA_02271																							
OG0050517	AENJA_02288																							
OG0050518	AENJA_02294																							
OG0050519	AENJA_02298																							
OG0050520	AENJA_02319																							
OG0050521	AENJA_02320																							
OG0050522	AENJA_02332																							
OG0050523	AENJA_02337																							
OG0050524	AENJA_02341																							
OG0050525	AENJA_02346																							
OG0050526	AENJA_02351																							
OG0050527	AENJA_02357																							
OG0050528	AENJA_02367																							
OG0050529	AENJA_02387																							
OG0050530	AENJA_02392																							
OG0050531	AENJA_02424																							
OG0050532	AENJA_02427																							
OG0050533	AENJA_02433																							
OG0050534	AENJA_02459																							
OG0050535	AENJA_02465																							
OG0050536	AENJA_02480																							
OG0050537	AENJA_02483																							
OG0050538	AENJA_02485																							
OG0050539	AENJA_02488																							
OG0050540	AENJA_02489																							
OG0050541	AENJA_02490																							
