Orthogroup	SACKO_ok	DANRE
OG0000007	SACKO_15694	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	SACKO_22717	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	SACKO_04591	DANRE21702
OG0000007	SACKO_00920	DANRE03039
OG0000007	SACKO_27771	DANRE08320, DANRE33659
OG0000007	SACKO_27817	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	SACKO_00927	DANRE30028, DANRE03038, DANRE28801
OG0000007	SACKO_02233	DANRE30495, DANRE03657, DANRE03658
OG0000007	SACKO_31102, SACKO_31073	DANRE02453, DANRE09326, DANRE09325
OG0000007	SACKO_11981	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	SACKO_05714, SACKO_03429	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188
OG0000010	SACKO_30054	DANRE21309, DANRE21308
OG0000010	SACKO_31740	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	DANRE38177, DANRE38176
OG0000012	SACKO_01736	DANRE12655, DANRE12656, DANRE12659
OG0000014	SACKO_10784, SACKO_10786	DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816
OG0000014	SACKO_33738, SACKO_26423, SACKO_26460	DANRE40391
OG0000014	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001	DANRE11197, DANRE03296
OG0000014	SACKO_13283	DANRE17251, DANRE43403
OG0000015	SACKO_31697	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946	DANRE35611
OG0000016	SACKO_11717, SACKO_14898	DANRE02012
OG0000016	SACKO_26527	DANRE13447
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	SACKO_25250	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138
OG0000018	SACKO_21669, SACKO_17074, SACKO_20752	DANRE13954, DANRE13946
OG0000019	SACKO_05035	DANRE41681
OG0000019	SACKO_23880	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	SACKO_22951	DANRE10827, DANRE10826, DANRE10743
OG0000020	SACKO_08732	DANRE40536
OG0000020	SACKO_21519	DANRE42755
