Orthogroup	CAEEL	PFLAV
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	CAEEL20493	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	CAEEL18647	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1, TCONS_00022184.p1
OG0000019	CAEEL15403	TCONS_00042378.p1
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1, TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000020	CAEEL07399	TCONS_00044902.p1
OG0000020	CAEEL00627	TCONS_00016378.p1
OG0000020	CAEEL05927	TCONS_00051401.p1, TCONS_00031077.p1
OG0000020	CAEEL13362	TCONS_00042754.p1
OG0000020	CAEEL09273	TCONS_00019367.p1
OG0000021	CAEEL00422	TCONS_00006555.p1
OG0000021	CAEEL00784, CAEEL15377	TCONS_00016243.p1
OG0000026	CAEEL09711	TCONS_00052076.p1
OG0000027	CAEEL17825	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1, TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	TCONS_00029777.p1, TCONS_00029776.p1
OG0000028	CAEEL19515, CAEEL07887	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1
OG0000029	CAEEL20320	TCONS_00004006.p1
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	TCONS_00019673.p1
OG0000030	CAEEL04353	TCONS_00014295.p1, TCONS_00013116.p1, TCONS_00044665.p1, TCONS_00044667.p1, TCONS_00044691.p1, TCONS_00045784.p1
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	TCONS_00000713.p1, TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1, TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1, TCONS_00009202.p1, TCONS_00027726.p1, TCONS_00021382.p1, TCONS_00042392.p1
OG0000031	CAEEL02023	TCONS_00003900.p1
OG0000031	CAEEL04718	TCONS_00028162.p1
OG0000031	CAEEL07076	TCONS_00041599.p1
OG0000032	CAEEL19615	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	TCONS_00045890.p1, TCONS_00018770.p1, TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1
OG0000034	CAEEL20539	TCONS_00007418.p1
OG0000034	CAEEL07900	TCONS_00005924.p1
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	CAEEL01132	TCONS_00029638.p1
OG0000034	CAEEL03140, CAEEL03141	TCONS_00037982.p1
OG0000035	CAEEL01943	TCONS_00003567.p1
OG0000035	CAEEL20458	TCONS_00024093.p1
OG0000036	CAEEL15057	TCONS_00008906.p1
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	TCONS_00007681.p1
OG0000037	CAEEL17629, CAEEL17628	TCONS_00011218.p1
OG0000037	CAEEL20275	TCONS_00017535.p1
OG0000037	CAEEL09012, CAEEL08645	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000038	CAEEL05762	TCONS_00000411.p1
OG0000039	CAEEL00466	TCONS_00003433.p1
OG0000039	CAEEL18993	TCONS_00014910.p1
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	TCONS_00025139.p1, TCONS_00025138.p1, TCONS_00024189.p1
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747	TCONS_00025634.p1
OG0000041	CAEEL05494	TCONS_00024462.p1
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	TCONS_00046856.p1
OG0000043	CAEEL15122	TCONS_00036845.p1, TCONS_00036842.p1, TCONS_00036799.p1, TCONS_00036798.p1, TCONS_00039106.p1, TCONS_00039145.p1, TCONS_00039154.p1, TCONS_00039124.p1, TCONS_00024599.p1, TCONS_00013606.p1, TCONS_00056508.p1, TCONS_00036784.p1, TCONS_00055304.p1, TCONS_00012803.p1, TCONS_00012796.p1
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	TCONS_00038566.p1
OG0000044	CAEEL08025	TCONS_00027682.p1, TCONS_00009754.p1
OG0000046	CAEEL00059	TCONS_00040329.p1
OG0000046	CAEEL08281	TCONS_00020120.p1
OG0000049	CAEEL02028	TCONS_00002242.p1
OG0000049	CAEEL19631	TCONS_00047284.p1
OG0000049	CAEEL10349	TCONS_00047286.p1
OG0000051	CAEEL18565	TCONS_00023644.p1, TCONS_00031164.p1, TCONS_00031165.p1, TCONS_00030978.p1, TCONS_00030216.p1, TCONS_00030215.p1, TCONS_00030214.p1, TCONS_00031453.p1, TCONS_00035487.p1, TCONS_00035491.p1, TCONS_00035489.p1, TCONS_00035490.p1, TCONS_00035488.p1, TCONS_00035496.p1, TCONS_00035494.p1, TCONS_00035497.p1, TCONS_00035492.p1, TCONS_00035493.p1, TCONS_00035495.p1, TCONS_00031319.p1, TCONS_00030584.p1, TCONS_00030586.p1, TCONS_00030585.p1, TCONS_00030581.p1, TCONS_00030472.p1, TCONS_00046204.p1, TCONS_00022788.p1
OG0000051	CAEEL09464	TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	TCONS_00030209.p1
OG0000055	CAEEL14858	TCONS_00039362.p1
OG0000056	CAEEL05273	TCONS_00053166.p1, TCONS_00054244.p1, TCONS_00053454.p1
OG0000058	CAEEL06550	TCONS_00026611.p1
OG0000058	CAEEL09297	TCONS_00012346.p1, TCONS_00013510.p1, TCONS_00037525.p1, TCONS_00012341.p1, TCONS_00012353.p1, TCONS_00013041.p1, TCONS_00013052.p1, TCONS_00013527.p1
OG0000059	CAEEL08332	TCONS_00042819.p1
OG0000060	CAEEL08516	TCONS_00048146.p1
OG0000060	CAEEL20840	TCONS_00017793.p1
OG0000061	CAEEL08422	TCONS_00055666.p1
OG0000061	CAEEL07898	TCONS_00055888.p1, TCONS_00055889.p1, TCONS_00057079.p1
OG0000061	CAEEL20509	TCONS_00016639.p1
OG0000062	CAEEL02955	TCONS_00007265.p1
OG0000063	CAEEL04400	TCONS_00052796.p1, TCONS_00052765.p1
OG0000066	CAEEL18679	TCONS_00020095.p1
OG0000066	CAEEL20109	TCONS_00050412.p1, TCONS_00045736.p1, TCONS_00028739.p1, TCONS_00051521.p1, TCONS_00048274.p1, TCONS_00053196.p1, TCONS_00008755.p1
OG0000067	CAEEL19271	TCONS_00052831.p1, TCONS_00016617.p1, TCONS_00016615.p1, TCONS_00016614.p1, TCONS_00016616.p1, TCONS_00015534.p1, TCONS_00016599.p1, TCONS_00016620.p1, TCONS_00016623.p1, TCONS_00041015.p1, TCONS_00041022.p1, TCONS_00041024.p1, TCONS_00041018.p1, TCONS_00024487.p1, TCONS_00023611.p1, TCONS_00023564.p1, TCONS_00023563.p1, TCONS_00023610.p1, TCONS_00023562.p1, TCONS_00010696.p1, TCONS_00025037.p1
OG0000068	CAEEL09504	TCONS_00047952.p1, TCONS_00048468.p1
OG0000068	CAEEL06439	TCONS_00032290.p1, TCONS_00048486.p1, TCONS_00019023.p1, TCONS_00019022.p1, TCONS_00019987.p1, TCONS_00048483.p1, TCONS_00048484.p1, TCONS_00048485.p1, TCONS_00047469.p1, TCONS_00048478.p1, TCONS_00048886.p1, TCONS_00047418.p1, TCONS_00048610.p1, TCONS_00047478.p1, TCONS_00047474.p1, TCONS_00047479.p1, TCONS_00048467.p1, TCONS_00048482.p1, TCONS_00047489.p1, TCONS_00047482.p1, TCONS_00056394.p1, TCONS_00046150.p1, TCONS_00048471.p1, TCONS_00048472.p1, TCONS_00047470.p1, TCONS_00047471.p1, TCONS_00047476.p1, TCONS_00047473.p1, TCONS_00032288.p1, TCONS_00048475.p1, TCONS_00048474.p1, TCONS_00032289.p1, TCONS_00048479.p1, TCONS_00047480.p1, TCONS_00047475.p1, TCONS_00032285.p1, TCONS_00048481.p1, TCONS_00048470.p1, TCONS_00047483.p1, TCONS_00048536.p1
OG0000069	CAEEL14766	TCONS_00047572.p1
OG0000070	CAEEL19861	TCONS_00012875.p1, TCONS_00011728.p1, TCONS_00048824.p1, TCONS_00013275.p1
OG0000071	CAEEL11416, CAEEL01923, CAEEL10649, CAEEL04912, CAEEL09257, CAEEL12747	TCONS_00008391.p1
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	TCONS_00010660.p1, TCONS_00009764.p1, TCONS_00022979.p1
OG0000072	CAEEL07368	TCONS_00042083.p1, TCONS_00042087.p1
OG0000075	CAEEL03008	TCONS_00050627.p1
OG0000075	CAEEL11367	TCONS_00049564.p1
OG0000075	CAEEL11291	TCONS_00049562.p1, TCONS_00049274.p1
OG0000077	CAEEL01559	TCONS_00026489.p1
OG0000077	CAEEL18883	TCONS_00026413.p1
OG0000077	CAEEL06904	TCONS_00055904.p1, TCONS_00057132.p1
OG0000077	CAEEL18420	TCONS_00027831.p1
OG0000077	CAEEL20549, CAEEL20548	TCONS_00026409.p1, TCONS_00027084.p1
OG0000079	CAEEL07248	TCONS_00006803.p1
OG0000082	CAEEL18954, CAEEL04897	TCONS_00014773.p1, TCONS_00001034.p1
OG0000082	CAEEL13927	TCONS_00026781.p1
OG0000082	CAEEL12687	TCONS_00020512.p1, TCONS_00020502.p1, TCONS_00020508.p1, TCONS_00020507.p1, TCONS_00020510.p1, TCONS_00020504.p1, TCONS_00020506.p1, TCONS_00019234.p1
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	TCONS_00056464.p1, TCONS_00055288.p1, TCONS_00000360.p1
OG0000084	CAEEL10610, CAEEL18185	TCONS_00026379.p1, TCONS_00026843.p1, TCONS_00026055.p1
OG0000084	CAEEL10264	TCONS_00030689.p1, TCONS_00030688.p1
OG0000084	CAEEL10989	TCONS_00021134.p1, TCONS_00030129.p1, TCONS_00030431.p1, TCONS_00021133.p1, TCONS_00021139.p1, TCONS_00021138.p1, TCONS_00031287.p1, TCONS_00030603.p1, TCONS_00031458.p1, TCONS_00021496.p1, TCONS_00031129.p1, TCONS_00030866.p1, TCONS_00031443.p1, TCONS_00045090.p1, TCONS_00030687.p1
OG0000084	CAEEL20634	TCONS_00030090.p1
OG0000084	CAEEL08514, CAEEL10452	TCONS_00030964.p1, TCONS_00030200.p1, TCONS_00030965.p1, TCONS_00030201.p1
OG0000085	CAEEL06909	TCONS_00018803.p1
OG0000085	CAEEL03085	TCONS_00008648.p1
OG0000085	CAEEL08077	TCONS_00005387.p1
OG0000090	CAEEL18451	TCONS_00015053.p1
OG0000090	CAEEL10114	TCONS_00042349.p1, TCONS_00052866.p1, TCONS_00018027.p1, TCONS_00018023.p1, TCONS_00018025.p1, TCONS_00018021.p1, TCONS_00016984.p1, TCONS_00018863.p1, TCONS_00046157.p1, TCONS_00033798.p1, TCONS_00043811.p1, TCONS_00043809.p1, TCONS_00042124.p1, TCONS_00051024.p1, TCONS_00025326.p1, TCONS_00009994.p1, TCONS_00009992.p1, TCONS_00000343.p1, TCONS_00021893.p1, TCONS_00056910.p1, TCONS_00055752.p1, TCONS_00006837.p1, TCONS_00055753.p1
OG0000094	CAEEL10719	TCONS_00049669.p1, TCONS_00014948.p1
OG0000094	CAEEL18425	TCONS_00014949.p1
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	TCONS_00011463.p1, TCONS_00011458.p1, TCONS_00009998.p1, TCONS_00009997.p1, TCONS_00015954.p1, TCONS_00012113.p1, TCONS_00010510.p1, TCONS_00010103.p1, TCONS_00011887.p1, TCONS_00049323.p1, TCONS_00049326.p1, TCONS_00048863.p1, TCONS_00049325.p1, TCONS_00049322.p1, TCONS_00025470.p1, TCONS_00010507.p1, TCONS_00011888.p1, TCONS_00010505.p1, TCONS_00010506.p1, TCONS_00011459.p1, TCONS_00011460.p1, TCONS_00011644.p1, TCONS_00011645.p1
OG0000095	CAEEL03536	TCONS_00011646.p1
OG0000096	CAEEL16555	TCONS_00020855.p1
OG0000096	CAEEL11088	TCONS_00048858.p1
OG0000096	CAEEL08533	TCONS_00020336.p1
OG0000096	CAEEL11776	TCONS_00015544.p1
OG0000096	CAEEL06051	TCONS_00036087.p1
OG0000096	CAEEL07422	TCONS_00056616.p1
OG0000098	CAEEL01602	TCONS_00040248.p1, TCONS_00014556.p1
