Orthogroup	CAEEL	ORYLA
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	ORYLA12571
OG0000037	CAEEL17629, CAEEL17628	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	CAEEL03654, CAEEL20275	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	CAEEL09012, CAEEL08645	ORYLA04725
OG0000038	CAEEL05762	ORYLA16179
OG0000038	CAEEL07106	ORYLA08393, ORYLA09754
OG0000039	CAEEL01773	ORYLA15984, ORYLA18454, ORYLA16125
OG0000039	CAEEL00466	ORYLA16124
OG0000039	CAEEL18993	ORYLA05812, ORYLA00801, ORYLA00802
OG0000041	CAEEL19747	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677
OG0000041	CAEEL05494	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	ORYLA05174
OG0000049	CAEEL02028	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	CAEEL19631	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	CAEEL10349	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000051	CAEEL09464	ORYLA05117
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	ORYLA00519
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	CAEEL05273	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	ORYLA11895, ORYLA12524, ORYLA19070
OG0000061	CAEEL08422	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000062	CAEEL02955	ORYLA10585, ORYLA11804
OG0000063	CAEEL05773	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	CAEEL04400	ORYLA14082, ORYLA04940, ORYLA08134
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272
OG0000066	CAEEL20109	ORYLA06398
OG0000068	CAEEL09504	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852
OG0000070	CAEEL06499	ORYLA16519, ORYLA20376
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	ORYLA02280, ORYLA18954
OG0000072	CAEEL07368	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000073	CAEEL07620	ORYLA20002
OG0000075	CAEEL03008	ORYLA05870, ORYLA14226
OG0000075	CAEEL11367	ORYLA11054, ORYLA15824
OG0000075	CAEEL11291	ORYLA14687, ORYLA10924, ORYLA15926, ORYLA19688
OG0000077	CAEEL01559	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	CAEEL18883	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	CAEEL06904	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000079	CAEEL18822	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	CAEEL07248	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726, ORYLA17895
OG0000082	CAEEL18954, CAEEL04897	ORYLA02580
OG0000082	CAEEL13927	ORYLA01470
OG0000082	CAEEL12687	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560
OG0000084	CAEEL10610, CAEEL18185	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000084	CAEEL08514, CAEEL10452	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505
OG0000085	CAEEL06909	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	CAEEL07542	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	CAEEL03085	ORYLA06168
OG0000085	CAEEL08077	ORYLA17935
OG0000090	CAEEL18451	ORYLA02080, ORYLA06082
OG0000090	CAEEL10114	ORYLA01746, ORYLA06194
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359	ORYLA02531
OG0000094	CAEEL10719	ORYLA14179, ORYLA15729, ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	CAEEL18425	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000095	CAEEL03536	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687
OG0000096	CAEEL16555	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	CAEEL11088	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	CAEEL08533	ORYLA13747, ORYLA08870
OG0000096	CAEEL11776	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	CAEEL06051	ORYLA12353, ORYLA17186
OG0000096	CAEEL07422	ORYLA10017
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	CAEEL07999, CAEEL08340	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343
OG0000099	CAEEL05000, CAEEL01295	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	CAEEL01469, CAEEL18445	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	CAEEL04070	ORYLA03680, ORYLA06072
