Orthogroup	CAEEL	NEMVE
OG0000015	CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220
OG0000015	CAEEL09145	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	CAEEL20493	NEMVE10959
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894
OG0000016	CAEEL18647	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763, NEMVE00914, NEMVE01462, NEMVE08573
OG0000019	CAEEL15403	NEMVE06549
OG0000019	CAEEL04672	NEMVE15392
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000020	CAEEL00627	NEMVE14211, NEMVE09336, NEMVE05506
OG0000020	CAEEL05927	NEMVE13577, NEMVE13307
OG0000020	CAEEL13362	NEMVE21746
OG0000020	CAEEL09273	NEMVE13092
OG0000021	CAEEL08491, CAEEL00422	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	CAEEL00784, CAEEL15377, CAEEL19483	NEMVE04837
OG0000023	CAEEL20104	NEMVE08792
OG0000023	CAEEL06641	NEMVE18254
OG0000026	CAEEL09711	NEMVE11230, NEMVE18197, NEMVE11570
OG0000027	CAEEL17825	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	CAEEL19515, CAEEL07887	NEMVE06026, NEMVE05984
OG0000029	CAEEL11851	NEMVE03602
OG0000029	CAEEL20612	NEMVE01722, NEMVE08343
OG0000030	CAEEL20774	NEMVE06254
OG0000030	CAEEL04353	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	NEMVE01011, NEMVE09887, NEMVE00264, NEMVE09324, NEMVE09320, NEMVE12294, NEMVE13952, NEMVE02370, NEMVE06265, NEMVE06266, NEMVE00220
OG0000031	CAEEL02023	NEMVE01854, NEMVE06981, NEMVE07223
OG0000031	CAEEL04718	NEMVE01412
OG0000031	CAEEL07076	NEMVE07820
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	NEMVE03085
OG0000034	CAEEL07900	NEMVE17012, NEMVE07311, NEMVE07285
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	NEMVE10927
OG0000034	CAEEL01132	NEMVE10961, NEMVE24294
OG0000034	CAEEL03140, CAEEL03141	NEMVE06675, NEMVE11922, NEMVE10845
OG0000035	CAEEL01943	NEMVE23841
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	CAEEL01091, CAEEL01333, CAEEL05877, CAEEL04684	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564
OG0000037	CAEEL17629, CAEEL17628	NEMVE00865, NEMVE01113
OG0000037	CAEEL03654, CAEEL20275	NEMVE10401
OG0000037	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299	NEMVE15427
OG0000037	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993	NEMVE19686
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	NEMVE09375, NEMVE09383, NEMVE14914, NEMVE14247, NEMVE02046, NEMVE19885, NEMVE00080, NEMVE14245, NEMVE01079, NEMVE17217, NEMVE19524, NEMVE10595, NEMVE14183, NEMVE02048, NEMVE06324, NEMVE09502, NEMVE14493, NEMVE10271, NEMVE22260, NEMVE11520, NEMVE08601, NEMVE05782, NEMVE20551
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792
OG0000041	CAEEL19747	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	CAEEL05494	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	NEMVE05295
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	NEMVE16246, NEMVE14588
OG0000044	CAEEL08025	NEMVE04813, NEMVE09521, NEMVE09195, NEMVE09209, NEMVE18089, NEMVE02473
OG0000048	CAEEL16396	NEMVE05649
OG0000048	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866	NEMVE15061
OG0000049	CAEEL02028, CAEEL19631, CAEEL10349	NEMVE19461, NEMVE02399, NEMVE21864
OG0000051	CAEEL18565	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	CAEEL09464	NEMVE18951, NEMVE15008
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	NEMVE15086, NEMVE10916
OG0000055	CAEEL14858	NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960
OG0000056	CAEEL05273	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	CAEEL04117	NEMVE06803
OG0000058	CAEEL06550	NEMVE13151
OG0000058	CAEEL09297	NEMVE00498
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063, CAEEL20841	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	CAEEL08516	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088
OG0000060	CAEEL20840	NEMVE09694
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	CAEEL02955	NEMVE14126
OG0000063	CAEEL05773	NEMVE05614
OG0000063	CAEEL11408	NEMVE00196
OG0000063	CAEEL04400	NEMVE09684
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	CAEEL18679	NEMVE03297
OG0000066	CAEEL20109	NEMVE00844, NEMVE10387, NEMVE00084, NEMVE10150, NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280, NEMVE09962, NEMVE05315, NEMVE00814, NEMVE17245, NEMVE08381, NEMVE08370, NEMVE09458, NEMVE02340, NEMVE12842, NEMVE06117, NEMVE06114, NEMVE05618, NEMVE02346, NEMVE08126, NEMVE06588, NEMVE02344, NEMVE04896, NEMVE07202, NEMVE08935, NEMVE01845, NEMVE02094, NEMVE00829, NEMVE23938, NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053, NEMVE05353, NEMVE08127, NEMVE05161
OG0000066	CAEEL18639	NEMVE04598, NEMVE11961
OG0000067	CAEEL19271	NEMVE09992, NEMVE05352, NEMVE17696, NEMVE13081, NEMVE04875
OG0000068	CAEEL09504, CAEEL06439	NEMVE24661, NEMVE20048
OG0000069	CAEEL14766	NEMVE14181
OG0000069	CAEEL06233	NEMVE11511
OG0000069	CAEEL07263, CAEEL07262, CAEEL15933, CAEEL19293	NEMVE15092
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	NEMVE13176, NEMVE12607
OG0000070	CAEEL02606	NEMVE23951, NEMVE09231, NEMVE05946
OG0000070	CAEEL07192	NEMVE06972, NEMVE04610
OG0000071	CAEEL11416	NEMVE06891
OG0000071	CAEEL01923, CAEEL10649, CAEEL04912, CAEEL09257, CAEEL12747	NEMVE05393, NEMVE01736
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	NEMVE08129, NEMVE05963, NEMVE00664
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	NEMVE23762, NEMVE04901
OG0000072	CAEEL07368	NEMVE01460
OG0000072	CAEEL06792	NEMVE03097
OG0000072	CAEEL08125	NEMVE00427
OG0000075	CAEEL03008	NEMVE15115
OG0000075	CAEEL11367	NEMVE22411
OG0000075	CAEEL11291	NEMVE17771, NEMVE07707
OG0000076	CAEEL18418	NEMVE08305, NEMVE12095
OG0000077	CAEEL01559, CAEEL18189, CAEEL18776, CAEEL19129, CAEEL09803, CAEEL18697, CAEEL18883, CAEEL06904, CAEEL18420, CAEEL20549, CAEEL20548	NEMVE04990
OG0000078	CAEEL18404	NEMVE20033
OG0000079	CAEEL18822, CAEEL09849	NEMVE07219, NEMVE03189
OG0000079	CAEEL10489	NEMVE02220
OG0000079	CAEEL07248	NEMVE08009
OG0000082	CAEEL18954, CAEEL04897	NEMVE19066
OG0000082	CAEEL13927	NEMVE05388
OG0000082	CAEEL12687	NEMVE14867, NEMVE15134
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	NEMVE22355
OG0000084	CAEEL20634	NEMVE00575
OG0000084	CAEEL08514, CAEEL10452	NEMVE07901
