Orthogroup	CAEEL	SCHMD
OG0000029	CAEEL11851	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	CAEEL03646, CAEEL03801	SCHMD20495, SCHMD12490
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	SCHMD25427
OG0000031	CAEEL02023	SCHMD16950
OG0000031	CAEEL05211, CAEEL02681	SCHMD25186, SCHMD09915
OG0000031	CAEEL07076	SCHMD17865
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	SCHMD05709, SCHMD01866
OG0000034	CAEEL20539	SCHMD11716
OG0000034	CAEEL07900	SCHMD13190, SCHMD26745
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	CAEEL01132	SCHMD04875
OG0000035	CAEEL01943	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	CAEEL04743, CAEEL01696	SCHMD19700
OG0000035	CAEEL19624	SCHMD17446
OG0000036	CAEEL18405, CAEEL11240	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000037	CAEEL17629, CAEEL17628	SCHMD19933
OG0000037	CAEEL03654	SCHMD19522, SCHMD00541
OG0000037	CAEEL20275	SCHMD00542, SCHMD17538
OG0000037	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993	SCHMD03362
OG0000037	CAEEL09012, CAEEL08645	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	CAEEL19549	SCHMD04793, SCHMD13832
OG0000038	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943	SCHMD04461, SCHMD04816, SCHMD04460
OG0000039	CAEEL01485, CAEEL01773, CAEEL00466, CAEEL18993	SCHMD12270
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533
OG0000041	CAEEL05494	SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000043	CAEEL15122	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	SCHMD03626, SCHMD00319, SCHMD06706, SCHMD06550, SCHMD21748
OG0000046	CAEEL08281	SCHMD07994
OG0000048	CAEEL17799	SCHMD19708, SCHMD13779
OG0000049	CAEEL02028	SCHMD02961, SCHMD14840
