Orthogroup	CAEEL	BRALA
OG0000066	CAEEL20109	BRALA01873, BRALA35618, BRALA16563, BRALA21024, BRALA34957, BRALA21025, BRALA29041, BRALA32504, BRALA07717, BRALA26784, BRALA25733, BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971
OG0000067	CAEEL19271	BRALA11195, BRALA18084, BRALA09471, BRALA06501, BRALA06500, BRALA00630
OG0000068	CAEEL09504	BRALA17343
OG0000069	CAEEL14766	BRALA10090, BRALA31904, BRALA27769, BRALA28929
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	BRALA18787
OG0000070	CAEEL02606	BRALA21094
OG0000070	CAEEL07192	BRALA13025
OG0000070	CAEEL19861	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298, BRALA06340
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	BRALA32052, BRALA20842, BRALA32055, BRALA20769
OG0000072	CAEEL07368	BRALA08308
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	BRALA03064
OG0000075	CAEEL03008	BRALA18754
OG0000075	CAEEL11367	BRALA20309
OG0000075	CAEEL11291	BRALA25719, BRALA17324
OG0000077	CAEEL01559	BRALA11472
OG0000077	CAEEL18883	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	CAEEL06904	BRALA35746, BRALA06424
OG0000077	CAEEL18420	BRALA09898
OG0000079	CAEEL18822	BRALA00097
OG0000079	CAEEL07248	BRALA22809
OG0000082	CAEEL18954, CAEEL04897	BRALA23665
OG0000082	CAEEL13927	BRALA23991
OG0000082	CAEEL12687	BRALA10738
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	BRALA12025
OG0000084	CAEEL10610, CAEEL18185	BRALA16357
OG0000084	CAEEL10989	BRALA06698, BRALA06701, BRALA06699
OG0000084	CAEEL20634	BRALA03784
OG0000084	CAEEL08514, CAEEL10452	BRALA27744, BRALA31222
OG0000085	CAEEL06909	BRALA10231
OG0000085	CAEEL07542	BRALA35021
OG0000085	CAEEL03085	BRALA20574
OG0000087	CAEEL16056	BRALA11395
OG0000090	CAEEL18451	BRALA02611
OG0000090	CAEEL10114	BRALA22440, BRALA09731, BRALA16298, BRALA04706
OG0000091	CAEEL01090	BRALA10846
OG0000091	CAEEL16358, CAEEL07359	BRALA26173
OG0000091	CAEEL05045	BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340
OG0000094	CAEEL10719	BRALA34518
OG0000094	CAEEL18425	BRALA09222, BRALA24092
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842
OG0000096	CAEEL16555	BRALA29898, BRALA29897
OG0000096	CAEEL08533	BRALA16859
OG0000096	CAEEL11776	BRALA08595, BRALA28945
OG0000096	CAEEL06051	BRALA02509
OG0000096	CAEEL07422	BRALA24883
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	BRALA09558
OG0000099	CAEEL07999, CAEEL08340	BRALA22450, BRALA22449, BRALA35493
OG0000099	CAEEL05000, CAEEL01295	BRALA15695, BRALA29540, BRALA29541
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033
OG0000104	CAEEL04070	BRALA24676, BRALA24677
OG0000104	CAEEL18800	BRALA26650, BRALA24675, BRALA25097, BRALA25098, BRALA20458, BRALA20457
OG0000106	CAEEL20256	BRALA03306
OG0000106	CAEEL19130, CAEEL20701	BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367
OG0000107	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175	BRALA31407
OG0000110	CAEEL18731, CAEEL15167	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295
OG0000110	CAEEL10319, CAEEL17689	BRALA15143, BRALA30278, BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750
OG0000111	CAEEL12675	BRALA19068
OG0000111	CAEEL20845	BRALA06221, BRALA13079, BRALA13080, BRALA29475, BRALA06649, BRALA13382, BRALA01140, BRALA16920, BRALA06787, BRALA06786, BRALA05323, BRALA06788, BRALA06341, BRALA13026, BRALA06344, BRALA16169, BRALA10270
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149
OG0000114	CAEEL18136	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610
OG0000115	CAEEL05577	BRALA15566
OG0000117	CAEEL08400	BRALA29346
OG0000117	CAEEL10762	BRALA09293, BRALA09216, BRALA25244, BRALA27129, BRALA10321
OG0000117	CAEEL06492	BRALA12964
OG0000117	CAEEL07433	BRALA18688, BRALA13613
OG0000119	CAEEL08480	BRALA06707, BRALA09190
OG0000119	CAEEL08396	BRALA09113, BRALA09057, BRALA09056
OG0000121	CAEEL06288, CAEEL12116	BRALA08310
OG0000122	CAEEL01544	BRALA07001
OG0000124	CAEEL15384, CAEEL15382	BRALA23466
OG0000126	CAEEL08841, CAEEL04611	BRALA11509
OG0000126	CAEEL09101	BRALA11885
OG0000126	CAEEL10194	BRALA21733
OG0000127	CAEEL19207	BRALA35668, BRALA34921
OG0000127	CAEEL20452	BRALA06066
OG0000127	CAEEL00838	BRALA17083
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	BRALA31934, BRALA31933
OG0000129	CAEEL12325	BRALA11658
OG0000129	CAEEL08188	BRALA33036, BRALA19532, BRALA15020, BRALA27240
OG0000131	CAEEL08663	BRALA24562
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	BRALA11245
OG0000137	CAEEL18416, CAEEL11601	BRALA28974, BRALA04537
OG0000137	CAEEL10559	BRALA25430, BRALA25424, BRALA35631, BRALA30028
OG0000140	CAEEL04513	BRALA12989
OG0000147	CAEEL04811	BRALA33037
OG0000148	CAEEL09804	BRALA09428
OG0000153	CAEEL16188	BRALA19462
OG0000157	CAEEL00241	BRALA27057
OG0000159	CAEEL19486	BRALA09776
OG0000159	CAEEL02031	BRALA12258
OG0000159	CAEEL05281	BRALA02682, BRALA07694, BRALA07731, BRALA07711
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	BRALA17752, BRALA19774, BRALA09740, BRALA07274, BRALA19400, BRALA19362, BRALA07285, BRALA07284, BRALA07278, BRALA07280, BRALA33017, BRALA19401, BRALA17753, BRALA19403, BRALA07279, BRALA11586, BRALA07275, BRALA14771
OG0000163	CAEEL08313	BRALA16731, BRALA16733, BRALA16732
OG0000163	CAEEL20194, CAEEL08850	BRALA00110
OG0000164	CAEEL09304	BRALA10317, BRALA22107, BRALA10709, BRALA00277, BRALA10710, BRALA07246, BRALA10864
OG0000164	CAEEL05807	BRALA15645
OG0000165	CAEEL07846	BRALA14596
OG0000167	CAEEL02846	BRALA17123
OG0000168	CAEEL19018	BRALA01020, BRALA13286, BRALA13283
OG0000169	CAEEL15798	BRALA08147, BRALA04305
OG0000171	CAEEL11480	BRALA06721
OG0000172	CAEEL04412	BRALA19684, BRALA24662
OG0000173	CAEEL04156	BRALA05385, BRALA20993, BRALA05388
OG0000174	CAEEL09479	BRALA01909
OG0000175	CAEEL19241	BRALA24671
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	BRALA14699, BRALA14698
OG0000179	CAEEL13640	BRALA13816
OG0000179	CAEEL02965, CAEEL06713	BRALA15064, BRALA15063
OG0000179	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384	BRALA14398, BRALA04244
OG0000179	CAEEL19466, CAEEL07193	BRALA28779
OG0000180	CAEEL06539	BRALA18766
OG0000181	CAEEL07684	BRALA20263
OG0000181	CAEEL10858	BRALA09404
OG0000181	CAEEL10772	BRALA25948
OG0000181	CAEEL12632	BRALA11436
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	BRALA29461, BRALA34386
OG0000183	CAEEL18435	BRALA30657
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	BRALA24349, BRALA24348, BRALA24345, BRALA13027, BRALA24344
OG0000185	CAEEL14200	BRALA20218
OG0000185	CAEEL14122	BRALA17009
OG0000186	CAEEL00795, CAEEL05654	BRALA29207, BRALA31124
OG0000188	CAEEL13361	BRALA31520
OG0000188	CAEEL20699	BRALA03655
OG0000191	CAEEL13368	BRALA12908
OG0000191	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	BRALA03962
OG0000191	CAEEL08724, CAEEL08082	BRALA14176, BRALA32847, BRALA14175
OG0000193	CAEEL18944	BRALA21700
OG0000193	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985	BRALA35297
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	BRALA01750, BRALA01749, BRALA08338, BRALA22184
OG0000197	CAEEL04387	BRALA29466, BRALA29467, BRALA15189, BRALA19566
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	BRALA10218
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	BRALA09031, BRALA09030, BRALA09029
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	BRALA02802, BRALA02803, BRALA02804
OG0000201	CAEEL07587	BRALA14937
OG0000202	CAEEL20283	BRALA31830, BRALA31826
