Orthogroup	CAEEL	APOSC_ok
OG0000032	CAEEL19615	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726, APOSC_11250, APOSC_11249, APOSC_24933
OG0000034	CAEEL07900	APOSC_28767, APOSC_28766
OG0000034	CAEEL13037	APOSC_01056
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	APOSC_00389
OG0000034	CAEEL01132	APOSC_10138
OG0000034	CAEEL03140, CAEEL03141	APOSC_10830
OG0000035	CAEEL01943	APOSC_27035
OG0000035	CAEEL20458	APOSC_16251
OG0000036	CAEEL15057	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	CAEEL17629, CAEEL17628	APOSC_24133
OG0000037	CAEEL20275	APOSC_28740
OG0000037	CAEEL09012, CAEEL08645	APOSC_09580, APOSC_09579
OG0000038	CAEEL05762	APOSC_20988
OG0000038	CAEEL07106	APOSC_25222, APOSC_10656
OG0000039	CAEEL00466	APOSC_22387
OG0000039	CAEEL18993	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747	APOSC_19034
OG0000041	CAEEL05494	APOSC_26184
OG0000044	CAEEL08025	APOSC_11406
OG0000048	CAEEL17799	APOSC_04736, APOSC_11238
OG0000048	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866	APOSC_11343
OG0000049	CAEEL02028	APOSC_16875
OG0000049	CAEEL19631	APOSC_03799
OG0000049	CAEEL10349	APOSC_10378
OG0000051	CAEEL18565	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789
OG0000051	CAEEL09464	APOSC_17477, APOSC_05458, APOSC_29038
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000054	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151	APOSC_12589
OG0000056	CAEEL05273	APOSC_00208, APOSC_00207, APOSC_00209
OG0000058	CAEEL06550	APOSC_09888
OG0000058	CAEEL09297	APOSC_12335, APOSC_12752, APOSC_07162, APOSC_24215, APOSC_12336
OG0000059	CAEEL08332	APOSC_17410
OG0000061	CAEEL08422	APOSC_14996
OG0000061	CAEEL07898	APOSC_22657, APOSC_15254
OG0000061	CAEEL20509	APOSC_00372
OG0000062	CAEEL02955	APOSC_18486, APOSC_01084
OG0000063	CAEEL05773	APOSC_25041
OG0000063	CAEEL04400	APOSC_13886, APOSC_04832
OG0000066	CAEEL20109	APOSC_13619, APOSC_03780, APOSC_14672, APOSC_14673, APOSC_20821, APOSC_10537, APOSC_19939, APOSC_15688
