source	target	weight
TCONS_00018547	TCONS_00011182	0.88887626
TCONS_00037097	TCONS_00029581	0.88887626
TCONS_00021998	TCONS_00050590	0.88887626
TCONS_00028502	TCONS_00042481	0.88887805
TCONS_00006235	TCONS_00055899	0.8888783
TCONS_00025375	TCONS_00008157	0.88887864
TCONS_00057143	TCONS_00055842	0.8888795
TCONS_00045354	TCONS_00037885	0.88887954
TCONS_00008967	TCONS_00038769	0.8888798
TCONS_00028502	TCONS_00011132	0.88888
TCONS_00021998	TCONS_00049576	0.88888115
TCONS_00057143	TCONS_00002598	0.8888814
TCONS_00011491	TCONS_00039265	0.8888821
TCONS_00008966	TCONS_00057060	0.8888823
TCONS_00041694	TCONS_00042092	0.8888824
TCONS_00014249	TCONS_00029574	0.8888825
TCONS_00027931	TCONS_00014672	0.8888828
TCONS_00012881	TCONS_00013683	0.8888829
TCONS_00001141	TCONS_00029082	0.8888838
TCONS_00011491	TCONS_00045182	0.8888842
TCONS_00057143	TCONS_00047530	0.88888454
TCONS_00027932	TCONS_00010346	0.8888849
TCONS_00020167	TCONS_00003745	0.88888514
TCONS_00008734	TCONS_00033912	0.8888857
TCONS_00021202	TCONS_00034784	0.888886
TCONS_00029143	TCONS_00030849	0.88888603
TCONS_00031046	TCONS_00015187	0.8888861
TCONS_00009611	TCONS_00025532	0.88888645
TCONS_00029143	TCONS_00004131	0.8888865
TCONS_00029830	TCONS_00020167	0.8888868
TCONS_00019617	TCONS_00023435	0.88888764
TCONS_00047036	TCONS_00012341	0.8888879
TCONS_00019617	TCONS_00025758	0.8888883
TCONS_00020805	TCONS_00045275	0.88888836
TCONS_00030624	TCONS_00049303	0.005648560000000025
TCONS_00021202	TCONS_00023010	0.88888913
TCONS_00025066	TCONS_00005017	0.8888899
TCONS_00052518	TCONS_00005147	0.88889045
TCONS_00001141	TCONS_00002876	0.8888911
TCONS_00020216	TCONS_00047376	0.8888917
TCONS_00008966	TCONS_00007181	0.8888921
TCONS_00003964	TCONS_00036576	0.8888921
TCONS_00037097	TCONS_00056469	0.88889223
TCONS_00008968	TCONS_00031080	0.888893
TCONS_00021202	TCONS_00030196	0.8888932
TCONS_00019811	TCONS_00017443	0.8888933
TCONS_00011491	TCONS_00009040	0.8888939
TCONS_00029574	TCONS_00029689	0.8888941
TCONS_00041695	TCONS_00002033	0.8888943
TCONS_00045354	TCONS_00027063	0.88889533
TCONS_00027932	TCONS_00019228	0.88889563
TCONS_00056455	TCONS_00008480	0.88889575
TCONS_00009689	TCONS_00007984	0.8888961
TCONS_00020167	TCONS_00027796	0.8888966
TCONS_00042488	TCONS_00000980	0.006755099999999903
TCONS_00008966	TCONS_00036576	0.88889754
TCONS_00018547	TCONS_00015214	0.88889796
TCONS_00030912	TCONS_00051999	0.8888982
TCONS_00018823	TCONS_00044907	0.8888983
TCONS_00028953	TCONS_00048858	0.8888989
TCONS_00019617	TCONS_00033109	0.88889974
TCONS_00057143	TCONS_00048163	0.88890123
TCONS_00018209	TCONS_00054421	0.8889014
TCONS_00019617	TCONS_00043235	0.88890177
TCONS_00006235	TCONS_00031067	0.88890207
TCONS_00028163	TCONS_00027122	0.8889022
TCONS_00029143	TCONS_00001307	0.8889026
TCONS_00008734	TCONS_00001573	0.88890296
TCONS_00020216	TCONS_00021349	0.888903
TCONS_00019617	TCONS_00003437	0.88890314
TCONS_00052518	TCONS_00011489	0.88890326
TCONS_00018209	TCONS_00027209	0.8889038
TCONS_00011489	TCONS_00043945	0.88890415
TCONS_00052518	TCONS_00010293	0.88890415
TCONS_00047036	TCONS_00032650	0.8889047
TCONS_00018547	TCONS_00026882	0.8889054
TCONS_00020167	TCONS_00047447	0.8889057
TCONS_00006235	TCONS_00051725	0.8889062
TCONS_00018209	TCONS_00006432	0.8889062
TCONS_00012881	TCONS_00030172	0.8889063
TCONS_00041695	TCONS_00003466	0.88890636
TCONS_00053431	TCONS_00030056	0.88890636
TCONS_00031046	TCONS_00004082	0.88890654
TCONS_00011489	TCONS_00028058	0.8889078
TCONS_00029574	TCONS_00029057	0.8889079
TCONS_00018547	TCONS_00041227	0.8889083
TCONS_00030624	TCONS_00012273	0.8889089
TCONS_00011336	TCONS_00036984	0.8889093
TCONS_00019811	TCONS_00047595	0.8889101
TCONS_00045275	TCONS_00031440	0.003649450000000054
TCONS_00018209	TCONS_00016480	0.8889107
TCONS_00052518	TCONS_00018433	0.8889109
TCONS_00053708	TCONS_00016243	0.88891107
TCONS_00012881	TCONS_00026611	0.8889111
TCONS_00031046	TCONS_00012922	0.88891125
TCONS_00046850	TCONS_00053091	0.88891196
