factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
TCONS_00008968	0.5714285714285714	3678.391920069992	3670.3445834066006	0.2708333333333333	8.04733666339137	0.8541666666666666	145	8.04733666339137
TCONS_00019620	0.5476190476190476	3823.174467735	3816.338207151721	0.3333333333333333	6.83626058327884	0.7708333333333333	213	6.83626058327884
TCONS_00018823	0.5238095238095237	4122.708184315514	4117.856873940532	0.4166666666666667	4.85131037498232	0.6458333333333333	407	4.85131037498232
TCONS_00041694	0.4999999999999999	6468.3382296519285	6466.949481035062	0.8749999999999999	1.38874861686685	0.16666666666666666	3094	1.38874861686685
TCONS_00027931	0.4999999999999999	4315.14454770729	4310.756571660561	0.4791666666666667	4.38797604672909	0.5624999999999999	610	4.38797604672909
TCONS_00010310	0.47619047619047616	4502.663042701094	4499.688216970433	0.5416666666666666	2.97482573066131	0.4791666666666667	846	2.97482573066131
TCONS_00011491	0.45238095238095233	6477.53912141163	6476.772468904637	0.8958333333333333	0.766652506992168	0.10416666666666667	3778	0.766652506992168
TCONS_00029143	0.4285714285714285	4569.149459762105	4566.3906290892055	0.5833333333333333	2.75883067289938	0.3958333333333333	846	2.75883067289938
TCONS_00037097	0.40476190476190477	5355.641500812037	5353.924191398625	0.7291666666666666	1.71730941341118	0.22916666666666666	1598	1.71730941341118
TCONS_00017948	0.38095238095238093	2712.299565115128	2706.129495377733	0.12499999999999999	6.17006973739542	0.7499999999999999	22	6.17006973739542
TCONS_00053708	0.3571428571428571	3619.913543767361	3615.3333709178128	0.22916666666666666	4.58017284954794	0.6041666666666666	119	4.58017284954794
TCONS_00019617	0.33333333333333326	5960.01623360055	5959.3108261075895	0.7916666666666666	0.705407492959815	0.020833333333333332	2480	0.705407492959815
TCONS_00002699	0.33333333333333326	2729.880819194615	2724.806195774382	0.14583333333333331	5.07462342023307	0.6666666666666666	31	5.07462342023307
TCONS_00008464	0.30952380952380953	4077.634204190864	4075.019845739896	0.3958333333333333	2.61435845096759	0.375	414	2.61435845096759
TCONS_00019578	0.2857142857142857	3682.8174651565546	3679.98738202857	0.2916666666666667	2.83008312798434	0.4375	124	2.83008312798434
TCONS_00005144	0.26190476190476186	3373.797430520219	3370.9115970840617	0.16666666666666666	2.88583343615754	0.4583333333333333	74	2.88583343615754
TCONS_00028502	0.23809523809523805	4521.7920489422995	4521.050054484316	0.5624999999999999	0.741994457982865	0.0625	773	0.741994457982865
TCONS_00030624	0.23809523809523805	4747.5417554340665	4746.880476514246	0.6249999999999999	0.661278919821078	0.0	1240	0.661278919821078
TCONS_00003964	0.21428571428571427	4280.549770711458	4279.676153357748	0.4583333333333333	0.873617353709755	0.12499999999999999	770	0.873617353709755
TCONS_00019811	0.19047619047619047	3788.8740795912786	3787.127473719258	0.3125	1.74660587202081	0.24999999999999997	185	1.74660587202081
