Orthogroup	DROME	OWEFU
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	OFUSG00313.1.p1
OG0000034	DROME03104, DROME03105	OFUSG08088.1.p1
OG0000034	DROME20524	OFUSG09735.1.p1
OG0000035	DROME11928	OFUSG08016.1.p1, OFUSG08016.2.p1
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	OFUSG16461.1.p1
OG0000035	DROME19358, DROME19359	OFUSG07851.1.p1
OG0000035	DROME17164, DROME17163	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	DROME10260	OFUSG23601.1.p1
OG0000036	DROME18108, DROME18109	OFUSG06787.1.p1
OG0000036	DROME02324, DROME17378, DROME11305	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	OFUSG05272.1.p1
OG0000037	DROME13887, DROME14759, DROME14760	OFUSG13518.1.p1
OG0000037	DROME07468, DROME07469	OFUSG06378.1.p1, OFUSG06379.1.p1
OG0000037	DROME08695, DROME15640, DROME04516	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	DROME13535, DROME13441	OFUSG03339.1.p1
OG0000038	DROME13993	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	DROME20351, DROME20350	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000040	DROME20303	OFUSG17305.1.p1
OG0000041	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692	OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1
OG0000041	DROME01788, DROME01789	OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	OFUSG07896.1.p1
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	OFUSG12022.1.p1
OG0000044	DROME15544, DROME11199	OFUSG23614.1.p1, OFUSG23614.2.p1, OFUSG09537.1.p1
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	OFUSG03166.1.p1
OG0000044	DROME17013	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	DROME00740, DROME05490, DROME00741, DROME00650	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000046	DROME12318, DROME12319	OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1
OG0000046	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304	OFUSG17068.1.p1
OG0000046	DROME11364, DROME11369	OFUSG10763.1.p1, OFUSG10761.1.p1
OG0000048	DROME07309	OFUSG03456.1.p1
OG0000048	DROME15626, DROME15625	OFUSG19541.1.p1
OG0000048	DROME15613	OFUSG11586.1.p1
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	OFUSG11584.1.p1, OFUSG11585.1.p1, OFUSG11583.1.p1, OFUSG11587.1.p1
OG0000048	DROME01500	OFUSG04756.1.p1
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	OFUSG23568.1.p1
OG0000051	DROME06654, DROME06655	OFUSG14314.1.p1, OFUSG17623.1.p1, OFUSG24736.1.p1
