Orthogroup	DROME	APOSC_ok
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	APOSC_05531, APOSC_20902
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	APOSC_16682
OG0000147	DROME03466	APOSC_25363
OG0000147	DROME17452, DROME17451	APOSC_20013, APOSC_18428, APOSC_05853
OG0000148	DROME19762, DROME19761, DROME19763	APOSC_14879, APOSC_14878
OG0000148	DROME12939	APOSC_22996
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	APOSC_12513, APOSC_00444, APOSC_02449, APOSC_02196
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	APOSC_09540, APOSC_20238
OG0000157	DROME05618, DROME05617, DROME05616	APOSC_02266
OG0000157	DROME09786	APOSC_25645
OG0000157	DROME05150, DROME05149	APOSC_27261
OG0000158	DROME06825, DROME06824	APOSC_22004
OG0000159	DROME09571, DROME09570	APOSC_25144
OG0000163	DROME12520	APOSC_26564, APOSC_17645
OG0000163	DROME07955	APOSC_12728
OG0000163	DROME19834, DROME00819	APOSC_20618
OG0000165	DROME15840, DROME15841	APOSC_28761
OG0000167	DROME04018, DROME04019	APOSC_04566, APOSC_04565
OG0000168	DROME01783	APOSC_27887, APOSC_13167, APOSC_07254, APOSC_08432, APOSC_07255
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	APOSC_14851, APOSC_03334
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	APOSC_09017, APOSC_01598
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	APOSC_02167
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	APOSC_10054, APOSC_10053, APOSC_10055
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	APOSC_27959, APOSC_10607
OG0000175	DROME03593, DROME00840	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816
OG0000179	DROME11221, DROME21050	APOSC_21863, APOSC_17377, APOSC_21864
OG0000179	DROME07796	APOSC_01350
OG0000179	DROME10428	APOSC_01246
OG0000180	DROME21739, DROME21740	APOSC_02926
