Orthogroup	DROME	ASTMX
OG0000148	DROME19762, DROME19761, DROME19763	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929
OG0000148	DROME12939	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	ASTMX19335
OG0000154	DROME12872, DROME12871	ASTMX08823
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	ASTMX12246, ASTMX04195
OG0000157	DROME05618, DROME05617, DROME05616	ASTMX15736, ASTMX02435, ASTMX11937
OG0000157	DROME09786	ASTMX15837, ASTMX21399, ASTMX15330, ASTMX08384, ASTMX08312, ASTMX17465, ASTMX21400
OG0000157	DROME05150, DROME05149	ASTMX10886
OG0000158	DROME06825, DROME06824	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735
OG0000159	DROME09571, DROME09570	ASTMX03645, ASTMX21390
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060
OG0000163	DROME12520	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159
OG0000163	DROME07955	ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414
OG0000163	DROME19834, DROME00819	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308
OG0000163	DROME16444	ASTMX21793
OG0000164	DROME08486	ASTMX14344, ASTMX03421
OG0000167	DROME09457, DROME09458	ASTMX20835, ASTMX12921
