Orthogroup	DROME	CAEEL
OG0000031	DROME09230	CAEEL07076
OG0000032	DROME02386	CAEEL19615
OG0000032	DROME01213	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	DROME20092, DROME20090, DROME20091	CAEEL07900
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	DROME13496	CAEEL01132
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	CAEEL03140, CAEEL03141
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	CAEEL01943
OG0000035	DROME18635	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624
OG0000036	DROME18108, DROME18109	CAEEL18405, CAEEL11240
OG0000036	DROME02324, DROME17378, DROME11305	CAEEL15057
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	DROME13887, DROME14759, DROME14760	CAEEL03654
OG0000037	DROME20237	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299
OG0000037	DROME07468, DROME07469	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993
OG0000037	DROME08695	CAEEL09012
OG0000037	DROME15640, DROME04516	CAEEL08645
OG0000038	DROME10442	CAEEL01554
OG0000038	DROME13993	CAEEL07106
OG0000039	DROME20809, DROME20808, DROME20806, DROME20807	CAEEL01485
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	CAEEL18993
OG0000040	DROME20303	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896
OG0000041	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692, DROME01788, DROME01789	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	CAEEL05494
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	CAEEL15122
OG0000044	DROME15544, DROME11199	CAEEL19801
OG0000044	DROME00597	CAEEL08025
OG0000048	DROME15613	CAEEL16396
OG0000051	DROME06654, DROME06655	CAEEL19606, CAEEL18565
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000054	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738, CAEEL14858
OG0000058	DROME14598	CAEEL06550
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000059	DROME04929, DROME02944, DROME02943	CAEEL06767
OG0000060	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220	CAEEL08516
OG0000060	DROME15948	CAEEL20840
OG0000060	DROME00430	CAEEL08749, CAEEL08751, CAEEL08470
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	CAEEL08422
OG0000061	DROME18900, DROME18901, DROME18899	CAEEL07898
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	CAEEL02955
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	CAEEL05773
OG0000063	DROME10983, DROME10982	CAEEL04400
OG0000065	DROME22058	CAEEL04467
OG0000068	DROME18366, DROME18368, DROME18367	CAEEL09504
OG0000068	DROME18209	CAEEL06439
OG0000069	DROME03713	CAEEL14766, CAEEL06233
OG0000069	DROME03718	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	DROME04912	CAEEL02606
OG0000070	DROME17588, DROME17589, DROME19032	CAEEL19861
OG0000071	DROME13274, DROME13275	CAEEL12109
OG0000071	DROME14965, DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812	CAEEL07848, CAEEL20562, CAEEL18107
OG0000072	DROME12247, DROME12248	CAEEL07368
OG0000075	DROME04883, DROME04882	CAEEL11291
OG0000077	DROME15696, DROME15698, DROME15697	CAEEL18883
OG0000077	DROME07079, DROME07077, DROME07078	CAEEL06904
OG0000077	DROME18051	CAEEL18420
OG0000077	DROME15502, DROME15501, DROME12670	CAEEL20549, CAEEL20548
OG0000078	DROME15695	CAEEL18404
OG0000079	DROME14752	CAEEL18822
OG0000079	DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	CAEEL09849
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	CAEEL10489
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	CAEEL07248
OG0000082	DROME20298	CAEEL18954, CAEEL04897
OG0000082	DROME05998	CAEEL13927
OG0000082	DROME11174, DROME11173, DROME15008	CAEEL12687
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	DROME12251	CAEEL19682, CAEEL11723, CAEEL19532, CAEEL12802, CAEEL16493, CAEEL20091, CAEEL20155, CAEEL18755
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	CAEEL10610, CAEEL18185
OG0000084	DROME09544	CAEEL10264
OG0000084	DROME17344, DROME17343, DROME17345	CAEEL10989
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	CAEEL08514, CAEEL10452
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	CAEEL07542
OG0000085	DROME00999, DROME00998, DROME01000	CAEEL03085
OG0000085	DROME19740	CAEEL08077
OG0000087	DROME08842	CAEEL16056
OG0000090	DROME02752	CAEEL18451
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158, DROME16241, DROME16240, DROME16239	CAEEL10114
OG0000091	DROME20804	CAEEL16358, CAEEL07359
OG0000091	DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941	CAEEL05045
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	CAEEL10719
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	CAEEL18425
OG0000095	DROME09894	CAEEL16530
OG0000095	DROME01438	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	CAEEL03536
OG0000096	DROME08195, DROME08196	CAEEL16555
OG0000096	DROME08870	CAEEL11088
OG0000096	DROME13163	CAEEL08533
OG0000096	DROME13915	CAEEL11776
OG0000096	DROME09341	CAEEL06051
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	DROME10335, DROME10334, DROME09743	CAEEL07999, CAEEL08340
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	CAEEL05000, CAEEL01295
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	CAEEL01469, CAEEL18445
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	CAEEL04070
OG0000104	DROME16895, DROME16894, DROME16546, DROME16548, DROME16547, DROME16549, DROME17321, DROME17322	CAEEL18800
OG0000106	DROME19783	CAEEL20256
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	CAEEL19130, CAEEL20701
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	CAEEL18731, CAEEL15167
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	CAEEL20845
OG0000113	DROME13618	CAEEL13863
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	CAEEL03306, CAEEL13040
OG0000114	DROME04013, DROME04512, DROME04513	CAEEL18136
OG0000116	DROME05231	CAEEL14875
OG0000117	DROME17123	CAEEL07433
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	CAEEL08480
OG0000119	DROME21220, DROME21219	CAEEL08396
OG0000120	DROME15700	CAEEL10779, CAEEL14431
OG0000120	DROME00682	CAEEL15157
OG0000120	DROME04710	CAEEL10840
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	CAEEL01544
OG0000124	DROME17463	CAEEL19897
OG0000124	DROME21734	CAEEL04963
OG0000126	DROME01805, DROME01804	CAEEL08841, CAEEL04611
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	CAEEL09101
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	CAEEL10194
OG0000127	DROME11205, DROME11204	CAEEL20452
OG0000127	DROME08158	CAEEL00838
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000131	DROME18073, DROME18075, DROME18074	CAEEL08663
OG0000141	DROME20863, DROME21161	CAEEL09688
OG0000142	DROME09730	CAEEL15831
OG0000142	DROME08254, DROME08253	CAEEL19259
OG0000142	DROME17530, DROME17531	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	CAEEL04811
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	CAEEL18488
OG0000148	DROME19762, DROME19761, DROME19763	CAEEL09804
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	DROME12872, DROME12871	CAEEL02932
OG0000157	DROME05618, DROME05617, DROME05616	CAEEL00241
OG0000157	DROME11709	CAEEL20182
OG0000157	DROME05150, DROME05149	CAEEL01390
OG0000158	DROME06825, DROME06824	CAEEL20117, CAEEL08684
OG0000159	DROME09571, DROME09570	CAEEL02031
OG0000160	DROME18430, DROME18431, DROME18429, DROME21524, DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	DROME12520	CAEEL08313
OG0000163	DROME06781, DROME06782, DROME13860, DROME19834, DROME00819, DROME01561, DROME16444	CAEEL20194, CAEEL08850
OG0000164	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561	CAEEL17300, CAEEL20334, CAEEL08421, CAEEL05391, CAEEL18768, CAEEL06090, CAEEL13575, CAEEL06317, CAEEL13576, CAEEL13551, CAEEL06316, CAEEL13587, CAEEL13550, CAEEL06318, CAEEL20325, CAEEL20324, CAEEL06001, CAEEL06002, CAEEL09114, CAEEL05510, CAEEL06315
OG0000167	DROME04018, DROME04019	CAEEL02846
OG0000167	DROME09457, DROME09458	CAEEL00196
OG0000168	DROME00156, DROME00157	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
OG0000168	DROME01783	CAEEL19018
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	CAEEL00910, CAEEL20651, CAEEL11480
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	CAEEL04412
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	CAEEL04156
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	CAEEL19241
OG0000175	DROME03593, DROME00840	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	DROME11221, DROME21050	CAEEL13640
OG0000179	DROME07796	CAEEL02965, CAEEL06713
OG0000179	DROME10428	CAEEL19466, CAEEL07193
OG0000180	DROME12336	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	DROME12775	CAEEL07684
OG0000181	DROME18397	CAEEL10858
OG0000181	DROME06226	CAEEL12632
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	DROME07008, DROME18789	CAEEL18435
OG0000185	DROME12225, DROME12226	CAEEL14200
OG0000186	DROME18591	CAEEL00795, CAEEL05654
OG0000186	DROME05503, DROME05502	CAEEL13010
OG0000188	DROME16886, DROME16887	CAEEL20699
OG0000192	DROME21955, DROME21954, DROME21953, DROME11894	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365
OG0000193	DROME21697, DROME21696, DROME21698	CAEEL18944
OG0000193	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981	CAEEL09482, CAEEL14826
OG0000197	DROME14335, DROME14334, DROME14336	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	DROME17687	CAEEL03057, CAEEL05629, CAEEL09718
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	DROME19450	CAEEL07587
OG0000202	DROME14920, DROME14921	CAEEL20283
OG0000202	DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001	CAEEL09165
OG0000203	DROME17201, DROME17204, DROME17194, DROME17195, DROME17203, DROME17199, DROME17193, DROME21480, DROME04557, DROME10212, DROME03275	CAEEL09812
OG0000205	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776	CAEEL13029
OG0000205	DROME08187	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	DROME06000	CAEEL00203
OG0000208	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722
OG0000210	DROME14047, DROME11376	CAEEL19469
OG0000211	DROME17290	CAEEL15290
OG0000211	DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068	CAEEL02311
OG0000220	DROME16094, DROME16093, DROME16092, DROME21087, DROME21089, DROME21088	CAEEL07565, CAEEL08758
OG0000225	DROME11929	CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	DROME14660	CAEEL12318
OG0000226	DROME15107, DROME15108, DROME15106, DROME15105	CAEEL10068, CAEEL15041
OG0000227	DROME20242, DROME06362, DROME06368, DROME06369, DROME06365, DROME04927, DROME04926	CAEEL19645
OG0000229	DROME04047	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	DROME03186	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000230	DROME09028, DROME09029	CAEEL13030
OG0000231	DROME06449, DROME06448	CAEEL08481
OG0000231	DROME07628, DROME07629	CAEEL01724
OG0000231	DROME20858	CAEEL09666, CAEEL09673
OG0000232	DROME02286, DROME02285, DROME02281, DROME02282	CAEEL18532, CAEEL19887
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	CAEEL02295
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	CAEEL03013, CAEEL03014
OG0000235	DROME11735	CAEEL10795, CAEEL07012
OG0000236	DROME03355	CAEEL19835
OG0000238	DROME01901, DROME01902	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387, CAEEL15431
OG0000239	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708	CAEEL14926
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	CAEEL00570
OG0000242	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265	CAEEL05302
OG0000243	DROME04743, DROME04742, DROME04744	CAEEL13597, CAEEL13598
OG0000245	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514	CAEEL20391, CAEEL19086, CAEEL18097
OG0000246	DROME18580	CAEEL00493, CAEEL00494
OG0000248	DROME05927, DROME05926, DROME05929, DROME05928	CAEEL17077
OG0000249	DROME06788, DROME01687, DROME01688, DROME01683, DROME01684, DROME01686, DROME01685	CAEEL02928
OG0000249	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490	CAEEL00206
OG0000250	DROME14382	CAEEL11963
OG0000250	DROME11256, DROME11255, DROME11257	CAEEL07261
OG0000251	DROME19364	CAEEL03667
OG0000251	DROME12998, DROME12997	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	DROME15943	CAEEL05168
OG0000255	DROME20722, DROME05791, DROME18596	CAEEL05715
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058	CAEEL11937, CAEEL19468
OG0000257	DROME01840, DROME01838, DROME01839, DROME01837	CAEEL01910, CAEEL15386
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594	CAEEL19537
OG0000258	DROME20383	CAEEL09342
OG0000258	DROME17641, DROME17639, DROME17640	CAEEL15770
