Orthogroup	DROME	SCHMD
OG0000082	DROME11174, DROME11173, DROME15008	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	SCHMD03363
OG0000084	DROME12251	SCHMD21815, SCHMD19883, SCHMD02823, SCHMD10292, SCHMD19762
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	DROME17344, DROME17343, DROME17345	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	SCHMD12836
OG0000085	DROME00999, DROME00998, DROME01000	SCHMD12466
OG0000085	DROME19740	SCHMD18327
OG0000087	DROME22088	SCHMD09399, SCHMD09405, SCHMD09406
OG0000087	DROME06460	SCHMD09409, SCHMD09408
OG0000087	DROME21450	SCHMD05857, SCHMD05855
OG0000087	DROME03097	SCHMD03393, SCHMD23919
OG0000087	DROME08842	SCHMD21804, SCHMD25814, SCHMD16934
OG0000087	DROME09495	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336, SCHMD07337
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	DROME01438	SCHMD20853, SCHMD22035
OG0000096	DROME08870	SCHMD07753
OG0000096	DROME09341	SCHMD10033
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	SCHMD29644, SCHMD22119
OG0000099	DROME10335, DROME10334, DROME09743	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000101	DROME17779	SCHMD06502, SCHMD06505, SCHMD06506
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	SCHMD29081, SCHMD19673
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	SCHMD08147
OG0000106	DROME19783, DROME02609, DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	SCHMD06629, SCHMD02664
OG0000114	DROME04013, DROME04512, DROME04513	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000117	DROME17123	SCHMD07660, SCHMD02896, SCHMD11493
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501, DROME21220, DROME21219, DROME06207, DROME06208, DROME08017, DROME06209	SCHMD02911
OG0000120	DROME15700	SCHMD09518
OG0000120	DROME00660	SCHMD27124, SCHMD23690, SCHMD27316, SCHMD27128, SCHMD24437, SCHMD28934, SCHMD26823, SCHMD27125
OG0000120	DROME00676	SCHMD26849
OG0000120	DROME04710	SCHMD11870
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	SCHMD00543, SCHMD16641, SCHMD09849
OG0000123	DROME17732, DROME17730, DROME17731	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	DROME16385, DROME16384, DROME16383, DROME14572, DROME14575, DROME14574	SCHMD11130, SCHMD15099
OG0000123	DROME14850, DROME14849, DROME14848, DROME14847	SCHMD22122, SCHMD14008
OG0000124	DROME17463, DROME08713, DROME09900	SCHMD10270, SCHMD10271
OG0000124	DROME21734	SCHMD08774
OG0000126	DROME01805, DROME01804	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	SCHMD24144
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	SCHMD01813, SCHMD04253
OG0000127	DROME11205, DROME11204	SCHMD03781
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520	SCHMD20816
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	SCHMD17609
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000141	DROME20863, DROME21161	SCHMD05764
OG0000142	DROME09730	SCHMD07405, SCHMD02973, SCHMD14341
OG0000142	DROME07188	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	SCHMD11019
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	SCHMD11968
OG0000148	DROME12939	SCHMD08056
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	SCHMD06205, SCHMD05440
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	SCHMD13126, SCHMD13125
OG0000157	DROME05619, DROME05620, DROME05621	SCHMD06364
OG0000157	DROME05618, DROME05617, DROME05616	SCHMD03548, SCHMD06363
OG0000157	DROME05150, DROME05149	SCHMD01802
OG0000158	DROME06825, DROME06824	SCHMD18936
OG0000159	DROME09571, DROME09570	SCHMD14942
OG0000162	DROME21138, DROME21116	SCHMD08936, SCHMD26694
OG0000162	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132	SCHMD05631, SCHMD22574, SCHMD09891
OG0000163	DROME02805, DROME21614, DROME12520, DROME07955	SCHMD23090
OG0000163	DROME06781, DROME06782, DROME13860, DROME19834, DROME00819, DROME01561, DROME16444	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000168	DROME00156, DROME00157	SCHMD19556
