frizzle5/8	S (Wnt receptor)	XLOC_002564	HQ291268.1	frizzled-5	1	1	1	Rottinger & Martindale, 2011	Rottinger & Martindale	Ectodermal-anterior, mesodermal-ventral, anterior-ectoderm
frizzle9/10	S (Wnt receptor)	XLOC_000710		Frizzled-10	1		1	unpublished (?)	Chin-Yi Lin	Endodermal-posterior, posterior ectoderm
frizzled1/2/7	S (Wnt receptor)	XLOC_003271	HQ291267.1	frizzled-7-A-like	1	1	1		Gigi	Whole endoderm, whole mesoderm, ectodermal-ventral
gata1/2/3	T	XLOC_035886		GATA-binding factor 2	1	1	1	unpublished	Cindy	Whole endoderm, whole mesoderm, ectodermal-blastopore
gbx	T	XLOC_013686		homeobox protein GBX-2			1	unpublished	Gigi	Ectodermal-blastopore
gsc	T	XLOC_008109	MH782152.1	homeobox protein goosecoid-like			1	Su et al., 2019	Gigi	Ectodermal-ventral
gsx	T	XLOC_031936	AY436761.1	GS homeobox 1-like			1	Ikuta et al., 2013	Gigi	Ectodermal-blastopore
hand	T						1	unpublished	Cindy	Ectodermal-dorsal
hedgehog (Hh)	S	XLOC_032506	KP133097.1	sonic hedgehog protein	1		1	Arimoto and Tagawa, 2015; Rottinger et al., 2015	Arimoto and Tagawa, Rottinger et al., Gigi and Yann	Whole endoderm, ectodermal-ventral, ectodermal-apical
histidine decarboxylase	O	XLOC_023126		histidine decarboxylase-like			1	unpublished	Cindy	Ectodermal-blastopore
hmgi-c	T	XLOC_035560		high mobility group protein HMGI-C	1	1	1	unpublished	Cindy	Endodermal-anterior, mesodermal-ventral, ectodermal-apical
hmx	T	XLOC_018570		homeobox protein HMX3			1	unpublished	Cindy	Ectodermal-apical
hox11-13A (OIST)	T	XLOC_022455		ranscription factor Hox11/13a			1		Gigi	Ectodermal-blastopore
hox7	T	XLOC_021910		transcription factor Hox11/13c			1	unpublished (?)	Chin-Yi Lin	Ectodermal-blastopore; Gigi's plasmid (?)
hox9/10	T	XLOC_022453		Homeobox protein Hox-C10	1		1		Gigi	Endodermal-posterior, ectodermal-blastopore
irxA	T	XLOC_013612	KP133098.1	iroquois-class homeodomain protein IRX-6-like	1		1	Rottinger et al., 2015	Rottinger et al.	Endodermal-anterior, ectodermal-ventral
irx	T	XLOC_013612		iroquois-class homeodomain protein IRX-6-like	1		1		Gigi	Endodermal-anterior, ectodermal-ciliary band
lbx	T					1		unpublished	Cindy	Whole mesoderm
ld4	T	XLOC_033740	KP133102.1	DNA-binding protein inhibitor ID-4-like	1	1	1	Rottinger et al., 2015	Rottinger et al.	Whole endoderm, whole mesoderm, ectodermal-apical
lefty	S	XLOC_007961	KP133109.1	left-right determination factor 2-like			1	Rottinger et al., 2015	Rottinger et al., Gigi	Right side ectoderm
lhx1/5	T	XLOC_004377		LIM/homeobox protein Lhx5 isoform X1		1	1	unpublished	Cindy	Mesodermal-dorsal, ectodermal-apical, ectodermal-ciliary band
lhx2/9	T	XLOC_010636		LIM/homeobox protein Lhx9 isoform X5			1	unpublished	Cindy	Ectodermal-apical
lhx3/4	T	XLOC_011183		LIM/homeobox protein Lhx3	1		1	unpublished	KTW	Endodermal-anterior, ectodermal-apical, ectodermal-ciliary band
lin-28	O (RNA-binding protein)	XLOC_000847		protein lin-28 homolog isoform X2		1		unpublished	Cindy	Whole mesoderm
mef	T	XLOC_020117	KP133104.1	myocyte-specific enhancer factor 2C isoform X4			1	Rottinger et al., 2015	Rottinger et al.	Ectodermal-dorsal
mn1	T	XLOC_004066		transcriptional activator MN1	1	1	1	unpublished	Cindy	Endodermal-anterior, mesodermal-ventral, ectodermal-ventral, ectodermal-apical
msx	T	XLOC_006875	KP133103.1	homeobox protein MSH-D-like		1	1	Su et al., 2019	Gigi	Mesodermal-dorsal, ectodermal-dorsal
myocardin	T	XLOC_009994	MG593811.1	MKL/myocardin-like protein 1	1	1		Fan et al., 2018	Tzu-Pei Fan	Endodermal-posterior, mesodermal-ventral
nanos	O (post-transcriptional repressor)		MN917173.1		1	1	1	Lin et al., 2020	Chin-Yi Lin	Endodermal-posterior, mesodermal-dorsal, ectodermal-apical
NBC11	O (sodium bicarbonate cotransporter)						1		Gigi	
nckx5/slc24a5	O (potassium-dependent sodium/calcium exchanger)	XLOC_020660		probable sodium/potassium/calcium exchanger CG1090			1	unpublished	Cindy	Ectodermal-ciliary band
Ngn	T	XLOC_020967		neurogenin transcription factor			1	unpublished	TCT	Ectodermal- ciliary band
NHE3	O (sodium–hydrogen exchanger)	XLOC_015562		sodium/hydrogen exchanger 2 isoform X1	1			Stumpp et al., 2015	Gigi	Whole endoderm; TL stage: only expressed in the midgut
nk3.2	T	XLOC_018564		homeobox protein Nkx-3.2			1	unpublished	Cindy	Ectodermal-apical
NKA	O (sodium-potassium ATPase)	XLOC_025259		sodium/potassium-transporting ATPase subunit alpha-1 isoform X1			1	Stumpp et al., 2015	Gigi	Almost whole ectoderm
Nkx2.1	T	XLOC_006877	AAM93268.1	homeobox protein Nkx-2.1-like			1	Su et al., 2019	Gigi	Ectodermal-ventral; pfemg15b17 (3k) (Kuni)
Nkx2.2	T	XLOC_006876	MH782155.1	homeobox protein Nkx-2.2a-like	1		1	Su et al., 2019	Gigi	Endoderma-posterior, ectodermal-ventral, ectodermal-ciliary band; pfg14i20 (1.5k) (Kuni)
nkx2.5	T	XLOC_018563		homeobox protein Nkx-2.6		1		unpublished	Cindy	Whole mesoderm
nodal	S	XLOC_021523	KP133110.1	nodal homolog			1	Rottinger et al., 2015	Rottinger et al.	Ectodermal-ventral
Not7	T (transcription complex subunit)						1	Tagawa et al., 2014	Tagawa et al.	Ectodermal-dorsal, ectodermal-apical
oasis	T	XLOC_019614	KP133107.1	cyclic AMP-responsive element-binding protein 3-like protein 4 isoform X2			1	Rottinger et al., 2015	Rottinger et al.	Ectodermal-ventral
olig	T	XLOC_000651		oligodendrocyte transcription factor 2-like			1	unpublished	Cindy	Ectodermal-apical, ectodermal-ciliary band
onecut	T	XLOC_040989	MH782157.1	one cut domain family member 2-like isoform X1			1	Su et al., 2019	Gigi	Ectodermal-ciliary band
otp	T	XLOC_019467		RecName: Full=Homeobox protein orthopedia			1	unpublished	Cindy	Ectodermal-ciliary band, ectodermal-blastopore
otx	T	XLOC_008111	AB028220.1	homeobox protein OTX2			1	Harada et al., 2000	Harada et al. and Gigi	Ectodermal-ciliary band
pax2/5/8	T						1	unpublished	Gigi	Ectodermal-dorsal, ectodermal-blastopore
pax3/7	T	XLOC_037336		paired box protein Pax-3 isoform X2		1	1	unpublished	Gigi	Mesodermal-dorsal, ectodermal-ventral
pax6	T	XLOC_016025	MH782156.1	paired box protein Pax-6 isoform X1		1	1	Su et al., 2019	Gigi	Mesodermal-dorsal, both sides of the lateral ectoderm
PCNA	O						1	Tagawa et al., 2014	Tagawa et al.	Ectodermal-ciliary band
pea	T	XLOC_013578	HQ291270.1	ETS translocation variant 1 isoform X1			1	Rottinger & Martindale, 2011	Rottinger & Martindale	Ectodermal-dorsal, ectodermal-apical, ectodermal-ciliary band; in situ not clear
pitx2	T	XLOC_021322		pituitary homeobox 2 isoform X2			1		Gigi	Right side ectoderm
piwi1	O (RNA-binding protein)	XLOC_004662	MN917174.1	piwi-like protein 1 isoform X1	1			Lin et al., 2020	Chin-Yi Lin	Endodermal-posterior
prop	T					1	1	unpublished	KTW	Mesodermal-dorsal, ectodermal-apical
RGR-opsin	O (G protein coupled receptor)	XLOC_021101					1	unpublished	Cindy	Ectodermal-apical
r-opsin2	O (G protein coupled receptor)	XLOC_021421				1		unpublished	Cindy	Mesodermal-dorsal
rx	T	XLOC_020081		retina and anterior neural fold homeobox protein 2			1	unpublished	Cindy	Ectodermal-dorsal, ectodermal-apical
sageL	T					1		unpublished	Cindy	Mesodermal-dorsal
