Orthogroup	MOUSE	CAEEL
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	CAEEL17629, CAEEL17628
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	CAEEL03654, CAEEL20275
OG0000037	MOUSE21441	CAEEL09012, CAEEL08645
OG0000038	MOUSE08557	CAEEL01554
OG0000038	MOUSE22591, MOUSE22592	CAEEL07106
OG0000039	MOUSE23387	CAEEL00466
OG0000041	MOUSE19876, MOUSE19875, MOUSE02175	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152	CAEEL19747
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	CAEEL05494
OG0000041	MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000048	MOUSE42203	CAEEL17799
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	CAEEL02028
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	CAEEL19631
OG0000049	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909	CAEEL10349
OG0000051	MOUSE40003	CAEEL19606
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	CAEEL09464
OG0000054	MOUSE48109	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000054	MOUSE48108	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151
OG0000055	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	CAEEL05273
OG0000058	MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254	CAEEL06550
OG0000058	MOUSE40446, MOUSE40445, MOUSE06405, MOUSE16601, MOUSE38610	CAEEL09297
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000060	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	CAEEL08422
OG0000062	MOUSE52081	CAEEL02955
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	CAEEL05773
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	CAEEL04400
OG0000065	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	MOUSE53763, MOUSE13756	CAEEL20109
OG0000068	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009	CAEEL09504
OG0000068	MOUSE02010	CAEEL06439
OG0000069	MOUSE30824	CAEEL14766, CAEEL06233
OG0000069	MOUSE24596	CAEEL19293
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	MOUSE14076, MOUSE06197, MOUSE19892	CAEEL06499
OG0000072	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201	CAEEL07368
OG0000073	MOUSE18062	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000073	MOUSE17327, MOUSE17328, MOUSE17326	CAEEL07620
OG0000075	MOUSE34423	CAEEL03008
OG0000075	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239	CAEEL11367
OG0000075	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742, MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109	CAEEL11291
OG0000077	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727	CAEEL01559
OG0000077	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957	CAEEL18883
OG0000077	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502	CAEEL06904
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	CAEEL18822
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479, MOUSE05042	CAEEL07248
OG0000082	MOUSE25920	CAEEL18954, CAEEL04897
OG0000082	MOUSE19184	CAEEL13927
OG0000082	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878	CAEEL12687
OG0000084	MOUSE21451, MOUSE30075, MOUSE30074	CAEEL10610, CAEEL18185
OG0000084	MOUSE31596, MOUSE40356, MOUSE00836	CAEEL08514, CAEEL10452
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	CAEEL06909
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	CAEEL07542
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	CAEEL03085
OG0000085	MOUSE15351, MOUSE19993	CAEEL08077
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	CAEEL18451
OG0000090	MOUSE32571, MOUSE32572	CAEEL10114
OG0000091	MOUSE19668, MOUSE19669	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359
