Orthogroup	MOUSE	DROME
OG0000054	MOUSE48108	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534, MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433, MOUSE48639	DROME21992
OG0000055	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254	DROME14598
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000059	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592	DROME17819, DROME17820
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	DROME05579, DROME05580, DROME06033
OG0000062	MOUSE52081	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	MOUSE10885, MOUSE10881	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000065	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171	DROME22058
OG0000068	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009	DROME18366, DROME18368, DROME18367
OG0000068	MOUSE02010	DROME18209
OG0000069	MOUSE30824	DROME03768, DROME03713
OG0000069	MOUSE30828, MOUSE08931	DROME03778
OG0000069	MOUSE08907, MOUSE30830	DROME03748
OG0000069	MOUSE24595	DROME19859
OG0000069	MOUSE06171	DROME00928
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	DROME03718
OG0000069	MOUSE08915	DROME03738
OG0000070	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102	DROME04028, DROME04029, DROME06783
OG0000072	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201	DROME12247, DROME12248
OG0000072	MOUSE30088, MOUSE45691	DROME00154
OG0000072	MOUSE29660	DROME00750
OG0000074	MOUSE01754, MOUSE40707	DROME03014
OG0000075	MOUSE22546	DROME01374
OG0000075	MOUSE14633	DROME01373
OG0000075	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630	DROME01375
OG0000075	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742	DROME04883, DROME04882
OG0000077	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957	DROME15696, DROME15698, DROME15697
OG0000077	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502	DROME07079, DROME07077, DROME07078
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	DROME14752
OG0000079	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453	DROME01298
OG0000081	MOUSE51879	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593
OG0000082	MOUSE25920	DROME20298
OG0000082	MOUSE19184	DROME05998
OG0000082	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878	DROME11174, DROME11173, DROME15008
OG0000083	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042	DROME17112
OG0000084	MOUSE21451, MOUSE30075, MOUSE30074	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	MOUSE31596, MOUSE40356, MOUSE00836	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	MOUSE46323, MOUSE46324	DROME10293, DROME10294, DROME10289, DROME10292
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	DROME00999, DROME00998, DROME01000
OG0000085	MOUSE15351, MOUSE19993	DROME19740
OG0000085	MOUSE16592, MOUSE16590, MOUSE24109, MOUSE24108, MOUSE16591	DROME10832, DROME10831
OG0000087	MOUSE04044, MOUSE04045	DROME22088
OG0000087	MOUSE04046	DROME06460
OG0000087	MOUSE40318, MOUSE40317	DROME21450
OG0000087	MOUSE22119, MOUSE22054, MOUSE22052	DROME03097
OG0000087	MOUSE11213	DROME08842
OG0000087	MOUSE46080, MOUSE46081, MOUSE46082	DROME09495
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	DROME01198, DROME01197
OG0000089	MOUSE55271	DROME18066, DROME18069, DROME12817
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	DROME02752
OG0000090	MOUSE32571, MOUSE32572	DROME16241, DROME16240, DROME16239
OG0000091	MOUSE19668, MOUSE19669	DROME20804
OG0000094	MOUSE23651, MOUSE23649, MOUSE23648, MOUSE23650, MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850, MOUSE25209	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	MOUSE39287, MOUSE39286, MOUSE39288, MOUSE39290, MOUSE39289, MOUSE39291, MOUSE21580, MOUSE12896, MOUSE29409, MOUSE29410	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900	DROME08195, DROME08196
OG0000096	MOUSE31085, MOUSE31087, MOUSE02247	DROME08870
OG0000096	MOUSE35516	DROME13163
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	DROME06400
