Orthogroup	MOUSE	PFLAV
OG0000026	MOUSE38308, MOUSE38309	TCONS_00006376.p1, TCONS_00020194.p1, TCONS_00034547.p1, TCONS_00040975.p1, TCONS_00031948.p1, TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1, TCONS_00043670.p1, TCONS_00042712.p1
OG0000027	MOUSE18680	TCONS_00051661.p1
OG0000027	MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1
OG0000027	MOUSE18678, MOUSE18679	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1
OG0000028	MOUSE44525	TCONS_00029777.p1, TCONS_00029776.p1
OG0000029	MOUSE43115, MOUSE43116	TCONS_00004006.p1
OG0000029	MOUSE17544, MOUSE15400	TCONS_00020525.p1
OG0000029	MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	TCONS_00019673.p1
OG0000030	MOUSE21340	TCONS_00042392.p1
OG0000031	MOUSE55186	TCONS_00032922.p1
OG0000031	MOUSE44530	TCONS_00005437.p1
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	TCONS_00003900.p1
OG0000031	MOUSE08528, MOUSE08527	TCONS_00002937.p1
OG0000031	MOUSE39309, MOUSE01505	TCONS_00047742.p1, TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	MOUSE13006, MOUSE13005	TCONS_00041599.p1
OG0000031	MOUSE48656, MOUSE48889	TCONS_00054588.p1
OG0000031	MOUSE13007, MOUSE36274, MOUSE36271	TCONS_00042947.p1
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	TCONS_00003964.p1
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	TCONS_00018159.p1
OG0000032	MOUSE41899	TCONS_00035360.p1
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1
OG0000032	MOUSE29123	TCONS_00045890.p1, TCONS_00018770.p1
OG0000032	MOUSE23164	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1
OG0000034	MOUSE23593	TCONS_00007418.p1
OG0000034	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539	TCONS_00005924.p1
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	TCONS_00029638.p1
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	TCONS_00037982.p1
OG0000034	MOUSE11491, MOUSE11490	TCONS_00030311.p1, TCONS_00029930.p1
OG0000034	MOUSE20059	TCONS_00037412.p1
OG0000035	MOUSE02570, MOUSE02571	TCONS_00003567.p1
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	TCONS_00041944.p1, TCONS_00028232.p1
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	TCONS_00023673.p1
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	TCONS_00024074.p1
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	TCONS_00023006.p1, TCONS_00025465.p1
OG0000035	MOUSE27104	TCONS_00025514.p1
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	TCONS_00008906.p1
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	TCONS_00047867.p1, TCONS_00047868.p1
OG0000036	MOUSE29724, MOUSE29725	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	TCONS_00007681.p1
OG0000036	MOUSE49438	TCONS_00006290.p1
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	TCONS_00011439.p1, TCONS_00011440.p1
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	TCONS_00011218.p1
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	TCONS_00017535.p1
OG0000037	MOUSE21441	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000039	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088	TCONS_00052764.p1, TCONS_00012328.p1
OG0000039	MOUSE32704	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	TCONS_00039100.p1, TCONS_00015626.p1
OG0000039	MOUSE23387	TCONS_00003433.p1
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1
OG0000041	MOUSE19876, MOUSE19875, MOUSE02175, MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152	TCONS_00025634.p1
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	TCONS_00024462.p1
OG0000041	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	TCONS_00046856.p1
OG0000042	MOUSE51171	TCONS_00042309.p1
OG0000044	MOUSE35862, MOUSE46639	TCONS_00051346.p1, TCONS_00051348.p1, TCONS_00053656.p1
OG0000044	MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	TCONS_00027232.p1
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809	TCONS_00043770.p1
OG0000044	MOUSE41161, MOUSE41162	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1
OG0000045	MOUSE25074	TCONS_00055807.p1
OG0000045	MOUSE25340, MOUSE25339, MOUSE25341	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1
OG0000045	MOUSE17353, MOUSE07193	TCONS_00028538.p1, TCONS_00022841.p1
OG0000046	MOUSE48114, MOUSE48113	TCONS_00014287.p1, TCONS_00014285.p1
