Orthogroup	MOUSE	CAPO3
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557, MOUSE46323, MOUSE46324, MOUSE50493, MOUSE50494, MOUSE50492, MOUSE54746, MOUSE54748, MOUSE54747, MOUSE30928, MOUSE52166, MOUSE30929, MOUSE15351, MOUSE19993, MOUSE37560, MOUSE37561, MOUSE37559, MOUSE04944, MOUSE04943, MOUSE16592, MOUSE16590, MOUSE24109, MOUSE24108, MOUSE16591	CAPO303047
OG0000089	MOUSE16032, MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169, MOUSE55271	CAPO300386, CAPO300810, CAPO302098
OG0000090	MOUSE17968	CAPO304460, CAPO304458, CAPO303991
OG0000091	MOUSE19668, MOUSE19669	CAPO301134
OG0000095	MOUSE21579	CAPO301288, CAPO306046
OG0000096	MOUSE31085, MOUSE31087, MOUSE02247	CAPO301431
OG0000096	MOUSE31088	CAPO303349
OG0000096	MOUSE14640, MOUSE35516	CAPO307955
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	CAPO307522
OG0000096	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996	CAPO300294
OG0000096	MOUSE45925, MOUSE45926, MOUSE44088, MOUSE52337, MOUSE52338	CAPO307017
OG0000101	MOUSE49370, MOUSE49670, MOUSE02576, MOUSE49671, MOUSE15611, MOUSE15612, MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355	CAPO306858
OG0000103	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384, MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014	CAPO302453
OG0000106	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355, MOUSE32021, MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788	CAPO300017
OG0000107	MOUSE08903	CAPO301524
OG0000110	MOUSE38813, MOUSE04691, MOUSE04692, MOUSE38814	CAPO300387
OG0000114	MOUSE04136	CAPO302440
OG0000116	MOUSE27994	CAPO305622
OG0000119	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167, MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713, MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194	CAPO304642
OG0000122	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654, MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753	CAPO307824
OG0000124	MOUSE34424, MOUSE34425	CAPO302553
OG0000126	MOUSE36415, MOUSE36417, MOUSE03223, MOUSE44505	CAPO301836
OG0000126	MOUSE47557, MOUSE47555, MOUSE47554, MOUSE54136, MOUSE54135, MOUSE54137, MOUSE29574, MOUSE29573, MOUSE29575, MOUSE47556	CAPO302484
OG0000126	MOUSE30423, MOUSE01500	CAPO306676
OG0000126	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380, MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725	CAPO300572
OG0000128	MOUSE20235, MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208	CAPO306991, CAPO304956
OG0000129	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521, MOUSE18634, MOUSE45123, MOUSE55058, MOUSE23071, MOUSE23074, MOUSE23073, MOUSE23072, MOUSE49915	CAPO303361
OG0000137	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323, MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196, MOUSE06337, MOUSE06338, MOUSE18094, MOUSE18096	CAPO305369
OG0000142	MOUSE49876, MOUSE19688, MOUSE17834, MOUSE25278, MOUSE18488, MOUSE17833, MOUSE09112, MOUSE09113, MOUSE28967	CAPO302031, CAPO302030
OG0000147	MOUSE23086, MOUSE23085	CAPO305863
OG0000147	MOUSE09313, MOUSE09314, MOUSE09315, MOUSE09317, MOUSE12666, MOUSE12667	CAPO308132
OG0000147	MOUSE28041, MOUSE28040, MOUSE27544	CAPO304230
OG0000149	MOUSE10061, MOUSE10064, MOUSE16718, MOUSE44762, MOUSE19464, MOUSE31508, MOUSE31509	CAPO305206, CAPO306214
OG0000157	MOUSE20681, MOUSE01676, MOUSE20682, MOUSE01675	CAPO305956
OG0000157	MOUSE31198, MOUSE31196, MOUSE52693, MOUSE35378, MOUSE01045, MOUSE52683, MOUSE35379, MOUSE31200, MOUSE52684, MOUSE49056, MOUSE49057, MOUSE49058	CAPO305824
OG0000158	MOUSE29248	CAPO305752
OG0000158	MOUSE23741	CAPO302924
OG0000160	MOUSE28371, MOUSE28372, MOUSE28373	CAPO301680
OG0000167	MOUSE29176, MOUSE29175, MOUSE35789, MOUSE34068, MOUSE28268, MOUSE28270, MOUSE28269, MOUSE31990, MOUSE31991, MOUSE12639, MOUSE34066, MOUSE34067, MOUSE00486, MOUSE00488, MOUSE00485, MOUSE34221, MOUSE28529, MOUSE28530, MOUSE35788, MOUSE00471	CAPO301364, CAPO303476
