Orthogroup	AENJA_ok	OWEFU
OG0000045	AENJA_20791	OFUSG21045.1.p1, OFUSG07523.1.p1
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	OFUSG14160.1.p1
OG0000046	AENJA_13407, AENJA_01687	OFUSG08597.1.p1, OFUSG08595.1.p1
OG0000046	AENJA_01592	OFUSG25817.1.p1, OFUSG06162.1.p1
OG0000046	AENJA_15828	OFUSG17068.1.p1
OG0000048	AENJA_11619	OFUSG15705.1.p1
OG0000048	AENJA_23226	OFUSG19541.1.p1
OG0000048	AENJA_21270, AENJA_21713	OFUSG11584.1.p1
OG0000048	AENJA_09360	OFUSG11587.1.p1
OG0000048	AENJA_16735	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	AENJA_25506	OFUSG04756.1.p1
OG0000049	AENJA_20702	OFUSG00390.1.p1
OG0000049	AENJA_25756	OFUSG06038.1.p1
OG0000049	AENJA_17800	OFUSG14032.1.p1
OG0000049	AENJA_24984, AENJA_12834, AENJA_18082	OFUSG10735.1.p1, OFUSG14837.1.p1, OFUSG06810.1.p1, OFUSG18275.1.p1, OFUSG20360.1.p1, OFUSG20359.1.p1, OFUSG20362.1.p1, OFUSG14327.1.p1, OFUSG01468.1.p1, OFUSG04791.1.p1, OFUSG24665.1.p1, OFUSG04926.1.p1, OFUSG10567.1.p1
OG0000049	AENJA_02953, AENJA_07586	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000049	AENJA_17680	OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	OFUSG14496.1.p1
OG0000050	AENJA_09597, AENJA_17561	OFUSG09384.1.p1
OG0000050	AENJA_14035	OFUSG00506.1.p1
OG0000051	AENJA_18491, AENJA_12662	OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000053	AENJA_04227, AENJA_07517	OFUSG05561.1.p1
OG0000053	AENJA_19076	OFUSG08626.1.p1
OG0000054	AENJA_06676, AENJA_23371	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	OFUSG10859.2.p1, OFUSG10859.1.p1
OG0000056	AENJA_07746, AENJA_20577, AENJA_26131	OFUSG00150.1.p1
OG0000056	AENJA_20268	OFUSG17281.1.p1
OG0000056	AENJA_05228	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000056	AENJA_20631	OFUSG00149.1.p1
OG0000056	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114	OFUSG00148.1.p1
OG0000057	AENJA_16752, AENJA_23652	OFUSG18495.1.p1
OG0000057	AENJA_23993	OFUSG08808.1.p1
OG0000057	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677	OFUSG16420.2.p1, OFUSG16420.3.p1, OFUSG16419.2.p1, OFUSG16420.1.p1, OFUSG16419.1.p1, OFUSG16418.1.p1
OG0000057	AENJA_11025	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
