Orthogroup	AENJA_ok	NEMVE
OG0000033	AENJA_10094, AENJA_19957, AENJA_21447, AENJA_04314, AENJA_02993, AENJA_15924	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341
OG0000033	AENJA_05893, AENJA_17748, AENJA_13995, AENJA_12723, AENJA_12540, AENJA_07108, AENJA_25355, AENJA_13459	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301
OG0000034	AENJA_02790	NEMVE16906, NEMVE16907
OG0000034	AENJA_21749	NEMVE07311, NEMVE07285
OG0000034	AENJA_09845	NEMVE03284
OG0000034	AENJA_02791	NEMVE10927
OG0000034	AENJA_23686	NEMVE10961, NEMVE24294
OG0000034	AENJA_13785	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	AENJA_15701	NEMVE05344
OG0000034	AENJA_24919	NEMVE06831
OG0000034	AENJA_16616	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	AENJA_01174	NEMVE23841
OG0000035	AENJA_22033	NEMVE22676
OG0000035	AENJA_01175	NEMVE13965
OG0000035	AENJA_08825	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	AENJA_12732	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	AENJA_16633	NEMVE07419, NEMVE07417
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	AENJA_19419	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564
OG0000037	AENJA_19141, AENJA_21842, AENJA_00885, AENJA_06908, AENJA_02989, AENJA_17768, AENJA_10696, AENJA_20944, AENJA_05483, AENJA_06274	NEMVE00865, NEMVE01113
OG0000037	AENJA_13632	NEMVE10401
OG0000038	AENJA_09926	NEMVE24201
OG0000038	AENJA_09925	NEMVE14716
OG0000038	AENJA_05691	NEMVE16337
OG0000038	AENJA_05698	NEMVE22353
OG0000038	AENJA_16130	NEMVE14268, NEMVE25950, NEMVE02186, NEMVE17895
OG0000038	AENJA_05693	NEMVE21816
OG0000038	AENJA_05697	NEMVE14717
OG0000038	AENJA_05696	NEMVE15968
OG0000039	AENJA_12474, AENJA_05354	NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560, NEMVE06811
OG0000039	AENJA_20870	NEMVE09831
OG0000039	AENJA_17497	NEMVE16411, NEMVE04657
OG0000039	AENJA_07945	NEMVE15743
OG0000039	AENJA_26803, AENJA_05351	NEMVE01294
OG0000040	AENJA_23333	NEMVE20551
OG0000041	AENJA_08471	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	AENJA_24560	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	AENJA_03404, AENJA_03405	NEMVE05295
OG0000044	AENJA_26664	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	AENJA_10128	NEMVE06851
OG0000044	AENJA_25117	NEMVE16246, NEMVE14588
OG0000044	AENJA_06141	NEMVE09195, NEMVE09209
OG0000044	AENJA_06789	NEMVE12375, NEMVE01572, NEMVE04962, NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734
OG0000045	AENJA_09277	NEMVE24106
OG0000045	AENJA_24300	NEMVE15604
OG0000045	AENJA_15011, AENJA_15012, AENJA_14861, AENJA_03122, AENJA_25840, AENJA_10250, AENJA_01144	NEMVE06398, NEMVE16386
OG0000045	AENJA_20791	NEMVE08202, NEMVE03249, NEMVE10335, NEMVE12603
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759, AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	NEMVE08905, NEMVE15252
OG0000047	AENJA_20068, AENJA_18097, AENJA_25256, AENJA_10394, AENJA_14985, AENJA_05397, AENJA_06693	NEMVE12741, NEMVE05419
OG0000047	AENJA_04006, AENJA_04734, AENJA_17021	NEMVE12937
OG0000047	AENJA_02359, AENJA_22101	NEMVE05848, NEMVE11285, NEMVE02543, NEMVE05936, NEMVE08290
OG0000047	AENJA_17689	NEMVE10640, NEMVE06306, NEMVE11518
OG0000048	AENJA_21270, AENJA_21713, AENJA_09360	NEMVE14912
OG0000048	AENJA_16735, AENJA_16736	NEMVE14024
OG0000048	AENJA_25506	NEMVE15061
OG0000049	AENJA_20702, AENJA_25756, AENJA_17800, AENJA_10359	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	AENJA_24984, AENJA_12834, AENJA_18082	NEMVE15395, NEMVE15644
OG0000049	AENJA_02953, AENJA_07586	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	NEMVE20299
OG0000050	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961	NEMVE17503
OG0000050	AENJA_01528, AENJA_02355, AENJA_00087	NEMVE02458
OG0000050	AENJA_22540, AENJA_26360, AENJA_20350	NEMVE20024, NEMVE15194, NEMVE17974
OG0000051	AENJA_18491, AENJA_12662	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	AENJA_24250	NEMVE18951, NEMVE15008
OG0000053	AENJA_07517	NEMVE21440
OG0000054	AENJA_06676, AENJA_23371	NEMVE15086, NEMVE10916
OG0000056	AENJA_20111	NEMVE11933
OG0000056	AENJA_20268, AENJA_20270	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	AENJA_05228	NEMVE01503, NEMVE04541
OG0000056	AENJA_08324, AENJA_08326, AENJA_10099, AENJA_20631	NEMVE04649, NEMVE01116
OG0000056	AENJA_14653	NEMVE16234
OG0000056	AENJA_20579	NEMVE19957
OG0000056	AENJA_01631, AENJA_03114	NEMVE15228
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	AENJA_15045	NEMVE07881
OG0000057	AENJA_23993	NEMVE11524, NEMVE08932, NEMVE10300
OG0000057	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677	NEMVE03666, NEMVE05232, NEMVE03773, NEMVE06120, NEMVE03690, NEMVE06136, NEMVE06127, NEMVE06129, NEMVE05191, NEMVE03726, NEMVE05196, NEMVE05197, NEMVE05233, NEMVE09737, NEMVE05189, NEMVE05210, NEMVE03728
OG0000057	AENJA_11025	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000057	AENJA_15044	NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515
OG0000057	AENJA_13773	NEMVE17706
OG0000058	AENJA_23345	NEMVE13151
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	AENJA_00816, AENJA_19748, AENJA_06413, AENJA_16934, AENJA_19164, AENJA_25801, AENJA_00669, AENJA_06416, AENJA_06418, AENJA_18536, AENJA_04512, AENJA_04510, AENJA_04511, AENJA_11167, AENJA_04778, AENJA_05765	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	AENJA_23597	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	AENJA_22683	NEMVE10327
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	NEMVE14126
OG0000062	AENJA_11364, AENJA_03699	NEMVE00002, NEMVE17871
OG0000063	AENJA_20321	NEMVE05614
OG0000063	AENJA_03789	NEMVE00961
OG0000063	AENJA_04323	NEMVE23740, NEMVE18393
OG0000063	AENJA_26394	NEMVE09684
OG0000064	AENJA_02631, AENJA_25359, AENJA_25985, AENJA_10273, AENJA_09325, AENJA_02635, AENJA_02637, AENJA_08217, AENJA_16750, AENJA_12292, AENJA_22233, AENJA_04365, AENJA_15514, AENJA_00980, AENJA_22430, AENJA_02556, AENJA_22603, AENJA_02557	NEMVE19911, NEMVE17597, NEMVE15687
OG0000065	AENJA_08288, AENJA_15523	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	AENJA_12655, AENJA_09505	NEMVE02094, NEMVE00829
OG0000066	AENJA_20318	NEMVE08925
OG0000066	AENJA_18855	NEMVE12179, NEMVE06397, NEMVE00621, NEMVE08193, NEMVE01410
OG0000066	AENJA_22621	NEMVE05988, NEMVE19300
OG0000067	AENJA_21171	NEMVE10714
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	NEMVE14139, NEMVE14099
OG0000068	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902, AENJA_20175, AENJA_10908, AENJA_08647	NEMVE24661, NEMVE20048
OG0000069	AENJA_15982	NEMVE14181
OG0000070	AENJA_20523, AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	AENJA_19944	NEMVE11425, NEMVE00556, NEMVE14043
OG0000071	AENJA_11228, AENJA_11157	NEMVE03090
OG0000071	AENJA_12271, AENJA_23369	NEMVE04860
OG0000072	AENJA_14652	NEMVE01460
