Orthogroup	AENJA_ok	YEAST
OG0000657	AENJA_06847, AENJA_01439, AENJA_14948, AENJA_01442	YEAST03846
OG0000660	AENJA_07533, AENJA_06621	YEAST05150, YEAST01587
OG0000662	AENJA_08142, AENJA_09173, AENJA_21495	YEAST05937
OG0000663	AENJA_26290, AENJA_19588, AENJA_10413	YEAST02675, YEAST03294
OG0000672	AENJA_11032	YEAST03771
OG0000672	AENJA_02173	YEAST00984
OG0000676	AENJA_15570	YEAST01503
OG0000676	AENJA_04404	YEAST02962
OG0000683	AENJA_18458, AENJA_20329	YEAST03152, YEAST03537, YEAST05938
OG0000690	AENJA_04544	YEAST04874
OG0000692	AENJA_17363, AENJA_13840	YEAST01969
OG0000692	AENJA_02403, AENJA_00938	YEAST03487
OG0000694	AENJA_02666, AENJA_15805	YEAST05978
OG0000699	AENJA_12577, AENJA_20559, AENJA_12576	YEAST05706
OG0000701	AENJA_18091	YEAST02239, YEAST02223
OG0000703	AENJA_26753, AENJA_26449	YEAST05314
OG0000708	AENJA_10491, AENJA_00725, AENJA_04787	YEAST05997
OG0000709	AENJA_11142, AENJA_19288, AENJA_01143	YEAST00057
OG0000724	AENJA_08671	YEAST02013
OG0000732	AENJA_23886, AENJA_07798, AENJA_12389	YEAST04978
OG0000733	AENJA_07801	YEAST05474
OG0000735	AENJA_15834	YEAST05945
OG0000744	AENJA_07063, AENJA_07064	YEAST05951
OG0000745	AENJA_08290, AENJA_25526, AENJA_16763, AENJA_16764, AENJA_19385	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	AENJA_00591, AENJA_26667	YEAST01432, YEAST04483
OG0000753	AENJA_01120, AENJA_10740, AENJA_09401	YEAST01034, YEAST02037
OG0000757	AENJA_06262, AENJA_15686, AENJA_08837	YEAST01489
OG0000758	AENJA_07914	YEAST01504
OG0000759	AENJA_12039	YEAST02878, YEAST05681
OG0000765	AENJA_22263	YEAST05027, YEAST03009, YEAST01404
OG0000768	AENJA_24479	YEAST02560, YEAST04269
OG0000772	AENJA_24869, AENJA_00651, AENJA_10655, AENJA_10656	YEAST04929
OG0000776	AENJA_14162, AENJA_14158, AENJA_04150, AENJA_16571	YEAST04571, YEAST00195, YEAST00312
OG0000777	AENJA_05341, AENJA_04497, AENJA_05898, AENJA_04500	YEAST06297, YEAST02627
OG0000779	AENJA_08422	YEAST03812
OG0000782	AENJA_17040	YEAST01393, YEAST05616
OG0000791	AENJA_05472	YEAST02375
OG0000794	AENJA_11312	YEAST04627
OG0000800	AENJA_25972, AENJA_17652	YEAST03636
OG0000809	AENJA_02164	YEAST01998
OG0000817	AENJA_07214, AENJA_18385	YEAST00389
OG0000817	AENJA_14055	YEAST06112
OG0000824	AENJA_00764	YEAST01319, YEAST02883
OG0000828	AENJA_05318	YEAST00945, YEAST05476, YEAST00075
OG0000828	AENJA_21604, AENJA_14692	YEAST02290
OG0000837	AENJA_25179	YEAST06222
OG0000841	AENJA_00152	YEAST02416
