Orthogroup	AENJA_ok	MOUSE
OG0000015	AENJA_18653	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	AENJA_17614, AENJA_19630	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	AENJA_11513	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	AENJA_26671, AENJA_26677	MOUSE13078, MOUSE13077
OG0000016	AENJA_02781	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	AENJA_24818, AENJA_20016	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	MOUSE30063, MOUSE30064
OG0000020	AENJA_21688, AENJA_05309	MOUSE05499, MOUSE05500
OG0000020	AENJA_02593, AENJA_02596	MOUSE53015
OG0000020	AENJA_15791	MOUSE07164
OG0000020	AENJA_12903	MOUSE33588
OG0000020	AENJA_09502	MOUSE23587, MOUSE23586
OG0000020	AENJA_18052	MOUSE26371
OG0000020	AENJA_23718, AENJA_02408	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	AENJA_16929	MOUSE24012
OG0000020	AENJA_04727	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	AENJA_10912	MOUSE35162
OG0000020	AENJA_11444	MOUSE09601, MOUSE09602
OG0000020	AENJA_14659	MOUSE37001, MOUSE37002
OG0000020	AENJA_12495	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	AENJA_14639	MOUSE41024, MOUSE41023
OG0000021	AENJA_16593	MOUSE49041, MOUSE09998
OG0000021	AENJA_24950	MOUSE04592
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	MOUSE44445, MOUSE53773
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	AENJA_06341	MOUSE46773, MOUSE46772
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	AENJA_19909	MOUSE02558, MOUSE02557
OG0000023	AENJA_03895	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	AENJA_21657	MOUSE12605
OG0000026	AENJA_10129, AENJA_23516	MOUSE38308, MOUSE38309
OG0000027	AENJA_18849	MOUSE18680
OG0000029	AENJA_10650	MOUSE43115, MOUSE43116
OG0000030	AENJA_17283	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	AENJA_09856	MOUSE26385
OG0000031	AENJA_09858	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	AENJA_20966	MOUSE08528, MOUSE08527
OG0000031	AENJA_08759	MOUSE44529
OG0000031	AENJA_10722	MOUSE39309, MOUSE01505
OG0000031	AENJA_02955	MOUSE40719, MOUSE40720
OG0000031	AENJA_05740	MOUSE13006, MOUSE13005
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	MOUSE48656, MOUSE48889
OG0000031	AENJA_15028	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000032	AENJA_06514	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	AENJA_15565	MOUSE41899
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	MOUSE29123
OG0000032	AENJA_12283	MOUSE23164
OG0000034	AENJA_02790	MOUSE47179, MOUSE42232, MOUSE23593
OG0000034	AENJA_21749	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	AENJA_26717	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	AENJA_02791	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	AENJA_23686	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	AENJA_13785	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	AENJA_15701	MOUSE11491, MOUSE11490
OG0000034	AENJA_16616	MOUSE20059
OG0000035	AENJA_01174	MOUSE02570, MOUSE02571
OG0000035	AENJA_22033	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	AENJA_08825	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	AENJA_12732	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	AENJA_12364, AENJA_26037	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	AENJA_21683	MOUSE27104
OG0000035	AENJA_26795, AENJA_18623, AENJA_14012, AENJA_02191	MOUSE41551
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	AENJA_26206, AENJA_19267, AENJA_16633	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	MOUSE29724, MOUSE29725
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	AENJA_09983, AENJA_16634, AENJA_26207, AENJA_16107	MOUSE49438
OG0000037	AENJA_20944	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	AENJA_05483, AENJA_06274	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	AENJA_13632	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	MOUSE21441
OG0000038	AENJA_05691	MOUSE41992, MOUSE41494
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	MOUSE32704
