Orthogroup	AENJA_ok	LYTVA_ok
OG0000017	AENJA_14928, AENJA_06318	LYTVA_04996
OG0000017	AENJA_08674, AENJA_21573	LYTVA_19500
OG0000017	AENJA_22050	LYTVA_06162
OG0000017	AENJA_16553, AENJA_10272, AENJA_25220, AENJA_22019, AENJA_14578, AENJA_25217, AENJA_20264, AENJA_00879, AENJA_13357, AENJA_11406, AENJA_05165, AENJA_06463, AENJA_04888, AENJA_03290, AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649	LYTVA_26989, LYTVA_01310, LYTVA_21335, LYTVA_04412
OG0000017	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563	LYTVA_13468
OG0000018	AENJA_09676	LYTVA_08537, LYTVA_21301
OG0000018	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081	LYTVA_29857
OG0000018	AENJA_18582, AENJA_00705, AENJA_05980, AENJA_21073, AENJA_24490, AENJA_10833, AENJA_00794, AENJA_03347, AENJA_20865, AENJA_10761, AENJA_12683, AENJA_07360, AENJA_25137	LYTVA_18794
OG0000018	AENJA_19981	LYTVA_13519, LYTVA_01656
OG0000018	AENJA_14150	LYTVA_29229, LYTVA_12870
OG0000018	AENJA_12247	LYTVA_07859, LYTVA_26503, LYTVA_00759, LYTVA_05774, LYTVA_08224, LYTVA_20675
OG0000019	AENJA_17710, AENJA_12747, AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277	LYTVA_17120
OG0000019	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272	LYTVA_14521
OG0000019	AENJA_02273	LYTVA_12149
OG0000019	AENJA_16475, AENJA_12690, AENJA_12693	LYTVA_18162
OG0000019	AENJA_17715, AENJA_26470, AENJA_26324, AENJA_09204	LYTVA_20852
OG0000019	AENJA_24818	LYTVA_01420
OG0000020	AENJA_21688, AENJA_05309	LYTVA_19355
OG0000020	AENJA_02593, AENJA_02596	LYTVA_21318
OG0000020	AENJA_15791	LYTVA_09793
OG0000020	AENJA_12903	LYTVA_04298
OG0000020	AENJA_09502	LYTVA_23496
OG0000020	AENJA_16747	LYTVA_26274
